episode,t_start_s,t_end_s,duration_s,dominant_force_axis,dominant_torque_axis,dFx,dFy,dFz,dTx,dTy,dTz,Fx_std,Fy_std,Fz_std,Tx_std,Ty_std,Tz_std
1,18.788,25.015,6.228,Fx,Ty,-7.300987,4.190345,3.359853,-0.278444,-0.526015,-0.279279,2.076708,0.520785,0.247284,0.032027,0.075748,0.067953
2,29.440,34.877,5.436,Fx,Tz,12.330079,-11.684628,-4.153660,0.258754,0.427515,0.431748,0.839128,1.657799,0.502169,0.023888,0.032072,0.024414
3,38.172,43.395,5.223,Fy,Ty,-6.544200,-73.536206,0.711246,0.527568,-0.619756,-0.461675,0.977021,2.906855,0.620099,0.039338,0.024383,0.031407
4,45.946,51.316,5.370,Fy,Tz,17.194506,94.377380,-2.170158,-0.697337,0.594192,0.743727,1.126191,3.344781,0.476819,0.032327,0.024094,0.025678
5,53.929,59.572,5.643,Fz,Tx,-19.934471,6.857469,-97.229885,0.236582,-0.015563,0.143279,0.512899,0.856420,2.984085,0.029272,0.034301,0.020025
6,62.980,68.211,5.231,Fx,Tz,-87.402401,54.060905,4.539140,0.161647,0.638377,-2.454577,2.917347,3.213189,1.109998,0.021414,0.076461,0.046304
7,70.454,75.724,5.270,Fx,Tz,77.033953,-42.691510,1.718960,-0.473112,-0.655410,2.313237,7.088609,5.825949,0.935541,0.094493,0.045862,0.152671
