probe,repeat,target_depth_mm,depth_mm,force_N,file,t_img,Fx,Fy,Fz,Tx,Ty,Tz,tcp_x,tcp_y,tcp_z,area_px,radius_px,enclosing_radius_px,centroid_px,mean_abs_diff_in_region,dark_area_px,bright_area_px,diff_level
cyl4,1,0.1,0.0899143370940294,0.16742450326785843,cyl4_d0.10_r1.png,1788607201.6266665,0.002831156109575872,0.008230070049770255,-0.16742450326785843,-0.00014232019154289955,8.024852223810219e-05,0.0003266068787199483,37.87343215942383,363.11279296875,39.07520675659179,226,8.481629223064205,14.804618835449219,"[879.8539823008849, 596.5176991150443]",7.386407852172852,225,0,5
cyl4,1,0.2,0.1715958896215426,0.24635322154955758,cyl4_d0.20_r1.png,1788607206.7873669,0.0012835741514585664,0.00408587031548926,-0.24635322154955758,-0.00018250462126703226,-8.25568244218755e-06,0.00021945465675967668,37.87409210205078,363.112060546875,38.96406173706054,60174,138.3979013252131,182.08319091796875,"[904.9531192873999, 625.7531824375976]",7.555811882019043,59579,0,5
cyl4,1,0.3,0.2709797607355249,0.36684786280434595,cyl4_d0.30_r1.png,1788607212.1552458,-0.00011610231786178815,0.002571189979888544,-0.36684786280434595,5.5278627036126074e-05,-9.661290022570102e-05,0.0001542135693071156,37.87446212768554,363.1145629882812,38.86517333984375,107602,185.0696635679339,211.48143005371094,"[912.4010055575175, 602.5761788814334]",9.550424575805664,107460,0,5
cyl4,1,0.4,0.3765288382872427,0.5265140088988971,cyl4_d0.40_r1.png,1788607217.7279537,-0.00020674431190492726,0.006626175980031057,-0.5265140088988971,6.285559684996167e-05,-4.225874591183843e-05,0.00035040434364521646,37.8739547729492,363.112823486328,38.76461029052734,129550,203.06906646535333,222.7479705810547,"[914.3336858355847, 600.1842994982633]",11.913825988769531,129483,0,5
cyl4,1,0.5,0.47848775354058404,0.6286431928832996,cyl4_d0.50_r1.png,1788607223.5082288,-0.006128113611161367,0.0040919631688487,-0.6286431928832996,0.00013592470203848683,-0.00011279868098402202,8.008896939690758e-05,37.8733673095703,363.121856689453,38.66477966308593,144111,214.17739378335955,235.3280029296875,"[913.6986558971904, 599.9668033668491]",14.340950012207031,143940,0,5
cyl4,1,0.6,0.5775864576737249,0.7782523565730003,cyl4_d0.60_r1.png,1788607229.2884326,-0.005983243418912565,0.005398815789844314,-0.7782523565730003,0.0002178451993033015,-0.000165909270284903,0.0003938541117140648,37.87382507324218,363.1238708496093,38.5645637512207,154875,222.03207791378836,243.1754608154297,"[913.9175657788539, 599.7995544794189]",16.702564239501953,154612,0,5
cyl4,2,0.1,0.0689513578433818,0.12044012293495143,cyl4_d0.10_r2.png,1788607234.8606396,-0.006491470770278696,0.0018005279131502404,-0.12044012293495143,0.00024361894981428655,0.00010447536230286381,0.00020645716667799796,37.8686180114746,363.1405029296875,39.06574249267578,353,10.600159896099592,16.317583084106445,"[846.8866855524079, 682.8781869688386]",6.4923200607299805,350,0,5
cyl4,2,0.2,0.17151428426510762,0.2553770460414597,cyl4_d0.20_r2.png,1788607240.0211933,-0.00816162359581014,0.0004329308512751595,-0.2553770460414597,0.0003144312572216729,8.48949040522351e-05,0.0002691864137575273,37.86750030517578,363.1392211914062,38.96477127075195,52921,129.78935814130674,177.52098083496094,"[898.2827610967291, 632.4702858978477]",7.5139994621276855,52591,0,5
cyl4,2,0.3,0.2783818256872088,0.394225201942956,cyl4_d0.30_r2.png,1788607245.3896067,-0.008988720572117258,-0.008514061492304848,-0.394225201942956,0.0006841373063154771,-5.119502265298892e-05,0.00021019129104700164,37.86474609375,363.1498413085937,38.8637580871582,106762,184.34587076675697,211.41021728515625,"[912.9312957793971, 605.6672317865907]",9.540021896362305,106658,0,5
cyl4,2,0.4,0.37513587952402005,0.495919280036847,cyl4_d0.40_r2.png,1788607250.757868,-0.00928835657958622,-0.002029746390558351,-0.495919280036847,0.000565514427157493,-2.042303201253426e-05,4.530543289829048e-05,37.8641777038574,363.1484069824218,38.76307296752929,127647,201.5720765426162,220.68850708007812,"[913.3202660462056, 603.4692315526413]",11.699566841125488,127391,0,5
