approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.3911263704993928,0.006683355522469101,-0.013050290173023883,279,24.486544808251423,0.4,False
1,0.7858389953806935,0.014228681795731156,-0.004998626762125013,20601,24.486544808251423,0.4,False
1,0.8491076233733494,0.014030188081591295,-0.003122827410581408,74758,24.486544808251423,0.02,True
1,0.8294203389366821,-0.005409369074489589,-0.02205975475061166,52622,24.486544808251423,0.02,True
1,0.8395078527545579,-0.0018158286911673961,-0.01794641377671269,52015,24.486544808251423,0.02,True
1,0.8602373630328515,0.010835619551339307,-0.004792071712552115,52482,24.486544808251423,0.02,True
1,0.892256871782731,-0.011251398605106395,-0.02628942315205336,53146,24.486544808251423,0.02,True
1,0.9026535180609017,0.013901170573688483,-0.0006232244095542682,53144,24.486544808251423,0.02,True
1,0.9160835296597192,0.029443265674483333,0.015309302290040705,48023,24.486544808251423,0.02,True
1,0.9332734652968959,0.06231940942308354,0.048594294318536416,50664,24.486544808251423,0.02,True
1,0.9497918634506703,0.09480281781261862,0.08143774742850382,49306,24.486544808251423,0.02,True
1,0.9698876058125094,0.14270783824551106,0.12973437478482594,51895,24.486544808251423,0.02,True
1,0.9894281875380848,0.20508333187865846,0.19281509650872125,53593,24.486544808251423,0.02,True
1,1.0093033522011154,0.3080042925598436,0.29639053686603345,54966,24.486544808251423,0.02,True
1,1.0255938861417668,0.3723128055222729,0.3613643233362012,57987,24.486544808251423,0.02,True
1,1.0456428437493912,0.4949592513751402,0.4845886845335741,57074,24.486544808251423,0.02,True
1,1.065652786566833,0.6526915340203056,0.64296620853261,58781,24.486544808251423,0.02,True
1,1.0886676788303404,0.833642930119702,0.8250129078723489,59425,24.486544808251423,0.02,True
1,1.0966290870101716,0.9027780507451917,0.8954177940529462,63697,24.486544808251423,0.02,True
1,1.1277004495663334,1.1656788968675582,1.1593247873909207,69697,24.486544808251423,0.02,True
1,1.1414044389653064,1.3033831521810908,1.2980356702520226,65912,24.486544808251423,0.02,True
