t,at,where,Fx,Fy,Fz,Tx,Ty,Tz
1788899702.996347,2026-09-09T05:35:02.996334,tare,0.0,0.0,0.0,0.0,0.0,0.0
1788899931.618383,2026-09-09T05:38:51.618373,between normal and shear blocks,-0.04582,0.00238,0.03815,0.00181,0.00085,-0.00054
1788900089.299263,2026-09-09T05:41:29.299251,end of collect,-0.03307,0.00228,0.07012,0.00264,0.00061,-0.00057
