probe,repeat,target_depth_mm,depth_mm,force_N,file,t_img,Fx,Fy,Fz,Tx,Ty,Tz,tcp_x,tcp_y,tcp_z,area_px,radius_px,enclosing_radius_px,centroid_px,mean_abs_diff_in_region,dark_area_px,bright_area_px,diff_level
cyl4,1,0.1,0.08742444946683747,0.17562860114118167,cyl4_d0.10_r1.png,1788607935.326037,0.005779317344017798,0.014424924453514976,-0.17562860114118167,-0.000269182277535393,7.175602717335305e-05,0.0002058140258271557,37.8779830932617,363.1199340820312,38.96502685546875,471,12.244343853084386,22.192440032958984,"[880.7898089171974, 682.307855626327]",6.529309272766113,465,0,5
cyl4,1,0.2,0.1759094014710385,0.32180913317608884,cyl4_d0.20_r1.png,1788607940.485979,-0.002228669114118631,-0.0020996202274792706,-0.32180913317608884,0.00022960993761386993,-0.00021387577392268932,-8.714752518734769e-07,37.87982177734375,363.10986328125,38.85023880004883,62700,141.2728914679801,175.9551544189453,"[914.1987719298246, 634.5269218500797]",7.762802600860596,62581,0,5
cyl4,1,0.3,0.27179503191805665,0.4718636184862731,cyl4_d0.30_r1.png,1788607945.8543224,0.0055228274110376676,0.008311980178571331,-0.4718636184862731,-0.00011441632500688581,-0.00026137623521387264,-0.0002602792606396509,37.88168334960937,363.1128540039062,38.75296401977539,106377,184.01318094792313,203.1603546142578,"[917.8291077958581, 609.1763069084483]",9.9456148147583,106340,0,5
cyl4,1,0.4,0.3745618737585019,0.6865927865713815,cyl4_d0.40_r1.png,1788607951.4267962,0.0026193209447011867,0.005206258676662401,-0.6865927865713815,0.0001033271335256436,-0.0003036656417870542,-3.442923069689741e-05,37.881290435791,363.1178894042968,38.65410995483398,124199,198.83100752684584,216.30186462402344,"[920.4139727373006, 604.7465921625778]",12.311464309692383,124161,0,5
cyl4,1,0.5,0.4760295053688246,0.8899943820098144,cyl4_d0.50_r1.png,1788607957.002724,0.007990435696940069,0.010109378271577717,-0.8899943820098144,0.00014261483918048546,-0.0003293937441256389,-5.054895120397696e-05,37.8810806274414,363.1161804199218,38.55170440673828,136733,208.6227831938982,225.47425842285156,"[921.1195614811347, 603.2454052789012]",14.633955955505371,136619,0,5
cyl4,1,0.6,0.5762174993564564,1.0981946332155759,cyl4_d0.60_r1.png,1788607962.7789228,0.008705687795504246,0.014874240095419645,-1.0981946332155759,0.00011073596324825407,-0.0003936366138185543,4.270154219656597e-05,37.8810348510742,363.1193237304687,38.4509811401367,146776,216.14867997402172,233.63839721679688,"[922.0238662996675, 603.4521379517088]",16.82560157775879,146690,0,5
cyl4,2,0.1,0.06943881074527525,0.12346474123281723,cyl4_d0.10_r2.png,1788607968.5597644,0.007913358809336657,0.009598840392882479,-0.12346474123281723,1.2061111083241926e-05,-0.00020779495365890743,-4.799493175045022e-05,37.87797927856445,363.131591796875,38.95352935791015,542,13.134837582232015,20.718448638916016,"[877.8321033210332, 669.2361623616237]",6.745776653289795,532,0,5
cyl4,2,0.2,0.17420421543276277,0.3053895152997512,cyl4_d0.20_r2.png,1788607973.719576,0.01059755131768263,0.021325081764942234,-0.3053895152997512,5.1710477539526624e-05,-0.00010335296841339492,-0.00018807617621017237,37.8773078918457,363.135284423828,38.8475112915039,62146,140.64738243841532,177.71969604492188,"[914.741592379236, 636.5488044282818]",7.72691011428833,62119,0,5
cyl4,2,0.3,0.2723610039832707,0.48975327644255345,cyl4_d0.30_r2.png,1788607979.088063,0.007198331868027807,0.012917793634297148,-0.48975327644255345,0.00029093858078225733,-0.00040718405869198394,-0.0001846003917384209,37.87504577636718,363.1373901367187,38.75246047973633,104187,182.10917635262263,204.2842254638672,"[917.0142916102777, 609.692946336875]",9.880596160888672,103896,0,5
cyl4,2,0.4,0.37378339483276335,0.705897942448982,cyl4_d0.40_r2.png,1788607984.6604953,0.015964000713834282,0.0266414837600518,-0.705897942448982,0.00013653782895323429,-0.00028146671065366056,4.030448600800263e-05,37.8755760192871,363.1373901367187,38.65565490722656,122033,197.0895997780363,217.24880981445312,"[918.9607319331657, 605.6541837044078]",12.050984382629395,121870,0,5
cyl4,2,0.5,0.47328219225575907,0.8972949546540405,cyl4_d0.50_r2.png,1788607990.2367995,0.011538123387730793,0.018298073678936967,-0.8972949546540405,0.0005216896549704059,-0.0005110269600779149,-1.6041700898750122e-05,37.87447357177734,363.1405639648437,38.55464553833008,134522,206.9291726876998,222.79949951171875,"[919.8664233359599, 606.0007805414727]",14.549800872802734,134480,0,5
cyl4,2,0.6,0.5738946321627125,1.0865049087276333,cyl4_d0.60_r2.png,1788607996.0129352,0.012450596692763227,0.021236718756360417,-1.0865049087276333,0.000393107960231992,-0.000644308478744926,5.313896371372806e-06,37.8735122680664,363.1412963867187,38.45399856567383,144947,214.79772594858147,231.7569122314453,"[919.9217714061001, 604.1679648423217]",16.67152976989746,144899,0,5
cyl4,3,0.1,0.06854301329643775,0.12984999933051428,cyl4_d0.10_r3.png,1788608001.5892851,0.006918957147374982,0.012606769685482178,-0.12984999933051428,0.0004572022089008976,-0.000346021037598776,1.7617729842411832e-05,37.87210845947265,363.1370849609375,38.94670486450195,626,14.1160188704554,23.511669158935547,"[884.6501597444089, 674.2667731629393]",6.873046875,626,0,5
cyl4,3,0.2,0.173625954143926,0.30713260687171556,cyl4_d0.20_r3.png,1788608006.749489,0.010268217986495642,0.025573181786350218,-0.30713260687171556,0.00022510058794852073,-0.0003813602115046999,-0.0001265096712624203,37.8705825805664,363.1351623535156,38.85291290283203,53664,130.6972904545727,167.42396545410156,"[911.2401237328563, 642.9210457662492]",7.564085006713867,53560,0,5
cyl4,3,0.3,0.27555286805989,0.4904782886587952,cyl4_d0.30_r3.png,1788608012.1138418,0.009276512162561801,0.015820928018722213,-0.4904782886587952,0.0006801995588873761,-0.0006203453217944243,-0.00026787501688771973,37.86978530883789,363.1424255371093,38.75092315673828,103870,181.8319220541606,203.2963409423828,"[918.3948685857322, 611.4055357658611]",9.965276718139648,103845,0,5
cyl4,3,0.4,0.37660680587724116,0.6731461678553217,cyl4_d0.40_r3.png,1788608017.6902127,0.009607945955617581,0.01533374774062679,-0.6731461678553217,0.0006454168197695592,-0.0007114464287086286,-0.00028603293282443155,37.86946487426758,363.1483154296875,38.65340042114258,121697,196.8180840748857,215.9943084716797,"[919.0622529725466, 607.4982292086082]",11.996749877929688,121583,0,5
cyl4,3,0.5,0.48213900563460754,0.8970376923618943,cyl4_d0.50_r3.png,1788608023.262277,7.26753189880469e-05,-0.006669633539687858,-0.8970376923618943,0.0013843050551142044,-0.0009473575272120228,-0.00014183877852285142,37.86659240722656,363.1566772460937,38.55567932128906,134089,206.59587200256038,226.1352081298828,"[918.9700422853477, 606.7767900424345]",14.466655731201172,133977,0,5
cyl4,3,0.6,0.5750389676239145,1.0634428662508384,cyl4_d0.60_r3.png,1788608029.0426197,0.010476304494777721,0.02146575571416758,-1.0634428662508384,0.0006662360667342992,-0.0009268038298420655,-0.00013365051201836843,37.86525726318359,363.1566162109375,38.45381546020508,145110,214.91846729429713,229.39364624023438,"[919.5211908207567, 607.1868720281166]",16.71394157409668,145004,0,5
