approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.3873478061022908,0.009296007068715664,-0.005808234889869368,0,28.207255066966038,0.4,False
1,0.7613413149018946,0.0967445729868738,0.08101970168892218,0,28.207255066966038,0.4,False
1,0.7605824843462479,0.0947977245947518,0.07864233799422848,0,28.207255066966038,0.02,True
1,0.783739031719314,0.08567915578124057,0.06909227689348185,0,28.207255066966038,0.02,True
1,0.8568277764911514,0.1665665249251559,0.1495238386096922,285,28.207255066966038,0.02,True
1,0.8605095684515724,0.16587071297750017,0.14835825519589818,1184,28.207255066966038,0.02,True
1,0.8755303669285084,0.18268652629665302,0.16471856932544662,2019,28.207255066966038,0.02,True
1,0.8699745153444454,0.17733905735973526,0.1589221847968408,930,28.207255066966038,0.02,True
1,0.881654220960641,0.1886218144609415,0.16975809468720846,1352,28.207255066966038,0.02,True
1,0.8956706895669271,0.21045897524965404,0.191159664788497,3333,28.207255066966038,0.02,True
1,0.923417310623627,0.22657672010541008,0.20684260346093217,4489,28.207255066966038,0.02,True
1,1.0017421031850304,0.2775735265063911,0.25738802791674803,8634,28.207255066966038,0.02,True
1,0.9735479212964471,0.27073648276584344,0.25007610143139897,9068,28.207255066966038,0.02,True
1,0.9827494289152767,0.29353730420348784,0.2724443613949177,10582,28.207255066966038,0.02,True
1,0.9926524951936635,0.2941049475325647,0.2725806407571329,11716,28.207255066966038,0.02,True
1,0.9995326759848417,0.31481302904829567,0.2928532852558175,13197,28.207255066966038,0.02,True
1,1.0150323233743492,0.32621262467200196,0.30380110387810316,14082,28.207255066966038,0.02,True
1,1.0650836387130127,0.3560993044747975,0.3332337458180679,29707,28.207255066966038,0.02,True
1,1.0931021414284778,0.38168289473791045,0.35833862705614433,34680,28.207255066966038,0.02,True
1,1.1065972425613566,0.372898823825656,0.3490805442726739,40988,28.207255066966038,0.02,True
1,1.118950939648279,0.4048693731187692,0.3805664634079804,41114,28.207255066966038,0.02,True
1,1.1276893675390625,0.38504702126181384,0.36028865947204736,42239,28.207255066966038,0.02,True
1,1.1403845876142498,0.41229617168500493,0.38708955407666085,43024,28.207255066966038,0.02,True
1,1.143287721771717,0.3967916228689807,0.3711321566046261,42026,28.207255066966038,0.02,True
1,1.1690819592931483,0.4278980488659094,0.40179581427364514,45994,28.207255066966038,0.02,True
1,1.242316365548131,0.49588281568829934,0.46930237256532337,51075,28.207255066966038,0.02,True
1,1.2271218020401484,0.4826089688145254,0.4555468397235766,52742,28.207255066966038,0.02,True
