t,Fx,Fy,Fz,Tx,Ty,Tz
1788794206.689042,0.00251,0.00277,-0.02643,-1e-05,-2e-05,0.00022
1788794206.708746,-0.00296,0.00236,-0.00343,-2e-05,8e-05,3e-05
1788794206.729207,0.00057,0.00042,-0.02449,-5e-05,5e-05,0.00017
1788794206.749554,0.00054,-0.00317,-0.01267,-0.00011,-2e-05,7e-05
1788794206.768799,-0.00277,0.00014,-0.01731,1e-05,6e-05,0.00013
1788794206.789372,-0.00356,-0.00302,-0.0097,2e-05,0.00011,-2e-05
1788794206.808843,0.00042,0.00742,0.00544,-3e-05,2e-05,-2e-05
1788794206.829101,-0.00203,-0.0015,-0.00158,1e-05,6e-05,-2e-05
1788794206.849474,-0.00098,0.00072,0.01085,2e-05,5e-05,-5e-05
1788794206.869740,-0.00285,0.00063,-0.00032,-6e-05,0.0,1e-05
1788794206.889571,0.00118,0.00888,-0.00942,-0.00017,3e-05,0.00013
1788794206.909352,-0.00472,0.00069,0.01733,2e-05,0.00019,-9e-05
1788794206.929392,-0.00422,-0.00106,0.01481,-0.00012,4e-05,-6e-05
1788794206.948701,-0.00028,-0.00232,0.00232,0.0001,0.00014,-0.00014
1788794206.969210,-0.00318,0.00286,-0.02963,7e-05,0.00012,0.00015
1788794206.989511,0.00218,0.0024,-0.03308,4e-05,-7e-05,-7e-05
1788794207.008677,0.00174,0.01051,-0.00979,-0.0001,-4e-05,1e-05
1788794207.029617,-0.00235,0.00127,-0.01851,0.0001,0.00011,2e-05
1788794207.048687,0.00237,0.00092,-0.02613,3e-05,0.00016,5e-05
1788794207.068885,0.00297,0.00701,-0.01831,-0.00014,-5e-05,0.00016
1788794207.088975,-0.00073,0.00882,-0.0011,-0.00019,-2e-05,-6e-05
1788794207.109238,0.00052,0.0051,-0.00523,-0.00014,-0.0,-2e-05
1788794207.129176,-0.00546,0.00239,0.00257,0.0001,0.00016,-0.00012
1788794207.149013,0.00386,0.00291,-0.01064,-0.00015,-0.0,0.00013
1788794207.168924,0.00295,0.00057,-0.02046,-5e-05,4e-05,8e-05
1788794207.189404,-0.00667,0.00839,-0.01352,0.00014,0.00025,-5e-05
1788794207.208623,0.00098,0.00149,-0.02398,5e-05,0.00011,6e-05
1788794207.229287,-0.00215,0.00082,-0.00297,-0.00013,-3e-05,0.0001
1788794207.249291,-0.00183,0.001,-0.04404,0.00015,9e-05,0.00016
1788794207.269308,-0.00063,0.00447,-0.01015,-8e-05,-0.00012,0.00013
1788794207.289066,-0.00058,-0.00413,-0.01607,9e-05,-0.00015,0.00011
1788794207.309530,0.00339,-0.00119,-0.01322,-3e-05,8e-05,2e-05
1788794207.328775,0.0027,-0.00213,-0.02098,9e-05,-2e-05,4e-05
1788794207.349449,0.00339,0.00231,-0.0207,-8e-05,-0.00016,9e-05
1788794207.369227,-0.00127,0.002,-0.03321,-0.00016,-9e-05,0.00029
1788794207.389179,-0.00259,0.00471,-0.05244,0.00011,0.00014,0.00018
1788794207.408728,0.00279,0.00592,-0.04519,2e-05,4e-05,0.00024
1788794207.429410,-0.0009,0.00424,-0.05579,7e-05,9e-05,0.00017
1788794207.449455,-0.00537,0.00544,-0.01006,-0.00014,-7e-05,-1e-05
1788794207.469507,-7e-05,0.00074,-0.03075,1e-05,0.0,5e-05
1788794207.488665,0.00151,0.00083,-0.03992,-0.0001,-0.00014,7e-05
1788794207.508812,0.00059,-0.00038,-0.04055,7e-05,5e-05,0.00012
1788794207.528785,-0.00095,0.00432,-0.05879,-3e-05,0.00014,0.00017
1788794207.549107,-0.00163,0.00092,-0.05503,-2e-05,0.00016,0.0002
1788794207.569169,0.00104,0.00159,-0.04103,-8e-05,-5e-05,3e-05
