step,depth_mm,commanded_mm,force_N,img_mean_abs_diff,slope_levels_per_N,area_px,radius_px,region_mean_diff,dark_area_px,dark_radius_px,dark_mean_diff,bright_area_px,bright_radius_px
1,0.11109150486709751,0.1,0.024285607686235267,6.946174144744873,nan,20669,81.1119413991107,14.921191215515137,20622,81.019667198046,-14.923843383789062,0,0.0
2,0.17411579191539417,0.2,0.06693641566940016,7.12067174911499,nan,27678,93.86256458138654,16.530906677246094,26228,91.37084707295026,-16.554927825927734,0,0.0
3,0.3357368689503524,0.30000000000000004,0.284357254873467,7.484467506408691,1.9406975654781988,41209,114.53048546019453,18.547761917114258,31949,100.84484396183043,-18.461591720581055,2291,27.004591262358783
4,0.33365668565239304,0.4,0.3031511472887331,7.689365863800049,2.1009131365418394,47033,122.35631931732102,19.08524513244629,31572,100.24809088753082,-19.148273468017578,3539,33.56335333670394
5,0.5509629096183595,0.5,0.8396071615344965,8.280386924743652,1.2789901692331223,64896,143.72556618007556,20.21746063232422,31599,100.29094721619495,-19.915246963500977,8337,51.51455640024733
6,0.5585820402587913,0.6,0.9261821856175431,8.851791381835938,1.5959566654432293,79425,159.00239844149388,20.999208450317383,25064,89.32031676673863,-21.438962936401367,18260,76.2386943862237
7,0.6447279078449526,0.7,1.2533626811574663,9.473000526428223,2.611387727485918,90031,169.28602234978783,22.155475616455078,27666,93.84221497365007,-21.498184204101562,25200,89.5623198216277
8,0.8341346519811061,0.7999999999999999,2.0980563185777443,10.45106029510498,1.3234993203333034,109189,186.4294455350922,23.5956974029541,48007,123.61675738355719,-19.7901611328125,39265,111.79641175371658
9,0.8513163181976964,0.8999999999999999,2.188743215817979,11.139016151428223,1.532508778709063,120486,195.83637289007424,24.59566307067871,50438,126.70798727522285,-19.897117614746094,46188,121.25220419875642
10,1.1753210487240722,1.1976529142676904,4.256546819606538,14.18798542022705,1.613886461266878,153519,221.0579458355871,29.73964500427246,62989,141.59809822462586,-19.247905731201172,72602,152.01951965690319
11,1.2371229479341395,1.2976529142676905,4.359374027981298,15.257497787475586,1.7064134240642463,165381,229.43933247584533,31.063907623291016,45890,120.86041815654187,-18.05487632751465,86854,166.27232738675116
12,1.415493155555449,1.3976529142676906,5.472222859638893,17.05000877380371,2.047788622909744,181580,240.41362093952313,33.37388610839844,45094,119.80762082426918,-18.802934646606445,99233,177.7268829853157
13,1.4277719566200098,1.4976529142676906,5.5697476993283175,17.802200317382812,1.8976375451422447,195000,249.13937425834396,33.6982421875,48823,124.6629198003609,-18.7705020904541,104475,182.36070124632536
14,1.616339567149165,1.5976529142676907,7.05146295345246,19.320327758789062,1.2573272410824226,208964,257.90561656642853,35.25431442260742,52020,128.67975862302816,-19.359163284301758,112338,189.0986409102791
15,1.5744329211525177,1.6226529142676906,6.316168277051335,19.56791877746582,1.0279559380261205,214741,261.4463296146905,35.233516693115234,52505,129.278229312131,-19.391010284423828,115475,191.72071903441534
16,1.6204331122848323,1.6476529142676906,6.831814285321573,20.008506774902344,-0.12403274373389875,220524,264.94333231994017,35.52470397949219,54010,131.1179505360976,-19.434497833251953,118255,194.01478188701026
17,1.6216852859903028,1.6726529142676905,6.553060736309826,20.24797821044922,0.8044156094915381,222429,266.0852300936194,35.799354553222656,53354,130.3192451921433,-19.598112106323242,119280,194.85379961397354
18,1.6555934717624652,1.6976529142676904,6.877245062844284,20.56802749633789,0.33766042844347643,225265,267.7761686767357,36.07844161987305,54120,131.25140395541203,-19.66944694519043,121487,196.6481963883986
19,1.6632390535898907,1.7226529142676903,6.832148738390555,20.665164947509766,1.1663986910574016,244195,278.8004351801675,34.75273132324219,54289,131.45617296662724,-19.62980079650879,121982,197.04841165680872
20,1.7006199286786483,1.7476529142676902,7.368492945265283,20.934511184692383,0.6028287396239955,230260,270.7287099527489,36.26422882080078,56998,134.6960537384214,-19.51799201965332,122321,197.32203016360708
21,1.7125903697094103,1.7726529142676901,7.3990989473454505,21.126972198486328,0.6756577833049184,250629,282.44944408576424,34.965904235839844,56761,134.41572619927382,-19.52586555480957,124336,198.94063940921623
22,1.752708782872741,1.79765291426769,7.903380982832749,21.382381439208984,0.6913355701495811,263201,289.44685238133076,34.34075164794922,57708,135.53238325910968,-19.572540283203125,125054,199.51422131474177
23,1.7602251601226548,1.82265291426769,7.852552328138211,21.532047271728516,0.6591807022155832,263731,289.7381310651694,34.54838943481445,56430,134.02323260297564,-19.645015716552734,126140,200.3786641417278
24,1.8047474757394681,1.8476529142676898,8.466079524780474,21.83206558227539,0.6174250950826174,240983,276.9607757467263,36.72745132446289,59533,137.65878996337142,-19.49179458618164,127421,201.3935550295113
25,1.8015727123525345,1.8726529142676898,8.152963459469126,21.914196014404297,0.4837130674656269,271550,294.0017850170443,34.562034606933594,58499,136.45808892061171,-19.52860450744629,127255,201.26232773750354
26,1.854212299149129,1.8976529142676897,8.967487992032304,22.223674774169922,0.4173332751099195,280211,298.6535308973362,34.384342193603516,60965,139.30456636878347,-19.46614646911621,129206,202.79927799245948
27,1.8471813360081555,1.9226529142676896,8.629401689616236,22.27176856994629,0.4042608227468066,280002,298.5421322882815,34.48137283325195,60077,138.28630818798942,-19.419696807861328,129820,203.2805682409898
28,1.892519039407965,1.9476529142676895,9.41348192227478,22.480356216430664,0.28207914267119955,247676,280.7805537612185,37.09934997558594,60709,139.01177964594132,-19.37451934814453,130312,203.66540670516957
29,1.8919057372398171,1.9726529142676894,9.057634483937601,22.63422966003418,0.2854820887935185,248805,281.419777613369,37.262142181396484,61001,139.34569016333953,-19.38484001159668,130947,204.16102631528094
30,1.9571833016283264,1.9976529142676893,10.192861819258946,22.893983840942383,0.2780785084611509,252734,283.6330918189451,37.22874069213867,61714,140.15768375635514,-19.347890853881836,132155,205.10056803582688
