approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.39287064216026124,0.11284580432437345,0.1260907587931456,4796,28.76302021055884,0.4,False
1,0.42556349307412233,0.13764144115213098,0.1507310795900428,6380,28.76302021055884,0.02,True
1,0.4312215363327425,0.14078275136066384,0.15371638208365493,8139,28.76302021055884,0.02,True
1,0.4633588703612723,0.15293651673445388,0.1657148005026509,9665,28.76302021055884,0.02,True
1,0.468506994984466,0.11216582484949812,0.1247881662141225,11224,28.76302021055884,0.02,True
1,0.49319744011061317,0.12596235591393692,0.1384290685448827,11357,28.76302021055884,0.02,True
1,0.5142068149074497,0.14942087609741844,0.16173093370241673,22710,28.76302021055884,0.02,True
1,0.5248898286357395,0.18098053256420565,0.19313456045893246,26773,28.76302021055884,0.02,True
1,0.558921999292334,0.18656187058153692,0.1985596079479123,29525,28.76302021055884,0.02,True
1,0.564954256487681,0.1743687568771634,0.18621156648234585,30571,28.76302021055884,0.02,True
1,0.5959263413321274,0.1772951632895658,0.18898069221577268,33712,28.76302021055884,0.02,True
1,0.6058978772852228,0.19558936931643464,0.20711976878993,36609,28.76302021055884,0.02,True
1,0.6358699365500513,0.1932372841924226,0.20461153365592158,37575,28.76302021055884,0.02,True
1,0.6651558947287235,0.1901923087794607,0.20141072376953845,39903,28.76302021055884,0.02,True
1,0.6642743233810968,0.21719670189687595,0.22825897670514575,41070,28.76302021055884,0.02,True
1,0.7043161127716075,0.23301167967451594,0.24391854444316674,43571,28.76302021055884,0.02,True
1,0.6996980121487191,0.220873378930525,0.23162311772982966,44520,28.76302021055884,0.02,True
1,0.7394256111301765,0.21606699563948,0.22666122571245922,45709,28.76302021055884,0.02,True
1,0.7458411096892341,0.24473118678171857,0.2551505285151459,46809,28.76302021055884,0.02,True
1,0.778094513611773,0.23606702323220954,0.24633015450216125,48124,28.76302021055884,0.02,True
1,0.7829444894744562,0.24313051146810516,0.25323735990133117,50132,28.76302021055884,0.02,True
1,0.8180472391756801,0.2711223621479497,0.2810725877610996,51923,28.76302021055884,0.02,True
1,0.8253379513889598,0.2661590978009079,0.27593555582533613,52733,28.76302021055884,0.02,True
1,0.860180664462959,0.2701438306671951,0.27976299969129836,54717,28.76302021055884,0.02,True
1,0.8713112245926027,0.2822472974682008,0.2917117572677398,55359,28.76302021055884,0.02,True
1,0.9007199168815703,0.3041177200748737,0.31342158936744796,57147,28.76302021055884,0.02,True
