step,depth_mm,commanded_mm,force_N,img_mean_abs_diff,slope_levels_per_N,area_px,radius_px,region_mean_diff,dark_area_px,dark_radius_px,dark_mean_diff,bright_area_px,bright_radius_px
1,0.10560868792274292,0.1,0.056128228034583574,1.998765468597412,nan,0,0.0,0.0,0,0.0,0.0,0,0.0
2,0.18327005335748936,0.2,0.09508062720589976,2.115206718444824,nan,2653,29.059871438903453,6.805800437927246,2646,29.02150855559218,-6.806868076324463,0,0.0
3,0.34481830475642283,0.30000000000000004,0.166289506273705,2.3807296752929688,3.49939485837673,19156,78.08677339816708,8.058659553527832,19127,78.02764377473771,-8.061552047729492,0,0.0
4,0.3517684544166322,0.4,0.19861571369545744,2.6946632862091064,5.289509418000059,37810,109.7055003024421,9.276912689208984,37761,109.63439064539064,-9.280959129333496,0,0.0
5,0.5281822447859277,0.5,0.33241929576479945,3.1839280128479004,4.491087065719955,57722,135.54882238625598,10.85001277923584,57683,135.50302271440145,-10.853219032287598,0,0.0
6,0.5308311177113225,0.6,0.3312941204536145,3.659040927886963,5.4320620352973075,72515,151.92840878722313,12.170381546020508,72494,151.90640832107024,-12.172093391418457,0,0.0
7,0.7228921817931067,0.7,0.6000896176803309,4.369897365570068,3.530162120493525,89980,169.23806769996366,13.967637062072754,89961,169.22019876770028,-13.969292640686035,0,0.0
8,0.7346927442838904,0.7999999999999999,0.6080737270157272,5.0742506980896,3.951068138903073,104896,182.72775875913027,15.268342971801758,104860,182.69640025252903,-15.27158260345459,0,0.0
9,0.8796819810121121,0.8999999999999999,0.8128960302611148,5.917754650115967,5.816397739912769,120832,196.11736324803013,16.856239318847656,120778,196.0735357805991,-16.861074447631836,0,0.0
10,0.9092301986573013,0.9999999999999999,0.9006643362142824,6.717601776123047,5.350979648098648,132402,205.29214683106184,18.253005981445312,132377,205.27276439740285,-18.25528335571289,0,0.0
11,1.0985142092402889,1.0999999999999999,1.263843970781835,7.917909622192383,4.10574886040705,149872,218.41643542127747,20.102685928344727,149830,218.38582886011025,-20.10665512084961,0,0.0
12,1.1185529823285414,1.2,1.3168953706146425,8.888276100158691,4.516491993731263,163004,227.78451371307622,21.354406356811523,162953,227.7488767992221,-21.35926628112793,590,13.704117368456696
13,1.2495932812430972,1.3,1.6318251219385076,10.102675437927246,5.214215019964554,176820,237.24155216786514,22.965848922729492,176810,237.23484351198505,-22.966766357421875,1579,22.41899440840747
14,1.2954087269853929,1.4000000000000001,1.748600119782506,11.084210395812988,4.829984751024876,187604,244.3689994406489,24.21383285522461,187587,244.35792726973017,-24.21549415588379,3505,33.40173874327782
15,1.4725125001652444,1.5000000000000002,2.18930069648963,12.481078147888184,3.9645045810352575,202177,253.68275041669713,25.76483154296875,202127,253.65137958361484,-25.769681930541992,12447,62.94444497594401
16,1.4999200037156264,1.6000000000000003,2.2892798569151696,13.61632251739502,4.225503710676474,215246,261.7535668553844,26.772933959960938,215226,261.74140590245275,-26.774829864501953,26412,91.69078859888968
17,1.6554905041402392,1.7000000000000004,2.7499885083684488,15.182631492614746,4.378973533077404,230910,271.1105601386621,28.314943313598633,230885,271.0958835385453,-28.31736183166504,65539,144.4358391487357
18,1.7018429273685953,1.8000000000000005,2.9192265136023794,16.36619758605957,4.161956588361907,242677,277.93252463399057,29.401031494140625,242664,277.92508023009253,-29.402267456054688,90029,169.28414203120295
