t,Fx,Fy,Fz,Tx,Ty,Tz
1788774730.466678,2e-05,0.0027,0.02016,-0.00026,-0.00032,-9e-05
1788774730.479842,0.00218,-0.00114,0.02246,-7e-05,0.00019,-8e-05
1788774730.500188,0.00423,0.0055,-0.00185,-0.0003,-0.00043,0.00013
1788774730.519453,-0.00143,-0.00044,-0.01475,0.00015,0.00021,0.00025
1788774730.539771,0.00047,0.00023,-0.03611,-4e-05,-6e-05,0.00022
1788774730.560111,0.00454,0.008,-0.02399,-1e-05,-9e-05,8e-05
1788774730.580405,-0.00077,-0.00039,-0.00208,-1e-05,0.00017,0.00023
1788774730.599783,-0.00053,0.00097,-0.01692,2e-05,6e-05,0.00014
1788774730.620153,-0.00069,-0.00198,-0.00147,-4e-05,-3e-05,4e-05
1788774730.640489,-0.00076,0.00675,-0.01971,-1e-05,-2e-05,0.0002
1788774730.659708,0.00248,0.00594,0.00138,0.00011,9e-05,6e-05
1788774730.680045,0.00239,0.00189,0.0165,6e-05,1e-05,-0.00016
1788774730.700355,0.00119,0.00182,0.01469,0.00011,1e-05,-0.00013
1788774730.719654,-0.00248,0.00528,0.00629,-9e-05,-6e-05,-0.00013
1788774730.740046,-0.00036,0.00895,0.00933,7e-05,2e-05,-4e-05
1788774730.760428,-0.00401,0.00768,-0.02472,0.00024,0.00022,4e-05
1788774730.779971,0.00039,-0.00178,0.00511,0.00011,0.00011,-0.00017
1788774730.800481,7e-05,0.00499,-0.00256,7e-05,5e-05,6e-05
1788774730.820359,0.00016,0.00168,-0.02178,6e-05,2e-05,0.00016
1788774730.840083,0.00043,0.0017,-0.00573,-1e-05,2e-05,0.0
1788774730.859906,0.00295,-0.00025,-0.01378,0.00014,-6e-05,9e-05
1788774730.880478,0.00246,0.00138,-0.01464,0.00023,6e-05,0.00012
1788774730.899865,-0.00283,-0.00137,0.01233,0.00015,0.00016,-8e-05
1788774730.919883,7e-05,0.00247,0.01974,-3e-05,-6e-05,-8e-05
1788774730.939970,-0.00103,-0.00034,8e-05,0.00015,9e-05,-4e-05
1788774730.960140,-0.00055,0.00277,0.02937,-0.00012,-0.00017,-0.00026
1788774730.979736,0.00012,-0.00045,0.01312,7e-05,-3e-05,-0.0001
1788774730.999977,-0.00122,-0.00186,-0.0024,0.00018,3e-05,-0.00013
1788774731.019757,0.00242,0.0064,0.00318,8e-05,-4e-05,-0.00012
1788774731.040032,0.00182,-0.00399,0.00576,-0.00014,-0.00015,-5e-05
1788774731.060579,0.00261,-0.00064,-0.0038,1e-05,0.0001,2e-05
1788774731.082579,-0.00252,-0.00041,0.00837,3e-05,-5e-05,-0.00018
1788774731.100109,-0.00011,0.00473,0.01298,0.0002,0.00015,-0.00022
1788774731.120183,0.00207,0.00727,0.01211,3e-05,2e-05,-0.0001
1788774731.140478,-0.00037,0.00569,0.01362,0.00017,0.00029,-7e-05
1788774731.159650,0.00195,-0.00428,0.00796,-3e-05,-3e-05,-1e-05
1788774731.179816,0.0042,0.00598,-0.00059,-0.0003,-0.00029,0.00013
1788774731.200010,0.00361,0.00829,0.01505,9e-05,0.0002,-9e-05
1788774731.220400,-0.00039,-0.00326,0.0007,3e-05,-4e-05,0.00011
1788774731.239480,-0.00149,-0.00442,-0.01779,-3e-05,-6e-05,4e-05
1788774731.259923,0.00793,0.00196,-0.01375,0.00022,0.00014,0.0
1788774731.280067,0.00022,-0.00039,-0.03868,0.0001,-3e-05,3e-05
1788774731.300210,0.00014,0.01477,-0.01289,0.0,-5e-05,-0.00015
1788774731.320399,0.00172,0.00347,0.00019,6e-05,0.00039,8e-05
1788774731.339909,0.0011,0.00098,0.0039,-2e-05,1e-05,4e-05
1788774731.359701,0.00207,0.0102,0.0138,-0.00023,-0.00026,-8e-05
1788774731.380068,0.00319,0.01069,0.01566,-0.00024,0.00012,-0.00011
1788774731.400545,-0.00369,0.00649,0.00631,3e-05,0.00017,4e-05
1788774731.419531,-0.0025,0.00152,0.01158,-1e-05,-0.00021,-0.0003
1788774731.439879,0.00642,-0.00361,0.0368,-1e-05,0.00018,-0.00017
1788774731.460160,-0.00246,0.00809,0.00402,-0.00017,-0.00016,-0.00014
1788774731.480521,-0.00101,0.00542,0.02787,9e-05,0.00024,-0.00021
1788774731.499667,-0.00507,-0.00417,-0.01062,-0.0,-2e-05,8e-05
1788774731.520045,0.00638,0.00428,0.01225,2e-05,-0.0001,-0.0001
1788774731.540182,0.00713,-0.00752,0.01406,0.00023,0.00011,-5e-05
1788774731.560441,-0.00013,-0.00011,0.01258,3e-05,-0.0002,-0.00028
1788774731.580593,-0.00058,0.00328,0.00227,0.00016,4e-05,-0.0001
1788774731.599846,-0.00185,-0.00014,0.00926,0.00036,0.00021,-8e-05
1788774731.620042,0.00286,0.00013,0.01898,-0.00035,-0.00038,-0.0001
1788774731.639785,-0.00156,-0.00806,0.00176,0.00019,0.0001,0.00014
1788774731.660226,0.00097,-0.00059,-0.00434,-0.0,-0.00021,-5e-05
1788774731.679504,0.01106,0.02308,-0.0144,-0.00073,-4e-05,-0.0
1788774731.700537,0.00457,0.02273,-0.04462,-0.00046,0.00018,0.00017
1788774731.719652,0.00056,0.01032,-0.07236,0.00021,0.0002,0.00019
1788774731.739906,-0.00276,-0.00138,-0.05358,0.00033,-6e-05,-4e-05
1788774731.760381,-0.00268,-0.00536,-0.04351,6e-05,-0.00022,0.00013
1788774731.780560,0.00222,-0.0038,-0.04859,0.00027,-7e-05,0.0001
1788774731.799540,-0.00018,-0.00243,-0.04459,0.00012,2e-05,-2e-05
1788774731.819969,0.00106,0.00035,-0.03172,-0.0001,-0.0003,-8e-05
1788774731.840206,-0.00359,-0.0056,-0.01906,0.00014,-0.00022,-0.00023
1788774731.860369,0.00039,-0.00519,-0.04695,0.00011,0.0,0.00013
1788774731.879489,0.00117,-0.00607,-0.02927,6e-05,-4e-05,-2e-05
1788774731.899831,0.00079,0.00204,-0.02848,0.00013,-2e-05,-6e-05
1788774731.920075,-0.00165,3e-05,-0.04936,0.00018,-3e-05,0.00017
1788774731.940399,-0.00143,0.00086,-0.03023,0.00018,-5e-05,-5e-05
1788774731.959909,0.00317,-0.00052,-0.02901,0.00021,-3e-05,-1e-05
1788774731.980105,-0.00025,0.00026,-0.04329,-3e-05,-2e-05,0.00014
