t,x,y,z,rx,ry,rz
1788774727.055463,37.8345,363.0946,42.1308,179.4005,1.002,-122.3475
1788774727.075541,37.8351,363.096,42.133,179.4002,1.002,-122.3475
1788774727.095712,37.8345,363.0945,42.1325,179.4005,1.002,-122.3475
1788774727.115736,37.8338,363.0956,42.1334,179.4003,1.0018,-122.3475
1788774727.155879,37.8337,363.0961,42.1347,179.4002,1.002,-122.3475
1788774727.176028,37.8354,363.0939,42.1312,179.4005,1.0017,-122.3477
1788774727.196177,37.8336,363.0966,42.1343,179.4,1.0021,-122.3472
1788774727.217730,37.834,363.0944,42.1325,179.4003,1.0018,-122.3475
1788774727.237908,37.8346,363.0954,42.1334,179.4002,1.0017,-122.3477
1788774727.258737,37.8327,363.0941,42.1329,179.4005,1.0017,-122.3472
1788774727.278927,37.8336,363.0967,42.1326,179.4,1.0021,-122.3475
1788774727.299008,37.834,363.0945,42.1308,179.4003,1.0018,-122.3475
1788774727.319082,37.8341,363.0939,42.1329,179.4005,1.0017,-122.3475
1788774727.339165,37.8344,363.0949,42.1339,179.4003,1.0021,-122.3472
1788774727.359246,37.8342,363.0963,42.133,179.4003,1.0021,-122.3477
1788774727.379328,37.8337,363.0962,42.133,179.4002,1.002,-122.3475
1788774727.479704,37.8356,363.0961,42.133,179.4003,1.0021,-122.3477
1788774727.499816,37.8338,363.0958,42.1317,179.4003,1.0018,-122.3472
1788774727.519897,37.8335,363.0971,42.134,179.3999,1.0023,-122.3472
1788774727.540132,37.8337,363.0962,42.133,179.4002,1.002,-122.3475
1788774727.560288,37.8339,363.0949,42.1322,179.4002,1.002,-122.3472
1788774727.580367,37.8338,363.0954,42.1335,179.4,1.0021,-122.3472
1788774727.600544,37.8336,363.0966,42.1343,179.4,1.0021,-122.3475
1788774727.620748,37.8354,363.0943,42.1325,179.4003,1.0018,-122.3477
1788774727.640869,37.834,363.0944,42.1325,179.4003,1.0018,-122.3475
1788774727.660953,37.8352,363.0955,42.1334,179.4003,1.0018,-122.3477
1788774727.681122,37.8337,363.0962,42.133,179.4002,1.002,-122.3475
1788774727.701339,37.8351,363.096,42.133,179.4002,1.002,-122.3475
1788774727.721508,37.8335,363.0943,42.1325,179.4002,1.0017,-122.3472
1788774727.741668,37.8342,363.0935,42.1316,179.4006,1.0015,-122.3475
1788774727.761855,37.8355,363.0934,42.1316,179.4006,1.0015,-122.3475
1788774727.782037,37.8341,363.0939,42.1329,179.4005,1.0017,-122.3475
1788774727.802113,37.8334,363.0948,42.1339,179.4,1.0018,-122.3472
1788774727.822216,37.8337,363.0962,42.133,179.4002,1.002,-122.3475
1788774727.842281,37.834,363.0944,42.1325,179.4003,1.0018,-122.3475
1788774727.882540,37.8337,363.0962,42.133,179.4002,1.002,-122.3472
1788774727.902754,37.835,363.0966,42.1326,179.4,1.0021,-122.3477
1788774727.922923,37.836,363.094,42.1312,179.4006,1.0018,-122.3475
1788774727.943110,37.8335,363.0943,42.1325,179.4002,1.0017,-122.3475
1788774727.963268,37.8345,363.0945,42.1325,179.4005,1.002,-122.3472
1788774727.983421,37.8354,363.0943,42.1325,179.4003,1.0018,-122.3477
1788774728.003590,37.8351,363.0956,42.1317,179.4003,1.0018,-122.3477
1788774728.023667,37.8345,363.0945,42.1325,179.4005,1.002,-122.3472
1788774728.043828,37.834,363.0944,42.1325,179.4003,1.0018,-122.3477
1788774728.063940,37.8335,363.0943,42.1325,179.4002,1.0017,-122.3475
1788774728.084083,37.8341,363.094,42.1312,179.4005,1.0017,-122.3475
1788774728.104152,37.8335,363.0972,42.1322,179.3999,1.0023,-122.3475
1788774728.124227,37.8337,363.0962,42.133,179.4002,1.002,-122.3472
1788774728.144298,37.8335,363.0943,42.1325,179.4002,1.0017,-122.3475
1788774728.164474,37.8349,363.0941,42.1342,179.4002,1.0017,-122.3479
