approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.3770033588518231,-0.009505588033904456,-0.01653644124703817,0,28.617295348656622,0.4,False
1,0.738542293016959,-0.012952720365075901,-0.017575722419095996,0,28.617295348656622,0.4,False
1,1.1150874985458827,-0.01234410602395905,-0.014611931646916787,0,28.617295348656622,0.4,False
1,1.4949943156375944,0.12105405435399033,0.12122306376297728,0,28.617295348656622,0.4,False
1,1.498697344870287,0.10338872392315258,0.10522654872001169,805,28.617295348656622,0.02,True
1,1.510795151707466,0.11537934203601055,0.11915129012707552,1008,28.617295348656622,0.02,True
1,1.5189976090797117,0.10665553952545605,0.11235439589746932,2455,28.617295348656622,0.02,True
1,1.5909443837978507,0.13734782061261658,0.14500120712060038,9397,28.617295348656622,0.02,True
1,1.5880783506457412,0.14177179564420184,0.1513645148019748,9110,28.617295348656622,0.02,True
1,1.6008864867943124,0.15247811645178694,0.1640703011782847,10255,28.617295348656622,0.02,True
1,1.612621835715668,0.1797853957956103,0.1933029962724845,11645,28.617295348656622,0.02,True
1,1.6292164993305143,0.19320004742158955,0.20862602894453347,13769,28.617295348656622,0.02,True
1,1.6631011380054623,0.21982557901919655,0.23714427447918068,18378,28.617295348656622,0.02,True
1,1.6812938223659124,0.19078624626170188,0.21003784689677046,20402,28.617295348656622,0.02,True
1,1.6958055725959156,0.19979925881998348,0.2210277574707135,22040,28.617295348656622,0.02,True
1,1.7102897610173038,0.2187024777243496,0.24187576267357258,23524,28.617295348656622,0.02,True
1,1.7257842913955628,0.2257767241760432,0.25086741563087,26036,28.617295348656622,0.02,True
1,1.7467974738184147,0.25223769088436115,0.279420987169965,28306,28.617295348656622,0.02,True
1,1.7689718142258997,0.2615715190483752,0.2905209196204709,31189,28.617295348656622,0.02,True
