sensor_id,index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
9DTact_soft_2mm_r2,1,2026-09-03T16:40:51.476268,0001.png,N0.10,-0.0173,0.005,-0.04673,-0.000832,0.000513,0.000982,-0.01716,-0.00507,-0.04678,0.05008,37.9422,362.8307,38.5738,-0.0,0.1657,10.97,17.796,0.3596,0.028
9DTact_soft_2mm_r2,2,2026-09-03T16:40:54.058522,0002.png,N0.20,-0.01408,0.00527,-0.14454,-0.00079,0.000824,0.001015,-0.01382,-0.00479,-0.14458,0.14532,37.9463,362.8231,38.365,0.209,0.3747,5.702,5.469,0.1034,0.028
9DTact_soft_2mm_r2,3,2026-09-03T16:40:56.577928,0003.png,N0.30,-0.01284,0.00485,-0.24638,-0.00077,0.000622,0.000923,-0.01184,-0.00616,-0.2464,0.24676,37.9486,362.8134,38.1949,0.3792,0.5449,2.523,3.126,0.0556,0.028
9DTact_soft_2mm_r2,4,2026-09-03T16:40:59.664901,0004.png,N0.40,-0.01431,0.00127,-0.34796,-0.000605,0.000621,0.001196,-0.01062,-0.01162,-0.3479,0.34826,37.9551,362.7894,38.0689,0.5056,0.6713,1.785,1.739,0.0412,0.028
9DTact_soft_2mm_r2,5,2026-09-03T16:41:01.967311,0005.png,N0.50,-0.01064,0.00362,-0.42964,-0.000732,0.000595,0.000954,-0.00805,-0.00906,-0.42962,0.42979,37.9565,362.7937,37.9527,0.6217,0.7874,1.385,1.703,0.0262,0.028
9DTact_soft_2mm_r2,6,2026-09-03T16:41:04.082263,0006.png,N0.60,-0.01063,0.00494,-0.53482,-0.000488,0.000717,0.0011,-0.00797,-0.0096,-0.53481,0.53495,37.9613,362.7926,37.8595,0.7149,0.8806,1.34,0.912,0.0219,0.028
9DTact_soft_2mm_r2,7,2026-09-03T16:41:06.359004,0007.png,N0.70,-0.00236,0.00514,-0.60064,-0.000601,0.001023,0.000879,-0.00045,-0.00634,-0.60064,0.60067,37.9655,362.7917,37.7397,0.8348,1.0005,1.703,1.0,0.0094,0.028
9DTact_soft_2mm_r2,8,2026-09-03T16:41:09.057918,0008.png,N0.80,-0.00592,0.00772,-0.67959,-0.000713,0.000462,0.001129,-0.00428,-0.00716,-0.67961,0.67966,37.9679,362.7858,37.6981,0.8765,1.0422,0.679,1.049,0.0143,0.028
