probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,rung_depth_mm,surface_offset_mm,force_wanted_N,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,2,1,1.1856051029372077,-0.7239709515474891,960.0,540.0,0.15,0.3254630419207736,0.3,0.0,0.0,0.3510906948738068,ball4_x+1.19_y-0.72_d0.15.png,1789054225.7510164,-0.001792487295021772,0.00624710788975662,-0.3510906948738068,39.3134307861328,362.7217712402343,37.4128952026367,43383,117.51271332205461,"[923.1539082128944, 569.2658184081322]",12
ball4,2,1,1.1856051029372077,-0.7239709515474891,960.0,540.0,0.3,0.448389842049302,0.44999999999999996,0.0,0.0,0.6064586839405564,ball4_x+1.19_y-0.72_d0.30.png,1789054227.1191602,0.0035277411967580717,0.020412283571025824,-0.6064586839405564,39.31410980224609,362.7178649902343,37.26004791259765,67688,146.78473890704177,"[907.1644900130008, 563.9474352913368]",12
ball4,0,0,-6.32108424125682,-0.2613169399377022,435.32616524696994,305.4711567879183,0.15,0.28093105892498826,0.3,0.0,0.3510906948738068,0.2824632325116937,ball4_x-6.32_y-0.26_d0.15.png,1789054231.7992842,-0.012833033330588606,0.010572852739108107,-0.2824632325116937,32.58389663696289,359.3675231933593,37.43276596069336,6110,44.10071886696362,"[215.9582651391162, 246.96415711947625]",12
ball4,0,0,-6.32108424125682,-0.2613169399377022,435.32616524696994,305.4711567879183,0.3,0.45708890172243244,0.44999999999999996,0.0,0.6064586839405564,0.5892020049578633,ball4_x-6.32_y-0.26_d0.30.png,1789054233.1674883,-0.019368926153283894,0.011263454958454489,-0.5892020049578633,32.57901763916015,359.3692016601562,37.28892135620117,10649,58.220975412399156,"[202.71246126396844, 247.5346980937177]",12
ball4,1,0,-3.2789804310102513,-1.8524622562631272,697.663082623485,305.4711567879183,0.15,0.32303829132798256,0.3,0.0,0.3510906948738068,0.2792358159723364,ball4_x-3.28_y-1.85_d0.15.png,1789054236.4836295,0.0052411022468643155,-0.006171466006319015,-0.2792358159723364,36.01485443115234,359.5079956054687,37.40699386596679,7480,48.7950606993654,"[612.3008021390374, 310.0913101604278]",12
ball4,1,0,-3.2789804310102513,-1.8524622562631272,697.663082623485,305.4711567879183,0.3,0.5052490762731487,0.44999999999999996,0.0,0.6064586839405564,0.5876401715920394,ball4_x-3.28_y-1.85_d0.30.png,1789054237.8477423,0.0024798969881747015,-0.0040928043090524115,-0.5876401715920394,36.01337814331054,359.5087280273437,37.2634925842285,14108,67.01280380853288,"[586.0336688403743, 310.8703572441168]",12
ball4,2,0,-0.23687662076368476,-3.4436075725885518,960.0,305.4711567879183,0.15,0.37221994714043305,0.3,0.0,0.3510906948738068,0.24582635758744117,ball4_x-0.24_y-3.44_d0.15.png,1789054241.3599944,-0.00010530352695390378,0.004665532872414247,-0.24582635758744117,39.44495773315429,359.6573486328125,37.38298034667968,17825,75.32512012088709,"[933.110350631136, 348.3459747545582]",12
ball4,2,0,-0.23687662076368476,-3.4436075725885518,960.0,305.4711567879183,0.3,0.5499198825685028,0.44999999999999996,0.0,0.6064586839405564,0.5807531113067028,ball4_x-0.24_y-3.44_d0.30.png,1789054242.7240026,-0.0023445676871240552,-0.009357947620898699,-0.5807531113067028,39.44701766967773,359.6455688476562,37.23798370361328,42157,115.84036374187568,"[898.0434803235524, 379.82830846597244]",12
ball4,3,0,2.805227189482882,-5.034752888913976,1222.336917376515,305.4711567879183,0.15,0.42013769649239663,0.3,0.0,0.3510906948738068,0.24510883364420125,ball4_x+2.81_y-5.03_d0.15.png,1789054246.0441713,0.0092134479550392,-0.008189930677042235,-0.24510883364420125,42.876895904541,359.7892456054687,37.36178588867187,17782,75.23421027777302,"[1258.2124620402653, 349.3646946350242]",12
ball4,3,0,2.805227189482882,-5.034752888913976,1222.336917376515,305.4711567879183,0.3,0.5971336327650008,0.44999999999999996,0.0,0.6064586839405564,0.5519181544429728,ball4_x+2.81_y-5.03_d0.30.png,1789054247.4083052,0.007116633780470494,-0.0113182149362272,-0.5519181544429728,42.8777389526367,359.7904968261718,37.21439361572265,34594,104.93622921871194,"[1244.0317685147713, 353.7594380528415]",12
ball4,4,0,5.847330999729449,-6.6258982052394,1484.67383475303,305.4711567879183,0.15,0.4769322739373685,0.3,0.0,0.3510906948738068,0.2291167772989752,ball4_x+5.85_y-6.63_d0.15.png,1789054250.7243764,-0.003097886865712951,0.01279462850706814,-0.2291167772989752,46.30514907836914,359.9346313476562,37.34091186523437,3511,33.43031573873165,"[1690.9245229279409, 205.2275704927371]",12
ball4,4,0,5.847330999729449,-6.6258982052394,1484.67383475303,305.4711567879183,0.3,0.6443499554099539,0.44999999999999996,0.0,0.6064586839405564,0.5288857868455551,ball4_x+5.85_y-6.63_d0.30.png,1789054252.0924542,0.005656082691418618,-0.002450615212841889,-0.5288857868455551,46.30852890014648,359.9300842285156,37.18717193603515,7852,49.9936918652256,"[1608.4631940906775, 370.4359398879266]",12
ball4,0,1,-4.898602517555927,2.4583196811033603,435.32616524696994,540.0,0.15,0.2184798983516565,0.3,0.0,0.3510906948738068,0.33125500380729705,ball4_x-4.90_y+2.46_d0.15.png,1789054259.1128733,-0.015534098164767229,0.011573480164521222,-0.33125500380729705,32.44741439819336,362.4343872070312,37.46048355102539,16015,71.39840913657255,"[365.00487043396816, 544.4866063065875]",12
ball4,0,1,-4.898602517555927,2.4583196811033603,435.32616524696994,540.0,0.3,0.37502567140216314,0.44999999999999996,0.0,0.6064586839405564,0.6331441163419071,ball4_x-4.90_y+2.46_d0.30.png,1789054260.4810345,-0.024236731496778675,0.019785849180822445,-0.6331441163419071,32.44746780395508,362.43408203125,37.31518936157226,24334,88.00995835924684,"[364.6215994082354, 544.3457302539656]",12
ball4,1,1,-1.856498707309359,0.8671743647779352,697.663082623485,540.0,0.15,0.2584424759554764,0.3,0.0,0.3510906948738068,0.3123911124200589,ball4_x-1.86_y+0.87_d0.15.png,1789054263.797212,0.018319315074912267,0.009358810923594696,-0.3123911124200589,35.89101028442383,362.5750732421875,37.4405288696289,30786,98.99236413003874,"[665.9826219710258, 567.8112778535698]",12
ball4,1,1,-1.856498707309359,0.8671743647779352,697.663082623485,540.0,0.3,0.42954538979837764,0.44999999999999996,0.0,0.6064586839405564,0.6555033648861439,ball4_x-1.86_y+0.87_d0.30.png,1789054265.1613262,0.012665044293928318,0.0010411109857248134,-0.6555033648861439,35.88874053955078,362.5755615234375,37.28835296630859,54334,131.51064350808295,"[673.4532152979718, 570.1336732064638]",12
ball4,3,1,4.227708913183775,-2.3151162678729134,1222.336917376515,540.0,0.15,0.34356775720445754,0.3,0.0,0.3510906948738068,0.2741208818051916,ball4_x+4.23_y-2.32_d0.15.png,1789054269.6494713,0.013144277698669882,-0.003660455163401366,-0.2741208818051916,42.75055694580078,362.8511657714843,37.37078475952148,33343,103.02138872596376,"[1268.1999220226135, 580.5482410101071]",12
ball4,3,1,4.227708913183775,-2.3151162678729134,1222.336917376515,540.0,0.3,0.5175992176949826,0.44999999999999996,0.0,0.6064586839405564,0.5861063008290358,ball4_x+4.23_y-2.32_d0.30.png,1789054271.0136366,0.013517793159441283,-0.00829230094171134,-0.5861063008290358,42.74903869628906,362.8586120605468,37.24102783203125,62974,141.58123736052752,"[1275.0061771524756, 578.1025026201289]",12
