sensor_id,index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
9DTact_soft_2mm_r1,1,2026-09-02T12:33:51.916960,0001.png,N0.10,0.02788,-0.00049,-0.17369,-0.00013,-0.000591,-0.000148,0.0256,0.01073,-0.17371,0.17592,37.8659,362.9129,38.4403,-0.0,0.4829,-3.401,0.751,0.1585,0.022
9DTact_soft_2mm_r1,2,2026-09-02T12:33:54.300702,0002.png,N0.20,0.02939,0.00114,-0.26231,-0.000278,-0.000683,2.7e-05,0.02671,0.01147,-0.26235,0.26396,37.866,362.912,38.2822,0.158,0.6409,-2.605,1.061,0.1114,0.022
9DTact_soft_2mm_r1,3,2026-09-02T12:33:55.623330,0003.png,N0.30,0.02743,0.00267,-0.29921,-0.000164,-0.000618,-9.7e-05,0.0245,0.01122,-0.29926,0.30047,37.8657,362.9137,38.2078,0.2324,0.7152,-2.064,0.548,0.0917,0.022
9DTact_soft_2mm_r1,4,2026-09-02T12:33:58.300424,0004.png,N0.40,0.03014,0.00306,-0.43078,-0.000362,-0.000626,-0.000113,0.02756,0.01081,-0.43083,0.43185,37.8644,362.9211,38.0109,0.4291,0.912,-1.454,0.841,0.0701,0.022
9DTact_soft_2mm_r1,5,2026-09-02T12:34:00.599706,0005.png,N0.50,0.0309,-0.00184,-0.54153,-0.000265,-0.000649,2.5e-05,0.03144,0.00517,-0.54148,0.54241,37.8683,362.9072,37.8891,0.5511,1.034,-1.199,0.489,0.0571,0.022
9DTact_soft_2mm_r1,6,2026-09-02T12:34:01.112132,0006.png,N0.60,0.02899,-0.00046,-0.53196,-0.00026,-0.0006,-3.6e-05,0.02903,0.00557,-0.53193,0.53275,37.8682,362.9074,37.884,0.5563,1.0392,-1.127,0.488,0.0544,0.022
