unit,principle,hardness,thickness_mm,rep,reference,n_dots,dot_d_px,pitch_px,pitch_nn_px,ac_peak,w_dot_2px,w_pitch_2px,short,a_2N_mm,px_per_mm,a_2N_px,contact_d_px,dots_across,dots_in_contact,pitch_mm,dot_d_mm
DIGIT_Marker_hard_1mm_r1,DIGIT_Marker,hard,1,1,reference_collect.png,20,83.47,320.0,297.75,0.48,46.0,12.0,hard_1mm_r1,1.472007985712034,109.59370954358714,161.32281563196543,322.64563126393085,1.008267597699784,0.7984385599512224,2.919875614509891,0.7616313048223143
DIGIT_Marker_hard_1mm_r2,DIGIT_Marker,hard,1,2,reference_collect.png,15,86.91,314.01,291.45,0.485,44.2,12.2,hard_1mm_r2,1.4233273551787025,116.85507771801971,166.32302870759074,332.6460574151815,1.0593486112390735,0.8813891186262035,2.6871746280271216,0.743741750013812
DIGIT_Marker_hard_2mm_r1,DIGIT_Marker,hard,2,1,reference_collect.png,20,98.66,288.0,282.18,0.527,38.9,13.3,hard_2mm_r1,1.8671083926756904,96.95203120755916,181.01995115458917,362.03990230917833,1.2570829941290915,1.2411314592473321,2.9705411677599303,1.0176166375388707
DIGIT_Marker_hard_2mm_r2,DIGIT_Marker,hard,2,2,reference_collect.png,23,103.39,274.0,266.26,0.597,37.1,14.0,hard_2mm_r2,1.8463091398788016,91.2134140949101,168.40816012298245,336.8163202459649,1.2292566432334486,1.1867930910423248,3.0039441316701,1.1334955612166848
DIGIT_Marker_hard_3mm_r1,DIGIT_Marker,hard,3,1,reference_collect.png,24,92.5,244.03,244.15,0.6,41.5,15.7,hard_3mm_r1,2.3030755084234644,82.82859802821872,190.7605155158426,381.5210310316852,1.5634185593233831,1.919731131305083,2.94620464198684,1.1167640428790833
DIGIT_Marker_hard_3mm_r2,DIGIT_Marker,hard,3,2,reference_collect.png,21,98.14,258.0,251.96,0.564,39.1,14.9,hard_3mm_r2,2.048573318190003,85.22867961477,174.59719900338206,349.1943980067641,1.353466658940946,1.4387489019168047,3.02715002938153,1.1514903251298578
DIGIT_Marker_medium_1mm_r1,DIGIT_Marker,medium,1,1,reference_collect.png,17,99.0,284.0,278.5,0.573,38.8,13.5,medium_1mm_r1,1.8431345576218792,98.17513265018174,180.94997968666203,361.89995937332407,1.2742956315962115,1.2753525944271142,2.8927895724057806,1.0084019988315924
DIGIT_Marker_medium_1mm_r2,DIGIT_Marker,medium,1,2,reference_collect.png,19,97.15,310.01,295.05,0.584,39.5,12.4,medium_1mm_r2,1.5619097277051577,103.8973401138131,162.27826620645598,324.55653241291196,1.046922784467959,0.8608335494843004,2.9838107468430204,0.9350576241276071
DIGIT_Marker_medium_2mm_r1,DIGIT_Marker,medium,2,1,reference_collect.png,20,100.16,286.04,283.35,0.578,38.3,13.4,medium_2mm_r1,1.888175921359024,90.95340615734834,171.73603147189272,343.47206294378543,1.2007833273101154,1.1324503744076428,3.144906959340853,1.1012231892308064
DIGIT_Marker_medium_2mm_r2,DIGIT_Marker,medium,2,2,reference_collect.png,18,98.57,266.02,255.62,0.593,39.0,14.4,medium_2mm_r2,1.973088885478807,90.34144297921408,178.25169704040468,356.50339408080936,1.3401375613894044,1.4105505054984027,2.9446064976093678,1.091082860196058
DIGIT_Marker_medium_3mm_r1,DIGIT_Marker,medium,3,1,reference_collect.png,13,78.16,252.03,243.4,0.511,49.1,15.2,medium_3mm_r1,2.2631563710888383,,,,,,,
DIGIT_Marker_medium_3mm_r2,DIGIT_Marker,medium,3,2,reference_collect.png,19,95.91,256.03,247.98,0.633,40.0,15.0,medium_3mm_r2,2.262573322568796,83.27704604480881,188.42042276331767,376.84084552663535,1.4718620690022084,1.7014692632862531,3.0744366204132425,1.151697911431606
DIGIT_Marker_soft_1mm_r1,DIGIT_Marker,soft,1,1,reference_collect.png,17,96.86,312.01,294.4,0.527,39.6,12.3,soft_1mm_r1,1.3934219380718822,105.49374708072848,146.99730151169365,293.9946030233873,0.9422601936584959,0.6973191150279756,2.95761605435473,0.9181586840960199
DIGIT_Marker_soft_1mm_r2,DIGIT_Marker,soft,1,2,reference_collect.png,19,88.81,312.01,292.17,0.563,43.2,12.3,soft_1mm_r2,1.5669690201149478,104.09080649109308,163.10706905032276,326.2141381006455,1.045524624533334,0.8585358073628959,2.9974789370730672,0.8531973475255893
DIGIT_Marker_soft_2mm_r1,DIGIT_Marker,soft,2,1,reference_collect.png,20,100.06,285.06,283.73,0.549,38.4,13.5,soft_2mm_r1,2.0680688552366915,94.92124702759877,196.3036746780054,392.6073493560108,1.3772796932435656,1.489821268326731,3.0031211022450806,1.0541370149815574
DIGIT_Marker_soft_2mm_r2,DIGIT_Marker,soft,2,2,reference_collect.png,20,102.69,284.01,276.97,0.53,37.4,13.5,soft_2mm_r2,1.9303337638864424,90.15474388177012,174.02874608951552,348.05749217903104,1.2255113981163728,1.179572369648275,3.1502502006156625,1.1390415587522356
DIGIT_Marker_soft_3mm_r1,DIGIT_Marker,soft,3,1,reference_collect.png,24,96.51,254.0,252.14,0.576,39.8,15.1,soft_3mm_r1,2.143483183978825,83.85132893559746,179.7339135277302,359.4678270554604,1.4152276655726788,1.5730499054040115,3.02917083395406,1.1509656582082928
DIGIT_Marker_soft_3mm_r2,DIGIT_Marker,soft,3,2,reference_collect.png,24,96.36,250.02,246.63,0.641,39.8,15.4,soft_3mm_r2,2.0936788459551288,83.46284486742829,174.7443927221692,349.4887854443384,1.3978433143122087,1.5346412538370933,2.995584447152859,1.1545257072540176
