unit,probe,dataset,hardness,thickness_mm,rep,n_rungs,dip_at_shallowest,max_dip,F_rayleigh,F_d360,A_rayleigh,dip_at_0.2N,dip_at_0.3N,dip_at_0.5N,dip_at_40kpx,dip_at_60kpx,dip_at_80kpx
hard_1mm_r1,pair025,20260909_passA_pair025,hard,1,1,6,0.783,0.974,0.1991858988157645,0.1991858988157645,47.842,0.7832094280079102,0.8089344867555883,0.8714070098894088,,0.8063358925143954,0.8642839685363798
hard_1mm_r2,pair025,20260909_passA_pair025,hard,1,2,6,0.065,0.704,-0.002741408140245691,0.10789053412898154,13.440211640211642,0.7022683878701274,0.6466409281652381,0.6540661481009112,0.6384063789868668,0.7018100078527179,0.6259004013611378
hard_2mm_r1,pair025,20260909_passA_pair025,hard,2,1,9,0.651,1.0,0.1187365569418659,0.12374302789985758,30.57,0.9107069072885867,0.9748172716492237,0.9987978959761126,0.75244443168332,0.9416893265200666,0.9876772510773418
hard_2mm_r2,pair025,20260909_passA_pair025,hard,2,2,9,0.756,1.0,0.1263346414050005,0.1263346414050005,55.156,0.8881444232455219,0.9767462484769134,0.9990191953920786,,0.8037324090121317,0.9647250371885459
hard_3mm_r1,pair025,20260909_passA_pair025,hard,3,1,9,0.106,0.719,0.37501447731582427,0.5308358626624351,28.953013495276654,-0.10645696377555222,-0.12108158179744935,0.6307944700326714,0.18030090566805745,0.6711096378931968,
hard_3mm_r2,pair025,20260909_passA_pair025,hard,3,2,5,0.831,1.0,0.1371699075936931,0.1371699075936931,38.52,0.9079633761244434,0.9936484326416204,1.0,0.8442368690896661,0.9905010351966874,1.0
medium_1mm_r1,pair025,20260909_passA_pair025,medium,1,1,6,0.818,0.977,0.2060753585370463,0.2060753585370463,57.646,,0.8804722250839333,0.9254435349873711,,0.8318961038961039,0.915769804526749
medium_1mm_r2,pair025,20260909_passA_pair025,medium,1,2,6,0.967,1.0,0.230007360976171,0.230007360976171,58.972,,0.9617435812855872,0.9826346761522502,,0.9665938364282892,0.9586918214144606
medium_2mm_r1,pair025,20260909_passA_pair025,medium,2,1,9,0.712,1.0,0.0371300297894833,0.0371300297894833,20.689,0.9990647005294319,1.0,1.0,0.9103603060015084,0.9993183882278553,1.0
medium_2mm_r2,pair025,20260909_passA_pair025,medium,2,2,9,0.413,1.0,0.1118233938607858,0.17438003362731025,53.314,0.7710252718648343,0.8389031294345933,0.9283902503407783,,0.533336900965445,0.8281213411389037
medium_3mm_r1,pair025,20260909_passA_pair025,medium,3,1,9,0.201,1.0,0.07502040328319784,0.1553213980797623,13.079671679197997,0.84495001301759,0.8805453000404203,0.9905616518211595,0.6794653179190752,0.8579818353943554,0.9364263549069604
medium_3mm_r2,pair025,20260909_passA_pair025,medium,3,2,9,0.244,1.0,0.06757398086311849,0.11970655955883884,14.550155940594061,0.7517830886668371,0.8981263955792903,0.99570922695558,0.6135925411086625,0.7829423339177869,0.9078415513099187
soft_1mm_r1,pair025,20260909_passA_pair025,soft,1,1,6,0.791,0.984,0.1734922637205585,0.1734922637205585,41.98,0.8042480737503627,0.8542262145116218,0.877536022139406,,0.8483435410229212,0.8684361122267485
soft_1mm_r2,pair025,20260909_passA_pair025,soft,1,2,6,0.773,1.0,0.1306552373291339,0.1306552373291339,36.377,0.8728675275150068,0.9722096435926242,0.9797336285764271,0.8049454561566751,0.9720771539418783,0.9813884266263238
soft_2mm_r1,pair025,20260909_passA_pair025,soft,2,1,9,0.362,1.0,0.0225013041159172,0.08456972016279402,19.829,0.9655333813195871,0.9957942684511816,1.0,0.7982032775176574,0.9754656155832975,0.9988254582242323
soft_2mm_r2,pair025,20260909_passA_pair025,soft,2,2,9,0.4,1.0,0.1105081717583772,0.1726251020366455,27.226,0.7846667572507644,0.9808075880988344,0.9988298436102565,0.6462024981388039,0.9388638511739554,0.9966553363747349
soft_3mm_r1,pair025,20260909_passA_pair025,soft,3,1,9,0.134,1.0,0.024490040572331333,0.10312649669559273,4.0523989898989905,0.9644591008561774,1.0,1.0,0.9146028880866426,1.0,1.0
soft_3mm_r2,pair025,20260909_passA_pair025,soft,3,2,9,0.574,1.0,0.0720677086367828,0.0885878264327892,12.725,0.9733953117994877,0.9987961851200484,1.0,0.9445742487259093,0.9976106803538277,1.0
hard_1mm_r1,pair010,20260909_passA_pair010,hard,1,1,6,0.584,0.997,0.1459778833059545,0.34517923089517244,44.724,0.5936883225914276,0.6149943433468408,0.8452136526300196,,0.6010357275618521,0.7661087690151083
