unit,probe,dataset,hardness,thickness_mm,rep,n_rungs,dip_at_shallowest,max_dip,F_rayleigh,F_d360,A_rayleigh,dip_at_0.2N,dip_at_0.3N,dip_at_0.5N,dip_at_40kpx,dip_at_60kpx,dip_at_80kpx
hard_1mm_r2,pair010,20260909_passA_pair010,hard,1,2,6,0.788,1.0,0.2294192487738598,0.2294192487738598,59.323,,0.8298337908352947,0.9418194238684601,,0.7913706252745644,0.8906165423916045
hard_2mm_r1,pair010,20260909_passA_pair010,hard,2,1,9,0.185,1.0,0.06683906043031598,0.25611359010258716,28.93986945169713,0.6224293543337923,0.7062170564146989,0.9822824411093952,0.3992682810865637,0.6077319907824866,0.7343238398021813
hard_2mm_r2,pair010,20260909_passA_pair010,hard,2,2,9,0.237,1.0,0.08688164700635743,0.35328670847729904,41.542875,0.49999911812767317,0.6242570929171424,0.8310872080662204,0.25273018070792064,0.411781552881031,0.5468760495620206
hard_3mm_r1,pair010,20260909_passA_pair010,hard,3,1,9,0.138,0.962,0.04954587130023086,0.21898668158398898,5.041961672473868,0.6356794774100559,0.766167377214954,0.8765567579607787,0.692558874210224,0.8009555190808371,0.9013754409381256
hard_3mm_r2,pair010,20260909_passA_pair010,hard,3,2,9,0.166,0.922,0.12419038293901784,0.40770006189891483,40.22047297297297,0.4377943682234347,0.6086210055313778,0.7183896405023028,0.26253438113948924,0.482285172903837,0.6383639138817481
medium_1mm_r1,pair010,20260909_passA_pair010,medium,1,1,6,0.554,0.966,0.2231596977730959,0.47665554812027194,63.912,,0.5895752810628603,0.6762020974105967,,,0.6156747549553474
medium_1mm_r2,pair010,20260909_passA_pair010,medium,1,2,6,0.553,0.805,0.2480279385816487,0.6954704158338694,69.648,,0.5499944651040266,0.5718426747146111,,,0.5481982930562642
medium_2mm_r1,pair010,20260909_passA_pair010,medium,2,1,9,0.068,1.0,0.16174987295617516,0.3018740260432369,46.390482972136226,0.3868707110324049,0.6629586564559286,0.9893024983798054,0.20763767229879942,0.443324683856134,0.6892979082493735
medium_2mm_r2,pair010,20260909_passA_pair010,medium,2,2,9,0.44,1.0,0.1758257052317844,0.2711047080929659,68.133,0.498673456219413,0.7300744766147697,0.9797850537876384,,,0.5513083374689827
medium_3mm_r1,pair010,20260909_passA_pair010,medium,3,1,9,0.183,0.779,0.0843047309743533,0.3852991244422605,28.585652173913047,0.49758913165249863,0.6044637895909571,0.7144972448844471,0.3898359486447931,0.5654535989449574,0.65279731410097
medium_3mm_r2,pair010,20260909_passA_pair010,medium,3,2,9,0.308,1.0,0.0453857770303102,0.13422370018421123,26.826,0.7801859468286735,0.8479387599158631,0.9415099430620268,0.4959305654974946,0.7145449854161992,0.8351655248907157
soft_1mm_r1,pair010,20260909_passA_pair010,soft,1,1,6,0.36,0.89,0.1730789651547098,0.6235087244529637,65.732,0.37881246149544556,0.4486926187908727,0.5858540075962297,,,0.459561707905854
soft_1mm_r2,pair010,20260909_passA_pair010,soft,1,2,6,0.428,0.982,0.1310002157905074,0.2165008041444563,39.071,0.6208752625397237,0.8098261417730305,0.9244899414099467,0.4414227833990739,0.7303955153489967,0.902450537761494
soft_2mm_r1,pair010,20260909_passA_pair010,soft,2,1,9,0.036,0.961,0.31245492885537784,0.6361415265802166,74.43627659574469,0.15539611680809118,0.24809247439274018,0.29107559219400936,0.09568411880587968,0.17872064967927973,0.3083441074092491
soft_2mm_r2,pair010,20260909_passA_pair010,soft,2,2,9,0.145,0.979,0.13012496870858392,0.5214706533290976,44.41319138755981,0.410621804269127,0.548427988058632,0.6390484900027301,0.22571398756282474,0.39161969710388805,0.534562659642401
soft_3mm_r1,pair010,20260909_passA_pair010,soft,3,1,9,0.285,1.0,0.1031549994132575,0.1991649177590636,1.83,0.6685776854683674,0.8490836533223565,0.9983629286818729,0.7001084236364725,0.8718372844827587,0.9642055927051671
soft_3mm_r2,pair010,20260909_passA_pair010,soft,3,2,9,0.246,1.0,0.004933840241107004,0.11398377672045651,3.264903536977493,0.8399641780584627,0.9567452459605046,1.0,0.7096193556412489,0.8546474181010549,0.9777867258761401
