unit,run,th,hard,pr,ceil,depth,match_err,steps,fmax,dmax,peak,img0,img1,d_over_t
DIGIT_hard_1mm_r1,DIGIT_hard_1mm_r1__5,1,hard,DIGIT,9.84857194359586,1.1207383017064672,0.0,12,12.711365671062447,1.176957902384579,3.306146132971909,6.433299541473389,16.807416915893555,1.1207383017064672
DIGIT_hard_1mm_r2,DIGIT_hard_1mm_r2__7,1,hard,DIGIT,5.194252392097544,0.9152609477115696,0.0,12,10.66614955256369,1.1033481827724143,6.474547373225153,3.4078400135040283,17.22289276123047,0.9152609477115696
DIGIT_hard_2mm_r1,DIGIT_hard_2mm_r1__3,2,hard,DIGIT,7.369257710949978,1.5522382917563746,0.0,17,9.041913375399412,1.6640180304505847,4.806645506424797,6.498032569885254,19.61933135986328,0.7761191458781873
DIGIT_hard_2mm_r2,DIGIT_hard_2mm_r2__2,2,hard,DIGIT,9.029345784596403,1.6302656865925904,0.0,18,14.180584748725082,1.8107924936830957,4.300627740900884,7.00884485244751,21.23182678222656,0.8151328432962952
DIGIT_hard_3mm_r1,DIGIT_hard_3mm_r1__2,3,hard,DIGIT,7.880387980449271,2.201433003320613,0.0,26,10.25003674719404,2.40297874246998,2.8896851003685065,5.071468830108643,14.869571685791016,0.7338110011068709
DIGIT_hard_3mm_r2,DIGIT_hard_3mm_r2,3,hard,DIGIT,7.864814161882879,1.9808530848001347,0.0,22,10.111069316039984,2.1442128850591478,4.043757018536492,6.942079544067383,18.891855239868164,0.6602843616000449
DIGIT_medium_1mm_r1,DIGIT_medium_1mm_r1,1,medium,DIGIT,7.521938639870854,1.1024184236638277,0.0,13,15.11364591143357,1.2730606043942707,3.5249677693771098,6.735444068908691,17.60466766357422,1.1024184236638277
DIGIT_medium_1mm_r2,DIGIT_medium_1mm_r2,1,medium,DIGIT,8.927928983453356,1.1137343618566113,0.0,14,11.20962142538636,1.1805001794316323,2.995382433902099,7.02707576751709,16.841480255126953,1.1137343618566113
DIGIT_medium_2mm_r1,DIGIT_medium_2mm_r1__2,2,medium,DIGIT,5.195311888728128,1.6014551979600462,0.0,30,11.174789516640198,2.054068520566709,7.306718786208827,5.529553890228272,21.933725357055664,0.8007275989800231
DIGIT_medium_2mm_r2,DIGIT_medium_2mm_r2__2,2,medium,DIGIT,7.3305772103473625,1.4455435243355907,8.881784197001252e-16,23,10.454760135610332,1.6093485728665549,4.211086468297673,7.558707237243652,20.03657913208008,0.7227717621677954
DIGIT_medium_3mm_r1,DIGIT_medium_3mm_r1,3,medium,DIGIT,6.634052774018221,2.2170745818890225,0.0,43,10.68093088794026,2.622656374138547,3.209953144876458,6.47459888458252,17.591135025024414,0.7390248606296742
DIGIT_medium_3mm_r2,DIGIT_medium_3mm_r2,3,medium,DIGIT,6.471092957569394,2.256683940930021,0.0,41,10.021466028174569,2.6511381575626918,4.226489890374883,6.644320964813232,20.21245765686035,0.7522279803100069
DIGIT_soft_1mm_r1,DIGIT_soft_1mm_r1,1,soft,DIGIT,7.846187409128047,0.8282917758339856,0.0,12,10.609095271007927,0.9032899110441726,2.1754269225370595,7.638078212738037,14.94471263885498,0.8282917758339856
DIGIT_soft_1mm_r2,DIGIT_soft_1mm_r2,1,soft,DIGIT,8.468353444083665,1.1716026180060624,0.0,18,12.344173108390356,1.2936993392605525,2.954280317610225,6.184814453125,15.35142421722412,1.1716026180060624
DIGIT_soft_2mm_r1,DIGIT_soft_2mm_r1,2,soft,DIGIT,6.405215407156595,1.4752321560684436,0.0,26,10.675442377154235,1.7285561345016198,4.45200923732341,6.003028392791748,17.24268341064453,0.7376160780342218
DIGIT_soft_2mm_r2,DIGIT_soft_2mm_r2,2,soft,DIGIT,6.802880733671438,1.5084007172497174,0.0,27,10.56355149203595,1.7517411516302168,5.724294413738537,6.590464115142822,18.67853736877441,0.7542003586248587
DIGIT_soft_3mm_r1,DIGIT_soft_3mm_r1__2,3,soft,DIGIT,5.266272933010308,1.817245431635424,0.0,36,10.007910660254597,2.31975901065427,4.922459403698687,5.935206413269043,15.923470497131348,0.605748477211808
DIGIT_soft_3mm_r2,DIGIT_soft_3mm_r2__2,3,soft,DIGIT,7.114780330765035,2.136691929409455,0.0,37,10.308441139548666,2.466392818579262,4.6909016302858895,5.981196403503418,17.66773223876953,0.712230643136485
DIGIT_Marker_hard_1mm_r1,DIGIT_Marker_hard_1mm_r1,1,hard,Marker,10.800870363452788,1.1734465279000403,0.0,20,11.648002198494003,1.1950761616581609,1.30228644325022,10.974077224731444,19.171714782714844,1.1734465279000403
DIGIT_Marker_hard_1mm_r2,DIGIT_Marker_hard_1mm_r2,1,hard,Marker,10.013795399696885,1.0445186621386249,1.7763568394002505e-15,18,11.74058916361676,1.076230915777419,0.8737046468031284,6.527891635894775,13.83806610107422,1.0445186621386249
DIGIT_Marker_hard_2mm_r1,DIGIT_Marker_hard_2mm_r1,2,hard,Marker,9.696140478630076,1.6797744690066558,0.0,30,11.438739472315085,1.809191211799984,2.268507543360011,6.700144290924072,22.781639099121094,0.8398872345033279
DIGIT_Marker_hard_2mm_r2,DIGIT_Marker_hard_2mm_r2,2,hard,Marker,9.415069372416507,1.7409262240222674,0.0,27,10.746346661007257,1.8386777979223297,3.1719928690044568,6.718679904937744,24.998178482055664,0.8704631120111337
DIGIT_Marker_hard_3mm_r1,DIGIT_Marker_hard_3mm_r1__2,3,hard,Marker,9.234974356675561,2.396653616661414,1.7763568394002505e-15,39,11.320170850885845,2.612299888147664,2.408065276961918,6.501285076141357,24.10885238647461,0.7988845388871381
DIGIT_Marker_hard_3mm_r2,DIGIT_Marker_hard_3mm_r2,3,hard,Marker,12.282480305298373,2.7536539445552783,0.0,49,12.282480305298373,2.7639254170938905,1.5273798255256767,6.998456001281738,21.95709991455078,0.9178846481850927
DIGIT_Marker_medium_1mm_r1,DIGIT_Marker_medium_1mm_r1,1,medium,Marker,8.257566191896903,1.6037119787833518,0.0,25,10.561983188717504,1.7082595178913706,2.121192348684651,6.237812519073486,20.406761169433597,1.6037119787833518
DIGIT_Marker_medium_1mm_r2,DIGIT_Marker_medium_1mm_r2,1,medium,Marker,12.56442504405656,1.5752936647203413,0.0,28,13.44118442246998,1.6044847333502863,1.7613579534543184,9.65440273284912,26.054712295532227,1.5752936647203413
DIGIT_Marker_medium_2mm_r1,DIGIT_Marker_medium_2mm_r1,2,medium,Marker,6.2260423741513025,1.5152520646213397,8.881784197001252e-16,32,10.873477961292185,1.9620712001592224,2.4427120600360985,6.928541660308838,24.822025299072266,0.7576260323106698
DIGIT_Marker_medium_2mm_r2,DIGIT_Marker_medium_2mm_r2,2,medium,Marker,10.027504378909551,1.9627252858517004,0.0,29,11.475502862323983,2.0447303675186745,2.5816980784372143,6.470843315124512,24.57159423828125,0.9813626429258502
DIGIT_Marker_medium_3mm_r1,DIGIT_Marker_medium_3mm_r1__2,3,medium,Marker,6.939144782104512,2.0557431305114164,0.0,37,10.0642728578169,2.5158408038093683,3.170588672130032,6.302301406860352,18.485111236572266,0.6852477101704721
DIGIT_Marker_medium_3mm_r2,DIGIT_Marker_medium_3mm_r2,3,medium,Marker,6.7336824064301934,2.3297621188709137,0.0,41,10.082043124907102,2.7538876786323065,1.7902929176851037,7.378745079040527,18.252901077270508,0.7765873729569712
DIGIT_Marker_soft_1mm_r1,DIGIT_Marker_soft_1mm_r1__2,1,soft,Marker,20.516453738273633,1.2727021687009383,3.552713678800501e-15,19,20.516453738273636,1.2727021687009383,1.2908239017454577,6.700160503387451,19.668333053588867,1.2727021687009383
DIGIT_Marker_soft_1mm_r2,DIGIT_Marker_soft_1mm_r2__2,1,soft,Marker,12.330521853015586,1.3164236352716507,0.0,21,15.940669739458723,1.4163168526893948,1.6101104122414582,6.132410526275635,18.19294166564941,1.3164236352716507
DIGIT_Marker_soft_2mm_r1,DIGIT_Marker_soft_2mm_r1,2,soft,Marker,12.25352802735473,1.9909762995799163,0.0,32,16.050125864016913,2.1654917587027995,1.9036521924249956,6.749484062194824,23.921714782714844,0.9954881497899581
DIGIT_Marker_soft_2mm_r2,DIGIT_Marker_soft_2mm_r2,2,soft,Marker,9.41348192227478,1.892519039407965,0.0,30,10.192861819258946,1.9571833016283264,2.1009131365418394,6.946174144744873,22.893983840942383,0.9462595197039825
DIGIT_Marker_soft_3mm_r1,DIGIT_Marker_soft_3mm_r1,3,soft,Marker,8.053216786675609,2.3053805692824056,0.0,41,10.371241712737037,2.541015831540747,2.9731313065239,6.376878261566162,24.136445999145508,0.7684601897608019
DIGIT_Marker_soft_3mm_r2,DIGIT_Marker_soft_3mm_r2,3,soft,Marker,7.054495608897099,2.0492864697147546,0.0,40,10.09645613122087,2.3747252134118355,3.1694091614877795,6.657857894897461,25.118934631347656,0.6830954899049182
