a,b,n,replicate,dist_px,dB,dG,dR
DIGIT_hard_1mm_r1,DIGIT_hard_1mm_r2,12,True,46.95548667151299,0.578661822147698,0.8167895150804494,0.9048227032710076
DIGIT_hard_1mm_r1,DIGIT_medium_2mm_r1,9,False,80.7038143906762,0.11703727865341272,0.29076161320700383,-0.19450015819919203
DIGIT_hard_1mm_r1,DIGIT_medium_2mm_r2,22,False,50.13754591764211,0.7758381127485755,0.7777412059536386,0.6470664762073005
DIGIT_hard_1mm_r1,DIGIT_soft_3mm_r1,19,False,74.91515459111852,0.7896771925964838,0.373770151810515,0.4185377994662255
DIGIT_hard_1mm_r1,DIGIT_soft_3mm_r2,18,False,70.21726470120838,0.7171241659067717,-0.07293810133835342,0.2638400389360247
DIGIT_hard_1mm_r2,DIGIT_medium_2mm_r1,19,False,80.1412957022193,0.7457230797333356,0.34176073604039126,0.4436829552958713
DIGIT_hard_1mm_r2,DIGIT_medium_2mm_r2,15,False,90.27417843258135,0.5409761505374739,0.585665435710143,0.41667908988066765
DIGIT_hard_1mm_r2,DIGIT_soft_3mm_r1,16,False,92.11002231134071,-0.5943327333299727,0.37022953857354185,-0.16173963115662082
DIGIT_hard_1mm_r2,DIGIT_soft_3mm_r2,16,False,85.55610265738794,-0.3680656782543682,0.19827391290564125,0.02036245508984232
DIGIT_medium_2mm_r1,DIGIT_medium_2mm_r2,15,True,59.81895099753274,0.09630337145157015,0.5243763780695516,0.18811719438397062
DIGIT_medium_2mm_r1,DIGIT_soft_3mm_r1,15,False,49.89365467281189,0.4300693127893113,0.48273260574607957,0.7763862877802719
DIGIT_medium_2mm_r1,DIGIT_soft_3mm_r2,15,False,55.926254307971064,0.45989462565164924,0.417356747692384,0.7357228620683476
DIGIT_medium_2mm_r2,DIGIT_soft_3mm_r1,22,False,44.12716910221782,0.7495479876222031,0.8208560182572354,0.7465540386628529
DIGIT_medium_2mm_r2,DIGIT_soft_3mm_r2,24,False,52.4156232816932,0.6773789535076029,0.7934181370957563,0.8803530479728499
DIGIT_soft_3mm_r1,DIGIT_soft_3mm_r2,28,True,27.70147084460757,0.8052079967231915,0.6319718425986727,0.5646681367771337
