scope,x,y,n,rho,p,q
9DTact,hertz_k,fz_best,16,0.18823529411764706,0.4850866091454682,0.7290146632798928
9DTact,hertz_k,fz_knee,16,0.32984810432706346,0.2121596961028729,0.6364790883086188
9DTact,hertz_k,fz_res_loss,16,0.1764705882352941,0.5132505967364668,0.7497137871541687
9DTact,hertz_k,sh_best,16,-0.2411764705882353,0.36820660804263405,0.7201804623500218
9DTact,hertz_k,sh_knee,16,-0.2492636213753954,0.35185937557890756,0.7163427998326057
9DTact,hertz_k,sh_res_loss,16,0.15882352941176472,0.5568612810855389,0.76206411778284
9DTact,hertz_n,fz_best,16,-0.06470588235294117,0.8118214513105935,0.8904955056700313
9DTact,hertz_n,fz_knee,16,0.06936058268559746,0.7985350517335571,0.8886922349937975
9DTact,hertz_n,fz_res_loss,16,-0.15588235294117647,0.5642819694728023,0.7634403116396736
9DTact,hertz_n,sh_best,16,-0.19705882352941176,0.46446421122573867,0.7201804623500218
9DTact,hertz_n,sh_knee,16,-0.17256712249065836,0.5227589719860144,0.7498964209433056
9DTact,hertz_n,sh_res_loss,16,0.1264705882352941,0.6406944408168836,0.8111544296580729
9DTact,hertz_a_ball8,fz_best,17,0.20098039215686278,0.43923387618886767,0.7201804623500218
9DTact,hertz_a_ball8,fz_knee,17,0.28174844082629097,0.27326277419586276,0.6874974186378122
9DTact,hertz_a_ball8,fz_res_loss,17,0.41421568627450983,0.09833118794961317,0.47074843798596894
9DTact,hertz_a_ball8,sh_best,17,-0.29901960784313725,0.24365533759455604,0.6724887317609746
9DTact,hertz_a_ball8,sh_knee,17,-0.4135525490843241,0.09892539638835579,0.47074843798596894
9DTact,hertz_a_ball8,sh_res_loss,17,0.3088235294117647,0.227785653323252,0.6415187787471179
9DTact,d_2N_mm,fz_best,17,-0.10294117647058824,0.6942047830993174,0.8330457397191809
9DTact,d_2N_mm,fz_knee,17,-0.21417981022089086,0.40910731669784395,0.7201804623500218
9DTact,d_2N_mm,fz_res_loss,17,-0.36764705882352944,0.14655429178401483,0.5410190551825139
9DTact,d_2N_mm,sh_best,17,0.36764705882352944,0.14655429178401483,0.5410190551825139
9DTact,d_2N_mm,sh_knee,17,0.36730865381930383,0.14695484831770345,0.5410190551825139
9DTact,d_2N_mm,sh_res_loss,17,-0.1936274509803922,0.45649692854875445,0.7201804623500218
9DTact,a_2N_mm,fz_best,17,-0.10294117647058824,0.6942047830993174,0.8330457397191809
9DTact,a_2N_mm,fz_knee,17,-0.21417981022089086,0.40910731669784395,0.7201804623500218
9DTact,a_2N_mm,fz_res_loss,17,-0.36764705882352944,0.14655429178401483,0.5410190551825139
9DTact,a_2N_mm,sh_best,17,0.36764705882352944,0.14655429178401483,0.5410190551825139
9DTact,a_2N_mm,sh_knee,17,0.36730865381930383,0.14695484831770345,0.5410190551825139
9DTact,a_2N_mm,sh_res_loss,17,-0.1936274509803922,0.45649692854875445,0.7201804623500218
9DTact,mu,fz_best,17,-0.002450980392156863,0.992551188788469,0.9954798428793417
9DTact,mu,fz_knee,17,-0.05991935166893971,0.8193040677264386,0.8904955056700313
9DTact,mu,fz_res_loss,17,0.22058823529411767,0.3948890883363402,0.7201804623500218
9DTact,mu,sh_best,17,0.28186274509803927,0.27305989737995473,0.6874974186378122
9DTact,mu,sh_knee,17,0.3567386206158706,0.15984562491995144,0.5410190551825139
9DTact,mu,sh_res_loss,17,-0.21568627450980393,0.40574068863392776,0.7201804623500218
9DTact,creep_mm_per_cycle,fz_best,17,0.004901960784313726,0.9851029592703198,0.9954798428793417
9DTact,creep_mm_per_cycle,fz_knee,17,-0.15298557872920776,0.5577425789570061,0.76206411778284
9DTact,creep_mm_per_cycle,fz_res_loss,17,0.25490196078431376,0.32346003406511037,0.7153774133445647
9DTact,creep_mm_per_cycle,sh_best,17,0.24019607843137256,0.3530886590520008,0.7163427998326057
9DTact,creep_mm_per_cycle,sh_knee,17,0.09248779053004053,0.7240519793061894,0.8397827664702255
9DTact,creep_mm_per_cycle,sh_res_loss,17,-0.06862745098039216,0.7935424429160597,0.8886922349937975
9DTact,px_per_mm,fz_best,16,0.08529411764705883,0.7534650694747833,0.8593237982439678
9DTact,px_per_mm,fz_knee,16,-0.0015413462819021658,0.9954798428793417,0.9954798428793417
9DTact,px_per_mm,fz_res_loss,16,-0.1176470588235294,0.6643410791623536,0.8259375578775208
9DTact,px_per_mm,sh_best,16,-0.28823529411764703,0.27898445973708325,0.6874974186378122
9DTact,px_per_mm,sh_knee,16,0.05752237416355279,0.8324197118219858,0.8904955056700313
9DTact,px_per_mm,sh_res_loss,16,-0.5176470588235293,0.04000179295956069,0.3700840920316504
9DTact,tilt_deg,fz_best,17,-0.18137254901960786,0.4860097755199285,0.7290146632798928
9DTact,tilt_deg,fz_knee,17,-0.4334591397327553,0.08217939362143431,0.4533176633196986
9DTact,tilt_deg,fz_res_loss,17,0.42401960784313725,0.08984168497185577,0.45919083430059615
9DTact,tilt_deg,sh_best,17,-0.27941176470588236,0.2774303257912213,0.6874974186378122
9DTact,tilt_deg,sh_knee,17,0.005285016601716602,0.9839389898431531,0.9954798428793417
9DTact,tilt_deg,sh_res_loss,17,-0.45098039215686275,0.06923198585336185,0.4533176633196986
9DTact,img_slope_lvl_per_N,fz_best,17,-0.3995098039215687,0.11211790882594826,0.515742380599362
9DTact,img_slope_lvl_per_N,fz_knee,17,-0.16063485766566815,0.5379691715462844,0.7498964209433056
9DTact,img_slope_lvl_per_N,fz_res_loss,17,-0.2622549019607843,0.309208659898238,0.7153774133445647
