axis,offset_mm,force_N,achieved_x_mm,achieved_y_mm,height_mm,steps,file,Fx,Fy,Fz,Tx_Nmm,Ty_Nmm,Tz_Nmm,cop_x_mm,cop_y_mm,rotate_deg
x,-1.5,0.9347657307521018,-1.504978638740845,-0.0006838257648510157,27.659326728412392,5,cube4_x-1.50.png,-0.009059096598870298,0.014747156749823987,-0.9347657307521018,0.11753083833432043,-1.7649978710796765,-0.08175515353583407,-1.6177922751182738,-0.5658786536857324,0.0
x,-0.75,0.9242873958121749,-0.7430391839102617,0.0038428734226468933,27.671423182909194,5,cube4_x-0.75.png,0.03188580141051034,0.041487923233794355,-0.9242873958121749,-0.5177714554799151,0.1222907665029027,0.008815351865543164,-0.8301487028499277,-0.6921075971669869,0.0
x,0.0,0.9049067147814214,0.007180508152683431,-0.0012460071013827654,27.683083175909598,5,cube4_x+0.00.png,0.0296063176673659,0.05539019459705106,-0.9049067147814214,-0.8155156296643262,0.7276697959716638,0.22236229159653398,-0.10865351451499768,-0.8065181675143261,0.0
x,0.75,0.9617481024036693,0.7581275988908901,0.0019179814896435046,27.688018622635134,4,cube4_x+0.75.png,0.05700714570146239,0.03280054040223259,-0.9617481024036693,-0.07345913812336624,2.1299175435891273,0.19934376980459412,0.5609230173278847,-0.8751231732131087,0.0
x,1.5,0.9124531490130494,1.5101509205930008,0.008939778250830338,27.721186011919634,4,cube4_x+1.50.png,0.061843923442126324,0.060448869085962184,-0.9124531490130494,-0.8382139941324723,2.8290340044646864,0.621953382263607,1.2095318241506212,-0.9296456032261272,0.0
y,-1.5,0.9855207065465891,-0.0034799362956782036,-1.4916778395084818,27.635569522830696,7,cube4_y-1.50.png,0.02399422367550912,0.03485333498749608,-0.9855207065465891,1.4142722396413232,0.3326190249887062,0.5893349362215972,-0.3417476799763335,-2.4217153802108897,0.0
y,-0.75,0.8209331586477504,0.0010984554642169415,-0.7364165744557775,27.68299833051047,6,cube4_y-0.75.png,0.024876584864048822,0.07669894962023704,-0.8209331586477504,-0.5340261148775644,0.3786428198720604,0.5495754877063774,-0.3841880959229468,-1.9560780937213915,0.0
y,0.0,0.84190316939478,-0.00011651223015867997,0.015270633054409694,27.699156700776726,5,cube4_y+0.00.png,0.021531680320682513,0.09110255034601913,-0.84190316939478,-1.574897530777239,0.22117941017737452,0.3808533264208158,-0.4508073823208068,-1.1483341567185572,0.0
y,0.75,0.9148407306553367,0.007140686540425077,0.7619097210800716,27.710755711172197,4,cube4_y+0.75.png,0.02868229091559229,0.07992054925933285,-0.9148407306553367,-2.2003546753699643,0.37414817743183226,0.6657077455012761,-0.46572407457359427,-0.03209378136019973,0.0
y,1.5,1.058899558316,0.0063716484096028245,1.5081313924774469,27.716732475855043,3,cube4_y+1.50.png,0.031155801843776844,0.08802174530874715,-1.058899558316,-3.144545009160746,0.40916023033056304,0.6928970882948526,-0.43447005715176845,0.6504990469264404,0.0
