sensor,width_px,height_px,split,seed,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,rep,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds
soft_1mm_r2,1920,1080,cycle,0,0.11100804805755615,0.13332562148571014,0.4096854329109192,0.8815547227859497,0.0332023985683918,0.16013869643211365,0.9413558840751648,0.04071090370416641,0.09587444365024567,107,59,none,grey,620,142,166,1.860610008239746,0.0008135708048939705,0.0006356343510560691,0.0001366682699881494,30,30,30,0.1384042503852998,0.23400273247503897,64,4,16,533.7
soft_1mm_r2,1280,720,cycle,0,0.11840590834617615,0.14212682843208313,0.4096854329109192,0.8654007315635681,0.0457436665892601,0.16013869643211365,0.893858790397644,0.054691147059202194,0.10877377539873123,107,59,none,grey,620,142,166,1.860610008239746,0.0012693345779553056,0.0006628282717429101,0.00012799064279533923,30,30,25,0.19064246031545823,0.25396798194294246,64,11,6,223.2
soft_1mm_r2,854,480,cycle,0,0.10730836540460587,0.13369719684123993,0.4096854329109192,0.8808935880661011,0.049977418035268784,0.16013869643211365,0.8590414524078369,0.06779417395591736,0.08779293298721313,107,59,none,grey,620,142,166,1.860610008239746,0.0011872047325596213,0.0008510447223670781,0.0001341595343546942,30,30,29,0.16031123361279886,0.2531227864010233,64,24,3,101.3
soft_1mm_r2,640,360,cycle,0,0.1552862524986267,0.18556301295757294,0.4096854329109192,0.7705577611923218,0.05475999042391777,0.16013869643211365,0.845550537109375,0.07524167001247406,0.13074572384357452,107,59,none,grey,620,142,166,1.860610008239746,0.001203653053380549,0.0008896604413166642,0.00014531708438880742,30,30,29,0.19303860126003142,0.275412938964199,64,44,1,55.4
soft_1mm_r2,426,240,cycle,0,0.11682571470737457,0.14135846495628357,0.4096854329109192,0.8668521642684937,0.04567417874932289,0.16013869643211365,0.8995345830917358,0.05442601442337036,0.10764482617378235,107,59,none,grey,620,142,166,1.860610008239746,0.0009231532458215952,0.0007194826612249017,0.00013571987801697105,30,30,29,0.17027301942148515,0.24764638887324802,64,64,1,27.3
soft_1mm_r2,320,180,cycle,0,0.10991185158491135,0.13589896261692047,0.4096854329109192,0.8769383430480957,0.040785349905490875,0.16013869643211365,0.9018130898475647,0.052886832505464554,0.08960432559251785,107,59,none,grey,620,142,166,1.860610008239746,0.0010905885137617588,0.0006492470274679363,0.0001487818663008511,30,30,30,0.15024525196321548,0.2564413312455298,64,64,1,14.7
soft_1mm_r2,160,90,cycle,0,0.1017051637172699,0.12607541680335999,0.4096854329109192,0.894086480140686,0.05603334307670593,0.16013869643211365,0.8668689131736755,0.06146615743637085,0.10388235002756119,107,59,none,grey,620,142,166,1.860610008239746,0.0010225666919723153,0.0007240806589834392,0.00014445095439441502,30,30,14,0.29534510181796164,0.25659219144095835,64,64,1,5.0
soft_1mm_r2,80,45,cycle,0,0.0953192412853241,0.11823952198028564,0.4096854329109192,0.9068428874015808,0.05036349594593048,0.16013869643211365,0.8641485571861267,0.06362089514732361,0.09033725410699844,107,59,none,grey,620,142,166,1.860610008239746,0.001647499855607748,0.0007201146217994392,0.00015213349252007902,30,30,29,0.24978404506560295,0.30157464322909505,64,64,1,3.2
soft_1mm_r2,48,27,cycle,0,0.14382235705852509,0.17968392372131348,0.4096854329109192,0.7848659753799438,0.061522312462329865,0.16013869643211365,0.7667934894561768,0.08161557465791702,0.09012629836797714,107,59,none,grey,620,142,166,1.860610008239746,0.0010796801652759314,0.0009895027615129948,0.00014458085934165865,30,30,30,0.21851896778229743,0.26192950194990133,64,64,1,3.0
soft_1mm_r2,32,18,cycle,0,0.13203321397304535,0.16066323220729828,0.4096854329109192,0.8280019164085388,0.05953074246644974,0.16013869643211365,0.7395179867744446,0.0819198340177536,0.09994667768478394,107,59,none,grey,620,142,166,1.860610008239746,0.0012690566945821047,0.0011377162300050259,0.00014326517703011632,30,30,29,0.28903884580058437,0.26178905325876156,64,64,1,3.7
soft_1mm_r2,16,9,cycle,0,0.16699431836605072,0.20667852461338043,0.4096854329109192,0.7153695821762085,0.05909755453467369,0.16013869643211365,0.7868332862854004,0.07922177761793137,0.10676851123571396,107,59,none,grey,620,142,166,1.860610008239746,0.0013456111773848534,0.0015070709632709622,0.00016950813005678356,30,30,24,0.35600634236489576,0.31661039674785774,64,64,1,4.1
soft_1mm_r2,8,5,cycle,0,0.21001984179019928,0.2612428367137909,0.4096854329109192,0.5452430248260498,0.0800802931189537,0.16013869643211365,0.5850845575332642,0.10990078002214432,0.14239218831062317,107,59,none,grey,620,142,166,1.860610008239746,0.0016465616645291448,0.0023240172304213047,0.00018568275845609605,30,30,29,0.3976112211904218,0.4083921472791215,64,64,1,4.1
soft_1mm_r1,1920,1080,cycle,0,0.12107066065073013,0.15548008680343628,0.41681018471717834,0.8821595311164856,0.04498427361249924,0.19280828535556793,0.9353620409965515,0.049911558628082275,0.13625997304916382,88,52,none,grey,553,140,140,1.71875,0.0008623672183603048,0.0006069762748666108,0.00021015852689743042,30,30,30,0.1326467938869383,0.2585600218602589,64,4,16,467.5
soft_1mm_r1,1280,720,cycle,0,0.12738248705863953,0.16294462978839874,0.41681018471717834,0.8705729246139526,0.039524488151073456,0.19280828535556793,0.9347342252731323,0.05309727042913437,0.1446533054113388,88,52,none,grey,553,140,140,1.71875,0.0009571937844157219,0.0005472349002957344,0.00019406373030506074,30,30,29,0.1806813827690552,0.28955768857683456,64,11,6,201.8
soft_1mm_r1,854,480,cycle,0,0.11019176244735718,0.14509618282318115,0.41681018471717834,0.8973740935325623,0.03939298912882805,0.19280828535556793,0.9404816627502441,0.04861551895737648,0.1327098309993744,88,52,none,grey,553,140,140,1.71875,0.0010706763714551926,0.0005368270794861019,0.00023727701045572758,30,30,29,0.17060283791091946,0.3001609666006906,64,24,3,90.5
soft_1mm_r1,640,360,cycle,0,0.10662535578012466,0.13890765607357025,0.41681018471717834,0.9059416651725769,0.036440689116716385,0.19280828535556793,0.9575695991516113,0.03798040375113487,0.12646137177944183,88,52,none,grey,553,140,140,1.71875,0.0007606338476762176,0.0006038254359737039,0.0002198600850533694,30,30,30,0.13193359168054397,0.2935877135821751,64,44,1,49.3
soft_1mm_r1,426,240,cycle,0,0.10187079012393951,0.1312815397977829,0.41681018471717834,0.9159858822822571,0.040807683020830154,0.19280828535556793,0.9404575824737549,0.0422792062163353,0.1263313889503479,88,52,none,grey,553,140,140,1.71875,0.0008457411313429475,0.0006041160668246448,0.00018998172890860587,30,30,28,0.19477718949964637,0.28885550498962403,64,64,1,22.5
soft_1mm_r1,320,180,cycle,0,0.10978475958108902,0.13581301271915436,0.41681018471717834,0.910085916519165,0.045771509408950806,0.19280828535556793,0.9354283809661865,0.047913458198308945,0.12468495965003967,88,52,none,grey,553,140,140,1.71875,0.000937639910262078,0.0008247040095739067,0.00021215113520156592,30,30,29,0.1807115616893251,0.28620878628322055,64,64,1,13.3
