unit,principle,hard,th,px_per_mm,normal_f90,shear_f90,normal_f90_cyc_px,normal_w_nyq_px,shear_f90_cyc_px,shear_w_nyq_px,fov_mm
hard_1mm_r1,DIGIT_Marker,2,1,109.59370954358714,1.5,1.6,0.01369,52.6,0.0146,56.1,17.52
hard_1mm_r2,DIGIT_Marker,2,1,116.85507771801971,1.5,1.6,0.01284,49.3,0.01369,52.6,16.43
hard_2mm_r1,DIGIT_Marker,2,2,96.95203120755916,1.0,2.0,0.01031,39.6,0.02063,79.2,19.8
hard_2mm_r2,DIGIT_Marker,2,2,91.2134140949101,1.2000000000000002,2.1,0.01316,50.5,0.02302,88.4,21.05
hard_3mm_r1,DIGIT_Marker,2,3,82.82859802821872,1.5,2.2,0.01811,69.5,0.02656,102.0,23.18
hard_3mm_r2,DIGIT_Marker,2,3,85.22867961477,1.3,2.1,0.01525,58.6,0.02464,94.6,22.53
medium_1mm_r1,DIGIT_Marker,1,1,98.17513265018174,0.6000000000000001,1.2000000000000002,0.00611,23.5,0.01222,46.9,19.56
medium_1mm_r2,DIGIT_Marker,1,1,103.8973401138131,1.6,1.8,0.0154,59.1,0.01732,66.5,18.48
medium_2mm_r1,DIGIT_Marker,1,2,90.95340615734834,1.4,2.3000000000000003,0.01539,59.1,0.02529,97.1,21.11
medium_2mm_r2,DIGIT_Marker,1,2,90.34144297921408,1.4,2.3000000000000003,0.0155,59.5,0.02546,97.8,21.25
medium_3mm_r1,DIGIT_Marker,1,3,100.0,1.5,2.5,0.015,57.6,0.025,96.0,19.2
medium_3mm_r2,DIGIT_Marker,1,3,83.27704604480881,0.8,1.7000000000000002,0.00961,36.9,0.02041,78.4,23.06
soft_1mm_r1,DIGIT_Marker,0,1,105.49374708072848,1.0,1.5,0.00948,36.4,0.01422,54.6,18.2
soft_1mm_r2,DIGIT_Marker,0,1,104.09080649109308,1.1,1.4,0.01057,40.6,0.01345,51.6,18.45
soft_2mm_r1,DIGIT_Marker,0,2,94.92124702759877,1.2000000000000002,1.6,0.01264,48.5,0.01686,64.7,20.23
soft_2mm_r2,DIGIT_Marker,0,2,90.15474388177012,1.3,2.0,0.01442,55.4,0.02218,85.2,21.3
soft_3mm_r1,DIGIT_Marker,0,3,83.85132893559746,1.5,2.3000000000000003,0.01789,68.7,0.02743,105.3,22.9
soft_3mm_r2,DIGIT_Marker,0,3,83.46284486742829,0.7000000000000001,1.5,0.00839,32.2,0.01797,69.0,23.0
