t,at,where,Fx,Fy,Fz,Tx,Ty,Tz
1788889836.837720,2026-09-09T02:50:36.837709,tare,0.0,0.0,0.0,0.0,0.0,0.0
1788890068.740595,2026-09-09T02:54:28.740583,between normal and shear blocks,0.03369,0.05244,0.00886,0.00084,-0.00172,0.00043
1788890238.604934,2026-09-09T02:57:18.604922,end of collect,0.07126,0.09233,-0.00357,0.00148,-0.00255,0.00171
