t,Fx,Fy,Fz,Tx,Ty,Tz
1788783184.590383,0.00162,-0.00099,0.00748,-0.00017,-2e-05,6e-05
1788783184.610479,-0.00261,-0.00087,-0.00817,-1e-05,7e-05,7e-05
1788783184.630938,0.00287,-0.00241,-0.02023,9e-05,1e-05,0.00019
1788783184.650218,-0.00015,-0.00802,-0.01591,0.0001,4e-05,9e-05
1788783184.670523,1e-05,-0.00429,-0.01249,4e-05,-1e-05,0.0
1788783184.690923,0.01052,0.0019,0.00202,-0.0,-0.0001,7e-05
1788783184.710784,0.00114,-0.00141,0.00135,-5e-05,-6e-05,0.00011
1788783184.731143,0.00012,-0.00271,-0.01093,-1e-05,-8e-05,9e-05
1788783184.750403,0.00477,-0.00094,-0.03006,0.00011,5e-05,0.00027
1788783184.770714,0.00048,0.00856,-0.02537,0.00011,0.0002,0.00014
1788783184.791045,-0.00141,-0.00164,0.00363,-2e-05,0.00015,1e-05
1788783184.810263,-0.00419,0.0028,-0.00158,0.00012,0.0001,-3e-05
1788783184.830605,-0.00017,-0.00328,-0.01464,5e-05,0.0001,0.00021
1788783184.850913,0.00275,0.00146,-0.00303,0.00016,5e-05,0.0001
1788783184.870223,-0.00201,0.00444,-0.00209,-7e-05,6e-05,0.0001
1788783184.890591,0.00168,0.0009,0.01515,3e-05,8e-05,-1e-05
1788783184.910893,-0.0027,-0.00131,0.0148,-0.00022,-6e-05,4e-05
1788783184.930148,-0.0006,-0.00439,0.01492,1e-05,3e-05,-0.00011
1788783184.950476,-0.00097,-5e-05,-0.00315,3e-05,9e-05,8e-05
1788783184.970840,0.00049,0.00256,-0.00047,-8e-05,8e-05,-2e-05
1788783184.990088,-0.00368,0.00142,-0.01849,2e-05,8e-05,0.00013
1788783185.010408,0.00099,0.00409,-0.01016,0.00021,0.0001,2e-05
1788783185.030719,0.00058,-0.00404,0.00179,1e-05,-1e-05,0.0
1788783185.051083,-0.00155,0.00126,0.02151,-0.0,-2e-05,-0.00022
1788783185.070377,-0.00076,0.00091,0.01235,0.0,-2e-05,-4e-05
1788783185.090714,-0.00126,-0.00173,0.02168,-0.00011,-0.00014,5e-05
1788783185.111058,0.00183,-0.0002,0.02775,-0.00012,4e-05,-0.00015
1788783185.130408,-0.00285,0.00425,0.00372,0.00015,0.00013,-1e-05
1788783185.150268,0.00158,-0.00362,0.00317,0.00021,5e-05,-5e-05
1788783185.171035,0.0015,0.00374,0.00091,4e-05,8e-05,5e-05
1788783185.190387,0.00699,-0.00816,0.00228,-0.00014,-0.00019,4e-05
