t,at,where,Fx,Fy,Fz,Tx,Ty,Tz
1788783184.581441,2026-09-07T21:13:04.581431,tare,0.0,0.0,0.0,0.0,0.0,0.0
1788783462.506361,2026-09-07T21:17:42.506354,between normal and shear blocks,-0.05126,-0.05961,0.00016,0.00208,0.00293,0.00021
1788784037.809654,2026-09-07T21:27:17.809641,end of collect,-0.11414,-0.10396,-0.06017,0.00348,0.00124,-0.00164
