sensor,width_px,height_px,split,seed,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds
hard_1mm_r1,1920,1080,cycle,0,0.021403513848781586,0.027431972324848175,0.4162634313106537,0.99698406457901,0.016542349010705948,0.0807502269744873,0.9624136090278625,719,214,67,1.9910300970077515,0.0002873503544833511,0.0006846743053756654,0.00012260112271178514,30,30,24,0.16680709978303923,0.20955423690448297,64,4,16,338.3
hard_1mm_r1,1920,1080,cycle,1,0.033204905688762665,0.04106190428137779,0.4162634313106537,0.9932425022125244,0.010165388695895672,0.0807502269744873,0.9839605689048767,719,214,67,1.9910300970077515,0.00037075430736877024,0.0007611705805175006,0.00011696674482664093,30,30,25,0.16689522891863662,0.23395538525046589,64,4,16,336.0
hard_1mm_r1,1920,1080,cycle,2,0.03938964754343033,0.050609152764081955,0.4162634313106537,0.9897348880767822,0.01695825345814228,0.0807502269744873,0.9655699729919434,719,214,67,1.9910300970077515,0.0003580251068342477,0.00028499143081717193,0.00011101914424216375,30,30,25,0.20369966085663424,0.20996652738513233,64,4,16,335.4
hard_1mm_r1,1920,1080,cycle,3,0.05422532930970192,0.06496233493089676,0.4162634313106537,0.9830866456031799,0.02071584202349186,0.0807502269744873,0.9455044269561768,719,214,67,1.9910300970077515,0.0003283614350948483,0.00041536346543580294,0.0001223115687025711,30,30,30,0.1392589244209178,0.20552918844133894,64,4,16,335.2
hard_1mm_r1,1920,1080,cycle,4,0.029299987480044365,0.03498232737183571,0.4162634313106537,0.995095431804657,0.013185769319534302,0.0807502269744873,0.9771091938018799,719,214,67,1.9910300970077515,0.00037587250699289143,0.0003748347517102957,0.00013656711962539703,30,30,29,0.1345733231314366,0.22226773425240384,64,4,16,337.4
hard_1mm_r1,640,360,cycle,0,0.03663551062345505,0.04374402388930321,0.4162634313106537,0.9923309087753296,0.02773573063313961,0.0807502269744873,0.9079198241233826,719,214,67,1.9910300970077515,0.0005181366577744484,0.0004180778341833502,0.00010675474914023653,30,30,14,0.29416316142500026,0.2140925175675722,64,44,1,39.3
hard_1mm_r1,640,360,cycle,1,0.021601641550660133,0.027220536023378372,0.4162634313106537,0.9970303773880005,0.02933013066649437,0.0807502269744873,0.8998681306838989,719,214,67,1.9910300970077515,0.0006107606459408998,0.00040649884613230824,0.00012210026034153998,30,30,30,0.14860253406996854,0.20179882896280735,64,44,1,37.9
hard_1mm_r1,640,360,cycle,2,0.10935688018798828,0.12500832974910736,0.4162634313106537,0.9373698234558105,0.027541138231754303,0.0807502269744873,0.8976301550865173,719,214,67,1.9910300970077515,0.0005205662455409765,0.0005115445819683373,0.00010457248572492972,30,30,23,0.22034090318003352,0.2384384770259679,64,44,1,37.9
hard_1mm_r1,640,360,cycle,3,0.029695121571421623,0.0368707999587059,0.4162634313106537,0.9945515990257263,0.021221458911895752,0.0807502269744873,0.9449395537376404,719,214,67,1.9910300970077515,0.00047554809134453535,0.0005706967785954475,0.00013316910190042108,30,30,26,0.17891328241961058,0.20825412563074416,64,44,1,37.9
hard_1mm_r1,640,360,cycle,4,0.04298388957977295,0.05143236741423607,0.4162634313106537,0.9893982410430908,0.018757259473204613,0.0807502269744873,0.9482969045639038,719,214,67,1.9910300970077515,0.0004991376190446317,0.0003591118729673326,0.00012856109242420644,30,30,24,0.1942325586735456,0.21046393385557371,64,44,1,38.3
hard_1mm_r1,160,90,cycle,0,0.044633425772190094,0.0523095428943634,0.4162634313106537,0.9890335202217102,0.012796051800251007,0.0807502269744873,0.9787704348564148,719,214,67,1.9910300970077515,0.00032498157816007733,0.00031414482509717345,0.00013818849402014166,30,30,27,0.156600468016135,0.22258988719120204,64,64,1,4.3
hard_1mm_r1,160,90,cycle,1,0.03159423545002937,0.04050498083233833,0.4162634313106537,0.9934245944023132,0.026927227154374123,0.0807502269744873,0.9127439856529236,719,214,67,1.9910300970077515,0.00040184101089835167,0.00031728236353956163,0.00015414836525451392,30,30,28,0.17425719421662608,0.23554411112705123,64,64,1,3.3
hard_1mm_r1,160,90,cycle,2,0.04473436251282692,0.05939503386616707,0.4162634313106537,0.9858614206314087,0.02501213364303112,0.0807502269744873,0.9285138845443726,719,214,67,1.9910300970077515,0.00039923007716424763,0.0009476037812419236,0.00011762779467971995,30,30,9,0.2889175527782201,0.2421857196593953,64,64,1,3.2
hard_1mm_r1,160,90,cycle,3,0.050058022141456604,0.06188870593905449,0.4162634313106537,0.9846493005752563,0.024098388850688934,0.0807502269744873,0.9288219213485718,719,214,67,1.9910300970077515,0.0007232895586639643,0.0004846354713663459,0.0001245694002136588,30,30,26,0.2198624620848803,0.23363049008021844,64,64,1,3.4
hard_1mm_r1,160,90,cycle,4,0.0348961316049099,0.042497340589761734,0.4162634313106537,0.9927617907524109,0.01979326456785202,0.0807502269744873,0.9456994533538818,719,214,67,1.9910300970077515,0.00034791024518199265,0.0003400917921680957,0.00011631816596491262,30,30,22,0.20281859465534066,0.22517394573889046,64,64,1,3.2
medium_1mm_r1,1920,1080,cycle,0,0.054339129477739334,0.06829885393381119,0.24161988496780396,0.957401692867279,0.02880619838833809,0.1486501842737198,0.9441367983818054,788,103,109,1.872209906578064,0.0007192558259703219,0.0008054994978010654,0.0001989464508369565,30,30,25,0.18476500365939844,0.21112990697610726,64,4,16,354.2
medium_1mm_r1,1920,1080,cycle,1,0.046233270317316055,0.056974101811647415,0.24161988496780396,0.9703571200370789,0.025946862995624542,0.1486501842737198,0.941898763179779,788,103,109,1.872209906578064,0.00056770647643134,0.0006014947430230677,0.00020299434254411608,30,30,30,0.12337826867469676,0.19020369764670586,64,4,16,347.7
medium_1mm_r1,1920,1080,cycle,2,0.06460792571306229,0.0878543108701706,0.24161988496780396,0.9295158386230469,0.030340006574988365,0.1486501842737198,0.9479575753211975,788,103,109,1.872209906578064,0.0006283756229095161,0.0007155889179557562,0.0001839923788793385,30,30,29,0.13235946515868158,0.21394534973264898,64,4,16,344.1
medium_1mm_r1,1920,1080,cycle,3,0.04834859445691109,0.0622703842818737,0.24161988496780396,0.9645897746086121,0.03213127702474594,0.1486501842737198,0.93033367395401,788,103,109,1.872209906578064,0.0007265657768584788,0.0007211879710666835,0.00022193403856363147,30,30,29,0.1303892801066643,0.19312319043770576,64,4,16,349.4
medium_1mm_r1,1920,1080,cycle,4,0.061718687415122986,0.07417630404233932,0.24161988496780396,0.9497546553611755,0.029811521992087364,0.1486501842737198,0.9359262585639954,788,103,109,1.872209906578064,0.0005884486599825323,0.000633578805718571,0.00018217467004433274,30,30,30,0.1668494672037018,0.20532834066928013,64,4,16,347.1
medium_1mm_r1,640,360,cycle,0,0.053290124982595444,0.06598103046417236,0.24161988496780396,0.9602439403533936,0.03025025688111782,0.1486501842737198,0.9410764575004578,788,103,109,1.872209906578064,0.0006183498771861196,0.0006860989378765225,0.000213959880056791,30,30,29,0.12850559483929938,0.20877955260786038,64,44,1,40.0
medium_1mm_r1,640,360,cycle,1,0.053139615803956985,0.06669583916664124,0.24161988496780396,0.9593778848648071,0.028053367510437965,0.1486501842737198,0.9462258815765381,788,103,109,1.872209906578064,0.0005304959486238658,0.0005165534093976021,0.00019317373516969383,30,30,28,0.16534887413082994,0.21118636270171232,64,44,1,39.3
medium_1mm_r1,640,360,cycle,2,0.04963969811797142,0.0621960423886776,0.24161988496780396,0.9646742939949036,0.02982587367296219,0.1486501842737198,0.9444326758384705,788,103,109,1.872209906578064,0.0005819131038151681,0.0006792473723180592,0.00024666640092618763,30,30,28,0.1334461814861007,0.2081242556710845,64,44,1,39.6
medium_1mm_r1,640,360,cycle,3,0.05965390428900719,0.07324427366256714,0.24161988496780396,0.9510093927383423,0.02693341113626957,0.1486501842737198,0.9400994777679443,788,103,109,1.872209906578064,0.0005444097332656384,0.0006435309769585729,0.0002457589434925467,30,30,30,0.12920039831684327,0.19737800579626583,64,44,1,39.6
medium_1mm_r1,640,360,cycle,4,0.05224250257015228,0.06702165305614471,0.24161988496780396,0.9589800238609314,0.02877907268702984,0.1486501842737198,0.9440853595733643,788,103,109,1.872209906578064,0.0006839769775979221,0.0005455712671391666,0.0001845052611315623,30,30,28,0.143919128149294,0.20430961627404667,64,44,1,39.7
medium_1mm_r1,160,90,cycle,0,0.059329450130462646,0.07486137747764587,0.24161988496780396,0.9488222599029541,0.026430945843458176,0.1486501842737198,0.9564549326896667,788,103,109,1.872209906578064,0.0007180583197623491,0.0006246091215871274,0.00020686791685875505,30,30,29,0.14578245557504257,0.2339507908497042,64,64,1,4.3
medium_1mm_r1,160,90,cycle,1,0.050187308341264725,0.06549448519945145,0.24161988496780396,0.9608280658721924,0.027831468731164932,0.1486501842737198,0.9566484093666077,788,103,109,1.872209906578064,0.0006585051887668669,0.0008303092909045517,0.00022467928647529334,30,30,16,0.22291061841896948,0.24632921496641288,64,64,1,3.4
medium_1mm_r1,160,90,cycle,2,0.05058499053120613,0.066396065056324,0.24161988496780396,0.9597421884536743,0.02351359650492668,0.1486501842737198,0.9641928672790527,788,103,109,1.872209906578064,0.000675482617225498,0.0006376213859766722,0.00022472125419881195,30,30,28,0.15716729006791477,0.22946017922706974,64,64,1,3.4
medium_1mm_r1,160,90,cycle,3,0.05283923074603081,0.06947541981935501,0.24161988496780396,0.9559214115142822,0.027600539848208427,0.1486501842737198,0.9533902406692505,788,103,109,1.872209906578064,0.0006410194328054786,0.0006199706112965941,0.00020183080050628632,30,30,30,0.14652011600242654,0.23565520129157502,64,64,1,3.4
medium_1mm_r1,160,90,cycle,4,0.050309911370277405,0.06492064893245697,0.24161988496780396,0.961511492729187,0.025997251272201538,0.1486501842737198,0.9577566385269165,788,103,109,1.872209906578064,0.0008497238741256297,0.001234145718626678,0.00020287245570216328,30,30,9,0.30280225410074146,0.2319537968311495,64,64,1,3.4
soft_2mm_r1,1920,1080,cycle,0,0.04040440917015076,0.05539744347333908,0.27661192417144775,0.9785999655723572,0.024430502206087112,0.146596297621727,0.9479051232337952,724,150,126,1.9325799942016602,0.00047727912897244096,0.0008917372324503958,0.00027077330742031336,30,30,30,0.17706777949853497,0.24356497595707574,64,4,16,328.7
soft_2mm_r1,1920,1080,cycle,1,0.05301913619041443,0.06618504971265793,0.27661192417144775,0.9694539904594421,0.021638957783579826,0.146596297621727,0.9719420671463013,724,150,126,1.9325799942016602,0.0007102831732481718,0.0007764460751786828,0.000214711923035793,30,30,24,0.19615820465990194,0.20989630262056985,64,4,16,323.4
soft_2mm_r1,1920,1080,cycle,2,0.04660474881529808,0.059419550001621246,0.27661192417144775,0.9753797054290771,0.02978215180337429,0.146596297621727,0.9442558288574219,724,150,126,1.9325799942016602,0.0008370414725504816,0.0007672159699723125,0.00021028012270107865,30,30,30,0.14326963067384055,0.21073228696982066,64,4,16,330.4
soft_2mm_r1,1920,1080,cycle,3,0.04230847209692001,0.051335327327251434,0.27661192417144775,0.9816232919692993,0.029954291880130768,0.146596297621727,0.93998122215271,724,150,126,1.9325799942016602,0.0006603485671803355,0.000847480958327651,0.000249419710598886,30,30,29,0.15877754751654619,0.23076533615589143,64,4,16,331.2
soft_2mm_r1,1920,1080,cycle,4,0.04256530851125717,0.055025409907102585,0.27661192417144775,0.9788864254951477,0.03887992724776268,0.146596297621727,0.8843146562576294,724,150,126,1.9325799942016602,0.0006631992873735726,0.0013001130428165197,0.00022936833556741476,30,30,27,0.1780639942838342,0.25167015214761096,64,4,16,330.2
soft_2mm_r1,640,360,cycle,0,0.037733327597379684,0.04847307875752449,0.27661192417144775,0.9836153984069824,0.02368135377764702,0.146596297621727,0.9592685699462891,724,150,126,1.9325799942016602,0.0005800477811135352,0.000680584751535207,0.000226785967242904,30,30,28,0.17101808114605055,0.20619430859883625,64,44,1,38.0
soft_2mm_r1,640,360,cycle,1,0.04071662575006485,0.051356155425310135,0.27661192417144775,0.9816083908081055,0.02266092412173748,0.146596297621727,0.9676811099052429,724,150,126,1.9325799942016602,0.0005446056020446122,0.0006827880279161036,0.00022175910999067128,30,30,24,0.1933600757662104,0.224955104192098,64,44,1,37.3
soft_2mm_r1,640,360,cycle,2,0.051049429923295975,0.0604599267244339,0.27661192417144775,0.9745099544525146,0.031073983758687973,0.146596297621727,0.9541497230529785,724,150,126,1.9325799942016602,0.0005931783234700561,0.0006868611671961844,0.00021348132577259094,30,30,21,0.19430036900451828,0.22707433700561525,64,44,1,37.4
soft_2mm_r1,640,360,cycle,3,0.037858158349990845,0.048354752361774445,0.27661192417144775,0.9836952686309814,0.021973783150315285,0.146596297621727,0.9665976166725159,724,150,126,1.9325799942016602,0.0005512270145118237,0.0006394878146238625,0.0002490320766810328,30,30,26,0.1755730048727594,0.2278302796681722,64,44,1,37.2
soft_2mm_r1,640,360,cycle,4,0.04754914343357086,0.05670313164591789,0.27661192417144775,0.9775792956352234,0.019676929339766502,0.146596297621727,0.9750841856002808,724,150,126,1.9325799942016602,0.00048825351404957473,0.0006054571131244302,0.00021632981952279806,30,30,30,0.13373974080902437,0.21417122840881347,64,44,1,37.3
soft_2mm_r1,160,90,cycle,0,0.06307879835367203,0.07620053738355637,0.27661192417144775,0.9595096707344055,0.026621196419000626,0.146596297621727,0.9615176916122437,724,150,126,1.9325799942016602,0.0005418580258265138,0.0007436272571794689,0.0002031976473517716,30,30,16,0.32722478940342015,0.22477174441019693,64,64,1,4.1
soft_2mm_r1,160,90,cycle,1,0.046720944344997406,0.05746955797076225,0.27661192417144775,0.9769691228866577,0.027511388063430786,0.146596297621727,0.9583662748336792,724,150,126,1.9325799942016602,0.0006898624706082046,0.000715188158210367,0.00019813912513200194,30,30,29,0.15236945112765823,0.19766327857971192,64,64,1,3.2
soft_2mm_r1,160,90,cycle,2,0.04501311853528023,0.05389336496591568,0.27661192417144775,0.9797462224960327,0.021382231265306473,0.146596297621727,0.9739100933074951,724,150,126,1.9325799942016602,0.000636437616776675,0.000765899894759059,0.00020058528752997518,30,30,29,0.17377541539418764,0.2049125099182129,64,64,1,3.2
soft_2mm_r1,160,90,cycle,3,0.04995986074209213,0.06129251420497894,0.27661192417144775,0.9738031029701233,0.026168201118707657,0.146596297621727,0.9556856155395508,724,150,126,1.9325799942016602,0.00090517767239362,0.0013165823183953762,0.00018550337699707597,30,30,28,0.1985065179635148,0.2238445250193278,64,64,1,3.2
soft_2mm_r1,160,90,cycle,4,0.04795387014746666,0.057947780936956406,0.27661192417144775,0.9765841960906982,0.026918763294816017,0.146596297621727,0.9642813801765442,724,150,126,1.9325799942016602,0.00044462652294896543,0.0005757760372944176,0.00020564628357533365,30,30,29,0.1859860077747324,0.20601717631022134,64,64,1,3.2
