sensor,scale,px_full,bias_full,lev_full,depth_ok,dia_ok,fail_at,bias_80,bias_48,bias_32,lev_48,lev_16,r
soft_1mm_r2,median,84.00490439021377,-0.1201768749117526,14.0,—,—,8×5,-0.0961859979390773,-0.2045439024179849,-0.3218066355868849,11.0,5.0,-1.0
hard_3mm_r2,median,84.00490439021377,-0.113034181671221,15.0,—,48×27,8×5,-0.0254256406196742,-0.1292237034707059,-0.3640753726804047,11.0,4.0,-1.0
medium_3mm_r1,borrowed,85.064344714952,-0.14845312217287,9.0,—,80×45,16×9,-0.1208162116945959,-0.2300259950698591,-0.3957900047274855,7.0,,-1.0
hard_2mm_r2,own,85.91337826245143,0.0511824329816515,19.0,1280×720,32×18,없음,0.0457032809777275,-0.0740185898916705,-0.1931575869398101,16.0,11.0,1.0
medium_1mm_r1,own,88.61377550187014,-0.0063201567527188,21.0,320×180,80×45,없음,0.1113426580035156,-0.0490375415480667,-0.2669022672868306,18.0,12.0,5.0
medium_2mm_r2,borrowed,70.73606813554056,-0.0821188988624964,17.0,80×45,—,8×5,-0.0268005284010325,-0.2026306144733185,-0.2767693812488471,12.0,5.0,7.0
soft_2mm_r2,borrowed,76.39049752220043,-0.0495177369534509,18.0,80×45,—,8×5,0.0352844907622002,-0.1554107515731987,-0.2119815559406615,14.0,7.0,7.0
soft_2mm_r1,own,88.89310786324532,0.0020433392293129,23.0,80×45,80×45,8×5,0.0229063159393145,-0.1008963236046955,-0.2598262365990009,19.0,11.0,7.0
soft_1mm_r1,own,101.80915744549826,-0.0733316766257404,12.0,80×45,160×90,8×5,-0.0626188146109699,-0.166168440335524,-0.3254282020191669,9.0,4.0,7.0
medium_3mm_r2,own,71.4901689940954,-0.0144276332270223,16.0,80×45,—,8×5,0.0601806989400467,-0.1007992127449431,-0.2275338122160353,11.0,4.0,7.0
soft_3mm_r2,borrowed,71.72628705535531,-0.0706429550319341,15.0,80×45,—,8×5,-0.0239689021576869,-0.1816360323895442,-0.2882725007106292,10.0,5.0,7.0
medium_1mm_r2,own,77.90245944365033,-0.038513539352538,14.0,80×45,48×27,8×5,-0.0370009125456431,-0.1841331788584807,-0.3478207703382615,11.0,5.0,7.0
hard_2mm_r1,median,84.00490439021377,-0.0648034388724439,19.0,80×45,160×90,8×5,-0.0561578534447623,-0.1277915040556066,-0.3079628959823124,15.0,8.0,7.0
hard_1mm_r2,median,84.00490439021377,0.0162678573187931,13.0,80×45,80×45,8×5,-0.0445701106233651,-0.1408737139248108,-0.2588616738809402,11.0,6.0,7.0
hard_3mm_r1,median,84.00490439021377,-0.0572012093290376,15.0,48×27,—,없음,0.0630308971678526,-0.0178204018994856,-0.1242289172236808,11.0,6.0,8.0
soft_3mm_r1,borrowed,82.40670410350971,-0.0465726445040329,16.0,48×27,1280×720,8×5,0.0074472983756438,-0.0766595952134553,-0.2258153100730204,12.0,5.0,8.0
hard_1mm_r1,own,93.82314012650215,-0.0143902974847351,18.0,48×27,80×45,없음,0.0631221257126932,-0.0869617116971209,-0.2224307671212549,15.0,11.0,8.0
