sensor,th,hard,ppm,Fmax,r_ball8_0.5N,r_ball8_1.0N,r_ball8_2.0N,n_resolved,dip_175_max,um_per_level,cyl4_corrected_rms_after_linear,fz_mae
hard_1mm_r1,1,hard,93.82314012650215,3.4067577474385784,1.8691319157995328,2.2042115782731058,2.575317278893746,3.0,0.4619861333042726,39.8988859036926,0.0207871850644425,0.0517349392175674
hard_1mm_r2,1,hard,81.43887897119407,2.917946235551514,1.7830881547102277,2.199045453623014,2.877109256170723,0.0,0.7022439028185561,60.4869715918267,0.0504188216307783,0.0445811171084642
hard_2mm_r1,2,hard,83.65845408788799,2.963338914623435,1.2380559118259715,2.048781072950398,2.628913329673023,4.0,0.409703269041595,45.8644514671512,0.024140555954248,0.0614256355911493
hard_2mm_r2,2,hard,85.91337826245143,3.193222348324844,1.2318077427233667,1.7858707581666178,2.3879855258382605,3.0,0.2869367485729028,43.6746887846732,0.0413252932636313,0.0484009366482496
hard_3mm_r1,3,hard,81.56297277303784,3.117100211568496,0.03310365620937413,1.1167123352227044,2.2739613836368284,0.0,0.5812980482064629,60.5941486509585,0.0284428610511336,0.0877545475959777
hard_3mm_r2,3,hard,76.03385173953693,3.2323783976810008,0.0,1.0355874784785644,2.216821492219451,0.0,0.6166421757781491,64.3866294283729,0.0747497146123704,0.0500315111130475
medium_1mm_r1,1,medium,88.61377550187014,3.308800294108252,2.266891596219877,2.3741922025755766,2.778489475981069,3.0,0.1960782127734525,39.8448163344858,0.0044219201929281,0.0550350844860076
medium_1mm_r2,1,medium,85.39899355327775,3.31068833901538,1.6040628694557253,2.0980516540880054,2.5403882781512417,0.0,0.4488189454592152,53.2192582892001,0.0318177908904506,0.063021395355463
medium_2mm_r2,2,medium,70.73606813554056,3.064669978436882,2.2720848204001167,2.702400762508465,3.3715698738695608,3.0,0.2988835938935693,30.9272146835456,0.0376413913133614,0.0635511260479688
medium_3mm_r1,3,medium,82.22445172786455,3.169476701313428,1.0749427778996565,1.9237240917068492,2.848327793126643,0.0,0.7197580228845474,61.596616798501394,0.0228527682913046,0.0464492626488208
medium_3mm_r2,3,medium,79.90882791538165,2.894960056941778,1.7331345749333513,2.4446060740540423,3.096439792928001,1.0,0.6155735178311894,49.0937996499608,0.039499740862761,0.0573848262429236
soft_1mm_r1,1,soft,101.80915744549826,3.563177615965259,1.4942829001303077,1.798748550113485,2.339936990075865,3.0,0.5792340080558382,63.650420480006005,0.030581084337633,0.0506125334650277
soft_1mm_r2,1,soft,95.89186752111016,2.9239663953578914,1.7235669957993456,2.0790989217585625,2.5072453231240557,2.0,0.5281492904140821,54.356021426326095,0.0050631261247349,0.0702595561742782
soft_2mm_r1,2,soft,88.89310786324532,2.9192265136023794,1.7621241453577838,2.349809370191972,2.8087900394883634,2.0,0.3686326334788363,33.6794968449302,0.0200326655021825,0.0701127387583255
soft_2mm_r2,2,soft,76.39049752220043,3.1953610685132845,2.389972133853691,2.9857624056439116,3.581546721163473,3.0,0.5177612856474495,37.5766269581888,0.0298924972859688,0.0491455849260091
soft_3mm_r1,3,soft,79.74379326962428,2.978887824430589,2.2096949925178038,2.7748752868159032,3.369524556815057,1.0,0.2270803275282727,39.6713417411664,0.0305645507832693,0.0496788043528794
soft_3mm_r2,3,soft,71.72628705535531,3.042416834045361,2.461749006022608,3.095047138219133,3.719261375000809,2.0,0.3948990693137235,41.9588679567674,0.0446026963950784,0.0423622634261846
