sensor,width_px,height_px,seed,fz_mae,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,n_train,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,batch,seconds
hard_1mm_r1,1920,1080,0,0.016190100461244583,0.41869986057281494,0.9981318712234497,0.014739468693733215,0.08423195034265518,933,67,1.9910300970077515,0.00033353609615005553,0.00031464447965845466,0.00011952007480431348,30,4,369.4
hard_1mm_r1,1920,1080,1,0.021848740056157112,0.41869986057281494,0.9968338012695312,0.013780484907329082,0.08423195034265518,933,67,1.9910300970077515,0.00041380157927051187,0.00023310126562137157,0.0001257678959518671,30,4,367.4
hard_1mm_r1,1920,1080,2,0.07980431616306305,0.41869986057281494,0.968656063079834,0.012465517967939377,0.08423195034265518,933,67,1.9910300970077515,0.00028861750615760684,0.0004927697009406984,0.0001309816725552082,30,4,356.8
hard_1mm_r1,1920,1080,3,0.05599949136376381,0.41869986057281494,0.9845039248466492,0.0067787766456604,0.08423195034265518,933,67,1.9910300970077515,0.0002778502821456641,0.00020554804359562695,0.00012506173516158015,30,4,355.4
hard_1mm_r1,1920,1080,4,0.040413737297058105,0.41869986057281494,0.9896944165229797,0.021741442382335663,0.08423195034265518,933,67,1.9910300970077515,0.0007741908775642514,0.0003950314421672374,0.00011524630826897919,30,4,356.0
hard_1mm_r1,640,360,0,0.09055691957473755,0.41869986057281494,0.9629480838775635,0.02285529114305973,0.08423195034265518,933,67,1.9910300970077515,0.00041491675074212253,0.0007013423019088805,0.00012572440027724952,30,44,41.2
hard_1mm_r1,640,360,1,0.032688386738300323,0.41869986057281494,0.9930839538574219,0.012956314720213413,0.08423195034265518,933,67,1.9910300970077515,0.0002779665228445083,0.000245968607487157,0.0001282302400795743,30,44,40.7
hard_1mm_r1,640,360,2,0.043667640537023544,0.41869986057281494,0.9894348382949829,0.016812900081276894,0.08423195034265518,933,67,1.9910300970077515,0.00040189045830629766,0.0003750014293473214,0.0001142375695053488,30,44,40.6
hard_1mm_r1,640,360,3,0.057496603578329086,0.41869986057281494,0.9838572144508362,0.01576242782175541,0.08423195034265518,933,67,1.9910300970077515,0.0005073659121990204,0.0002768442209344357,0.00011287870438536629,30,44,40.6
hard_1mm_r1,640,360,4,0.02422536350786686,0.41869986057281494,0.996177613735199,0.015806183218955994,0.08423195034265518,933,67,1.9910300970077515,0.00029351204284466803,0.0002619372680783272,0.00013017393939662725,30,44,40.6
hard_1mm_r1,160,90,0,0.06339927762746811,0.41869986057281494,0.980083703994751,0.017370793968439102,0.08423195034265518,933,67,1.9910300970077515,0.0003789050388149917,0.0004494535969570279,0.00014285254292190075,30,64,4.3
