sensor,width_px,height_px,split,seed,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds
hard_1mm_r1,854,480,cycle,0,0.15003913640975952,0.17563727498054504,0.19011549651622772,0.6997579336166382,0.02720269374549389,0.12971888482570648,0.9526150822639465,0.028364434838294983,0.04481934756040573,119,55,anti,595,231,174,1.9910300970077515,0.0007341692689806223,0.0005093281506560743,9.384300938108936e-05,30,30,26,0.16769949688630945,0.2536586497253154,64,24,3,101.6
hard_1mm_r1,854,480,cycle,1,0.1353178173303604,0.14695188403129578,0.19011549651622772,0.789821445941925,0.030802732333540916,0.12971888482570648,0.9295842051506042,0.03101198561489582,0.10989459604024887,119,55,anti,595,231,174,1.9910300970077515,0.0008595770923420787,0.000562154280487448,0.00011423961404943839,30,30,26,0.1536179041662136,0.2607034914421313,64,24,3,99.1
hard_1mm_r1,854,480,cycle,2,0.16690585017204285,0.18996264040470123,0.19011549651622772,0.648783802986145,0.03590542823076248,0.12971888482570648,0.9156600832939148,0.04430228844285011,0.05368831008672714,119,55,anti,595,231,174,1.9910300970077515,0.0006103962077759206,0.0005120802670717239,9.615798626327887e-05,30,30,24,0.2172937569498014,0.2760004006422959,64,24,3,96.8
hard_1mm_r1,640,360,cycle,0,0.1553671956062317,0.17067715525627136,0.19011549651622772,0.7164766192436218,0.03967614844441414,0.12971888482570648,0.8894261121749878,0.045237671583890915,0.09240289032459259,119,55,anti,595,231,174,1.9910300970077515,0.0008732168935239315,0.0005808523274026811,0.00011564739543246105,30,30,30,0.1494133055710993,0.2577210380917504,64,44,1,54.1
hard_1mm_r1,640,360,cycle,1,0.1616399586200714,0.1726531684398651,0.19011549651622772,0.709873616695404,0.03464030846953392,0.12971888482570648,0.9204787015914917,0.036784689873456955,0.1362590342760086,119,55,anti,595,231,174,1.9910300970077515,0.00078635971294716,0.0005156727274879813,0.00010242090502288193,30,30,30,0.14203274670769186,0.25149619940555457,64,44,1,53.6
hard_1mm_r1,640,360,cycle,2,0.15625379979610443,0.17264418303966522,0.19011549651622772,0.7099038362503052,0.03600393608212471,0.12971888482570648,0.9099172949790955,0.03437824547290802,0.1124178096652031,119,55,anti,595,231,174,1.9910300970077515,0.000631526461802423,0.0005595776601694524,0.00011001323582604527,30,30,26,0.15731953292333778,0.28220506973596876,64,44,1,52.0
hard_1mm_r1,426,240,cycle,0,0.11928768455982208,0.13540007174015045,0.19011549651622772,0.8215667009353638,0.0448569618165493,0.12971888482570648,0.8685430288314819,0.04996486008167267,0.10582482814788818,119,55,anti,595,231,174,1.9910300970077515,0.0007836029981262982,0.0005499157123267651,0.00010888716496992856,30,30,30,0.1775758875518286,0.2636632341327089,64,64,1,25.8
hard_1mm_r1,426,240,cycle,1,0.16688746213912964,0.19098906219005585,0.19011549651622772,0.6449781656265259,0.035783033818006516,0.12971888482570648,0.9160191416740417,0.04060429334640503,0.08658599853515625,119,55,anti,595,231,174,1.9910300970077515,0.0005020979442633688,0.0005748065887019038,0.00010724609455792233,30,30,30,0.14964346044203813,0.25896072800541337,64,64,1,24.5
hard_1mm_r1,426,240,cycle,2,0.149526908993721,0.16488538682460785,0.19011549651622772,0.7353923320770264,0.032721709460020065,0.12971888482570648,0.9291523694992065,0.037585098296403885,0.09827479720115662,119,55,anti,595,231,174,1.9910300970077515,0.0006839904235675931,0.0005625294870696962,0.00011721446207957342,30,30,26,0.1960881169102773,0.28754070001247123,64,64,1,23.2
hard_1mm_r1,320,180,cycle,0,0.1512586772441864,0.1695665568113327,0.19011549651622772,0.720154345035553,0.032306939363479614,0.12971888482570648,0.934066653251648,0.034444380551576614,0.16593903303146362,119,55,anti,595,231,174,1.9910300970077515,0.0006916970596648753,0.0007925682002678514,0.00011111117055406794,30,30,28,0.1491717939617253,0.28871293501420453,64,64,1,15.3
