sensor,width_px,height_px,fz_mae,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,n_train,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,batch,seconds
hard_1mm_r1,1920,1080,0.0315660759806633,0.41869986057281494,0.9925534129142761,0.03041575476527214,0.08423195034265518,933,67,1.9910300970077515,0.0004226479504723102,0.0003712182806339115,0.0001249891211045906,30,4,362.2
hard_1mm_r1,1280,720,0.02208804152905941,0.41869986057281494,0.9970209002494812,0.00965967494994402,0.08423195034265518,933,67,1.9910300970077515,0.0002941621351055801,0.00048134513781405985,0.0001489936257712543,30,11,159.4
hard_1mm_r1,854,480,0.027961883693933487,0.41869986057281494,0.9950713515281677,0.02083502523601055,0.08423195034265518,933,67,1.9910300970077515,0.0005507302703335881,0.00030010545742698014,0.00013863947242498398,30,24,73.8
hard_1mm_r1,640,360,0.09566569328308105,0.41869986057281494,0.9602057933807373,0.022100668400526047,0.08423195034265518,933,67,1.9910300970077515,0.0008189583895727992,0.00030331252492032945,0.0001277228002436459,30,44,41.4
hard_1mm_r1,426,240,0.0499575100839138,0.41869986057281494,0.9867474436759949,0.027000723406672478,0.08423195034265518,933,67,1.9910300970077515,0.0005166787886992097,0.0004512837913352996,0.00011239858577027917,30,64,20.0
hard_1mm_r1,320,180,0.06840627640485764,0.41869986057281494,0.9777596592903137,0.024172864854335785,0.08423195034265518,933,67,1.9910300970077515,0.00034740232513286173,0.0003632839070633054,0.0001073220482794568,30,64,12.0
hard_1mm_r1,160,90,0.05713796615600586,0.41869986057281494,0.9843111038208008,0.022412972524762154,0.08423195034265518,933,67,1.9910300970077515,0.000388668937375769,0.00026780267944559455,0.0001288122875848785,30,64,4.1
hard_1mm_r1,80,45,0.040760722011327744,0.41869986057281494,0.9911990165710449,0.020491132512688637,0.08423195034265518,933,67,1.9910300970077515,0.0003442814340814948,0.00043669724254868925,0.00011595905380090699,30,64,3.1
hard_1mm_r1,48,27,0.03867655247449875,0.41869986057281494,0.9910560846328735,0.018992915749549866,0.08423195034265518,933,67,1.9910300970077515,0.00032129770261235535,0.00035132502671331167,0.00011738298053387552,30,64,3.2
hard_1mm_r1,32,18,0.08498383313417435,0.41869986057281494,0.9661325812339783,0.013268670998513699,0.08423195034265518,933,67,1.9910300970077515,0.0006155697628855705,0.00029811629792675376,0.00012106865324312821,30,64,3.2
