sensor,width_px,cube4_raw_mae,cyl4_raw_mae,suspect_hardware,density_px_per_mm2
hard_1mm_r1,8,0.1055243959415157,0.06427446252083228,False,0.21444712842969466
hard_1mm_r1,16,0.07447997616424652,0.024559096446674283,False,0.8577885137187786
hard_1mm_r1,32,0.06834254391263588,0.0314136335011895,False,3.4311540548751145
hard_1mm_r1,48,0.07069609194853459,0.036915074786203685,False,7.720096623469007
hard_1mm_r1,80,0.07169494737148398,0.0391747140642579,False,21.44471284296947
hard_1mm_r1,160,0.073370592474386,0.04003766191567735,False,85.77885137187788
hard_1mm_r1,320,0.07396108907390501,0.04017938164438562,False,343.1154054875115
hard_1mm_r1,426,0.07393358071543393,0.040183067074077906,False,608.0782356079261
hard_1mm_r1,640,0.07217096533446998,0.039490842571514403,False,1372.461621950046
hard_1mm_r1,854,0.07229838295194747,0.03942050313021496,False,2443.745654966113
hard_1mm_r1,1280,0.0743098869956172,0.040281358858602824,False,5489.846487800184
hard_1mm_r1,1920,0.07411345016808053,0.04027858687009174,False,12352.154597550414
hard_1mm_r2,8,0.09868255919575984,0.28470181796684163,False,0.22987796811764577
hard_1mm_r2,16,0.09282353752251334,0.2211814035807418,False,0.9195118724705831
hard_1mm_r2,32,0.10017177055814588,0.23288789525108025,False,3.6780474898823323
hard_1mm_r2,48,0.1003287063947335,0.24165902976241505,False,8.275606852235248
hard_1mm_r2,80,0.10326277483612453,0.24583533350673115,False,22.98779681176457
hard_1mm_r2,160,0.10353550546761221,0.24909579643964067,False,91.95118724705829
hard_1mm_r2,320,0.10503807576464909,0.24899326744784214,False,367.80474898823314
hard_1mm_r2,426,0.10570372660070808,0.24889074567379355,False,651.833345970592
hard_1mm_r2,640,0.10971197292034265,0.24087837057793435,False,1471.2189959529326
hard_1mm_r2,854,0.10998194790137818,0.24061956969384649,False,2619.5887530576397
hard_1mm_r2,1280,0.10613629985958492,0.24930111022650495,False,5884.87598381173
hard_1mm_r2,1920,0.10779799752827356,0.24629661377503773,False,13240.970963576396
hard_2mm_r1,8,0.09061078413725596,0.08783176752821262,False,0.177486930809379
hard_2mm_r1,16,0.058808722564585025,0.039209947847655954,False,0.709947723237516
hard_2mm_r1,32,0.0434138086006115,0.033853671067289065,False,2.839790892950064
hard_2mm_r1,48,0.04399928677231768,0.03596663113766072,False,6.389529509137643
hard_2mm_r1,80,0.0464571900978754,0.03297039728694316,False,17.7486930809379
hard_2mm_r1,160,0.04741157035679322,0.032906018682650265,False,70.9947723237516
hard_2mm_r1,320,0.04793415892273882,0.032614593692949966,False,283.9790892950064
hard_2mm_r1,426,0.047890890420980256,0.03272223334842082,False,503.2752852431697
hard_2mm_r1,640,0.04292701746673086,0.026020895429781626,False,1135.9163571800257
hard_2mm_r1,854,0.043084095077223585,0.025918803104094223,False,2022.5634129714535
hard_2mm_r1,1280,0.04893804232925874,0.033677241691282965,False,4543.665428720103
hard_2mm_r1,1920,0.04755931835026246,0.03111812967889665,False,10223.247214620229
hard_2mm_r2,8,0.07327171753036323,0.012090647747740477,False,0.18730501242301487
hard_2mm_r2,16,0.044059995681666755,0.02234772279346516,False,0.7492200496920595
hard_2mm_r2,32,0.03207536589229945,0.03799060835443132,False,2.996880198768238
hard_2mm_r2,48,0.03149239987010598,0.03323272347830371,False,6.742980447228534
hard_2mm_r2,80,0.03186478314796928,0.02900869280479984,False,18.730501242301486
hard_2mm_r2,160,0.03181677346924783,0.026390241388307378,False,74.92200496920594
hard_2mm_r2,320,0.031665898746498826,0.026152549240814005,False,299.6880198768238
hard_2mm_r2,426,0.03165413521105888,0.025816881213413023,False,531.1150692887351
hard_2mm_r2,640,0.027948941922434578,0.028268426958547387,False,1198.752079507295
hard_2mm_r2,854,0.027894541508206125,0.02832006842278078,False,2134.4459756297424
hard_2mm_r2,1280,0.03149794449905398,0.025971130583511148,False,4795.00831802918
hard_2mm_r2,1920,0.030151398739465526,0.02708503783129288,False,10788.768715565659
hard_3mm_r1,8,0.15839606399587916,0.182174955064208,False,0.13254042623671855
hard_3mm_r1,16,0.13841148326423894,0.11359293133743176,False,0.5301617049468742
hard_3mm_r1,32,0.11747163767245543,0.09299464457459818,False,2.120646819787497
hard_3mm_r1,48,0.11101483165847387,0.0894751309303201,False,4.771455344521867
hard_3mm_r1,80,0.10947230567164347,0.08695383489854702,False,13.254042623671861
hard_3mm_r1,160,0.1050909718834075,0.08459037662275205,False,53.016170494687444
hard_3mm_r1,320,0.10319257388141878,0.08436977610714806,False,212.06468197874977
hard_3mm_r1,426,0.10220239668714133,0.08443805136509311,False,375.8266623708553
hard_3mm_r1,640,0.09603219464050854,0.08070169416047701,False,848.2587279149991
hard_3mm_r1,854,0.09532109136012323,0.0804642348436273,False,1510.372710957166
hard_3mm_r1,1280,0.10189295793202648,0.0847534046394385,False,3393.0349116599964
hard_3mm_r1,1920,0.09853868047025927,0.08295227800287376,False,7634.328551234989
hard_3mm_r2,8,0.11968168505139927,0.130867967749567,False,0.1595588475578144
hard_3mm_r2,16,0.10022435722855506,0.08192610055635982,False,0.6382353902312576
hard_3mm_r2,32,0.07783799569415824,0.05148662384095903,False,2.5529415609250306
hard_3mm_r2,48,0.07738150110451163,0.04821827811616775,False,5.744118512081321
