hardness,1mm,2mm,3mm
soft,12.5 / 12.6  (12.5),11.5 / 12.6  (12.1),8.2 / 7.7  (8.0)
medium,16.2 / 16.2  (16.2),15.0 / 15.0  (15.0),7.9 / 9.9  (8.9)
hard,17.6 / 19.3  (18.4),13.9 / 15.5  (14.7),10.9 / 10.2  (10.6)
