sensor,probe,density_px_per_mm2,mae_mm,suspect_hardware
soft_1mm_r1,cyl4,0.9094707819055913,-1.8333993896793896,False
soft_1mm_r1,cyl4,3.637883127622365,-1.8343418027232268,False
soft_1mm_r1,cyl4,8.185237037150321,-1.6253721525104754,False
soft_1mm_r1,cyl4,22.736769547639774,-1.2739842231177874,False
soft_1mm_r1,cyl4,90.9470781905591,-1.366432873259976,False
soft_1mm_r1,cyl4,363.7883127622364,-1.3337569011234405,False
soft_1mm_r1,cyl4,644.7153110042933,-1.3369688172400647,False
soft_1mm_r1,cyl4,1455.1532510489455,-1.7377554144909766,False
soft_1mm_r1,cyl4,2590.982784282258,-1.7157838349508179,False
soft_1mm_r1,cyl4,5820.613004195782,-1.3014326053017014,False
soft_1mm_r1,cyl4,13096.379259440511,-1.44366294896205,False
soft_1mm_r1,cube4,0.9094707819055913,-1.8333993896793896,False
soft_1mm_r1,cube4,3.637883127622365,-2.1672824346154327,False
soft_1mm_r1,cube4,8.185237037150321,-2.016930956357913,False
soft_1mm_r1,cube4,22.736769547639774,-2.219300162967933,False
soft_1mm_r1,cube4,90.9470781905591,-2.192064909521818,False
soft_1mm_r1,cube4,363.7883127622364,-2.1861963756880423,False
soft_1mm_r1,cube4,644.7153110042933,-2.174638702175237,False
soft_1mm_r1,cube4,1455.1532510489455,-2.1741185753134404,False
soft_1mm_r1,cube4,2590.982784282258,-2.1591967072619056,False
soft_1mm_r1,cube4,5820.613004195782,-2.1762012820170993,False
soft_1mm_r1,cube4,13096.379259440511,-2.1261552254569,False
soft_1mm_r2,cyl4,0.20803524288340983,4.009118906719097,False
soft_1mm_r2,cyl4,0.8321409715336393,-0.29479285233647845,False
soft_1mm_r2,cyl4,3.3285638861345572,1.2815661198947312,False
soft_1mm_r2,cyl4,7.4892687438027545,2.9040608568824977,False
soft_1mm_r2,cyl4,20.803524288340984,3.345766747601206,False
soft_1mm_r2,cyl4,83.21409715336394,3.485230097395985,False
soft_1mm_r2,cyl4,332.85638861345575,3.518950712209464,False
soft_1mm_r2,cyl4,589.8969333985889,3.533877684899579,False
soft_1mm_r2,cyl4,1331.425554453823,3.6051196233258294,False
soft_1mm_r2,cyl4,2370.678612480577,3.630814586452871,False
soft_1mm_r2,cyl4,5325.702217815292,3.519639481382245,False
soft_1mm_r2,cyl4,11982.829990084407,3.5748390325503445,False
soft_1mm_r2,cube4,0.20803524288340983,0.31957815734366424,False
soft_1mm_r2,cube4,0.8321409715336393,-1.4737514078236016,False
soft_1mm_r2,cube4,3.3285638861345572,-0.5761946441713919,False
soft_1mm_r2,cube4,7.4892687438027545,-0.3203160935549363,False
soft_1mm_r2,cube4,20.803524288340984,0.0365906116848711,False
soft_1mm_r2,cube4,83.21409715336394,0.26934460990333253,False
soft_1mm_r2,cube4,332.85638861345575,0.8665740152340451,False
soft_1mm_r2,cube4,589.8969333985889,1.076051812640002,False
soft_1mm_r2,cube4,1331.425554453823,1.1751017331141203,False
soft_1mm_r2,cube4,2370.678612480577,1.272768623906062,False
soft_1mm_r2,cube4,5325.702217815292,1.4503751327886807,False
soft_1mm_r2,cube4,11982.829990084407,1.3217947062626925,False
soft_2mm_r1,cyl4,0.7330856252468388,-0.7891660188261072,False
soft_2mm_r1,cyl4,2.9323425009873554,-0.6951290372270011,False
soft_2mm_r1,cyl4,6.597770627221551,-0.781245158048478,False
soft_2mm_r1,cyl4,18.327140631170973,-0.6994121331236927,False
soft_2mm_r1,cyl4,73.3085625246839,-0.6815702485553321,False
soft_2mm_r1,cyl4,293.2342500987356,-0.7100609024291145,False
soft_2mm_r1,cyl4,519.6775270597474,-0.7024601465910063,False
soft_2mm_r1,cyl4,1172.9370003949423,-0.6936574850659127,False
soft_2mm_r1,cyl4,2088.480765087983,-0.7014356362347187,False
soft_2mm_r1,cyl4,4691.748001579769,-0.6941663540186478,False
soft_2mm_r1,cyl4,10556.43300355448,-0.7737900724797782,False
soft_2mm_r1,cube4,0.1832714063117097,1.268083586848821,False
soft_2mm_r1,cube4,0.7330856252468388,-0.22492815012177658,False
soft_2mm_r1,cube4,2.9323425009873554,-0.4954516405083016,False
soft_2mm_r1,cube4,6.597770627221551,-0.28690507761505923,False
soft_2mm_r1,cube4,18.327140631170973,-0.32310102777360283,False
soft_2mm_r1,cube4,73.3085625246839,-0.1997066924329962,False
soft_2mm_r1,cube4,293.2342500987356,-0.17094174628254422,False
soft_2mm_r1,cube4,519.6775270597474,-0.16444229170027214,False
soft_2mm_r1,cube4,1172.9370003949423,-0.07818477379848199,False
soft_2mm_r1,cube4,2088.480765087983,-0.08467671467659121,False
soft_2mm_r1,cube4,4691.748001579769,-0.16385809254066075,False
soft_2mm_r1,cube4,10556.43300355448,-0.11858619844692075,False
soft_2mm_r2,cyl4,0.7052276907304534,-1.6700128415361633,False
soft_2mm_r2,cyl4,2.8209107629218138,-1.7320191579586184,False
soft_2mm_r2,cyl4,6.34704921657408,-1.6519918296707767,False
soft_2mm_r2,cyl4,17.630692268261335,-1.6671169733254376,False
soft_2mm_r2,cyl4,70.52276907304534,-1.5465056292359418,False
soft_2mm_r2,cyl4,282.09107629218136,-1.4939133264919455,False
soft_2mm_r2,cyl4,499.9292984492178,-1.4796864894537554,False
soft_2mm_r2,cyl4,1128.3643051687254,-1.4625214257162966,False
soft_2mm_r2,cyl4,2009.116556612388,-1.4618221354826475,False
soft_2mm_r2,cyl4,4513.457220674902,-1.464385088959891,False
soft_2mm_r2,cyl4,10155.27874651853,-1.447750830957069,False
soft_2mm_r2,cube4,0.17630692268261336,1.337987645666364,False
soft_2mm_r2,cube4,0.7052276907304534,0.04839034962358202,False
soft_2mm_r2,cube4,2.8209107629218138,-0.29629791168226527,False
soft_2mm_r2,cube4,6.34704921657408,-0.04951308133785304,False
soft_2mm_r2,cube4,17.630692268261335,0.005647460019579498,False
soft_2mm_r2,cube4,70.52276907304534,0.15709750450346327,False
soft_2mm_r2,cube4,282.09107629218136,0.2051903738133447,False
soft_2mm_r2,cube4,499.9292984492178,0.23505384428513132,False
soft_2mm_r2,cube4,1128.3643051687254,0.46110064122896066,False
soft_2mm_r2,cube4,2009.116556612388,0.4535831813303872,False
soft_2mm_r2,cube4,4513.457220674902,0.19899374247567625,False
soft_2mm_r2,cube4,10155.27874651853,0.24804011100107637,False
soft_3mm_r1,cyl4,0.14892884080120877,1.0468386676664405,False
soft_3mm_r1,cyl4,0.5957153632048351,-0.8563698279775265,False
soft_3mm_r1,cyl4,2.3828614528193404,-0.9376866775166368,False
soft_3mm_r1,cyl4,5.361438268843514,-0.7720603872656411,False
soft_3mm_r1,cyl4,14.892884080120874,-0.7636931032602625,False
soft_3mm_r1,cyl4,59.571536320483496,-0.7056153187299765,False
soft_3mm_r1,cyl4,238.28614528193398,-0.7205338108734622,False
soft_3mm_r1,cyl4,422.2970361443775,-0.7145365526033869,False
soft_3mm_r1,cyl4,953.1445811277359,-0.7076912782409943,False
soft_3mm_r1,cyl4,1697.1279134027243,-0.719354399992981,False
soft_3mm_r1,cyl4,3812.5783245109437,-0.7282816004923331,False
soft_3mm_r1,cyl4,8578.301230149624,-0.7747387796927425,False
soft_3mm_r1,cube4,0.14892884080120877,1.0468386676664405,False
soft_3mm_r1,cube4,0.5957153632048351,-0.0002995527290710065,False
soft_3mm_r1,cube4,2.3828614528193404,0.33658508585242686,False
soft_3mm_r1,cube4,5.361438268843514,0.4542287428313143,False
soft_3mm_r1,cube4,14.892884080120874,0.4258516009512734,False
soft_3mm_r1,cube4,59.571536320483496,0.4586220892646091,False
soft_3mm_r1,cube4,238.28614528193398,0.47608312046310086,False
soft_3mm_r1,cube4,422.2970361443775,0.4780381875222437,False
soft_3mm_r1,cube4,953.1445811277359,0.5151546059058107,False
soft_3mm_r1,cube4,1697.1279134027243,0.5075775430645795,False
soft_3mm_r1,cube4,3812.5783245109437,0.47608071645541106,False
soft_3mm_r1,cube4,8578.301230149624,0.3802757972309472,False
soft_3mm_r2,cyl4,0.14158423832615935,1.2092425858749278,False
soft_3mm_r2,cyl4,0.5663369533046374,-0.5188943972753517,False
soft_3mm_r2,cyl4,2.2653478132185496,-0.34077150276467005,False
soft_3mm_r2,cyl4,5.097032579741737,-0.48432191739659647,False
soft_3mm_r2,cyl4,14.158423832615933,-0.3261382698780473,False
soft_3mm_r2,cyl4,56.63369533046373,-0.32986167247752407,False
soft_3mm_r2,cyl4,226.53478132185492,-0.32321411702951064,False
soft_3mm_r2,cyl4,401.4709567887202,-0.31418237136136185,False
soft_3mm_r2,cyl4,906.1391252874197,-0.28909164722110336,False
soft_3mm_r2,cyl4,1613.4320368606445,-0.2835767930904556,False
soft_3mm_r2,cyl4,3624.5565011496788,-0.29694110639530624,False
soft_3mm_r2,cyl4,8155.252127586778,-0.28981856125273,False
soft_3mm_r2,cube4,0.14158423832615935,2.015115218457904,False
soft_3mm_r2,cube4,0.5663369533046374,0.010076812305269023,False
soft_3mm_r2,cube4,2.2653478132185496,0.4310588012154213,False
soft_3mm_r2,cube4,5.097032579741737,0.5254425413869255,False
soft_3mm_r2,cube4,14.158423832615933,0.5240493353672893,False
soft_3mm_r2,cube4,56.63369533046373,0.5617273663641891,False
soft_3mm_r2,cube4,226.53478132185492,0.5789729356606683,False
soft_3mm_r2,cube4,401.4709567887202,0.5845892158684007,False
soft_3mm_r2,cube4,906.1391252874197,0.6644973164362211,False
soft_3mm_r2,cube4,1613.4320368606445,0.6723153074194821,False
soft_3mm_r2,cube4,3624.5565011496788,0.5795625124005044,False
soft_3mm_r2,cube4,8155.252127586778,0.620192080927974,False
medium_1mm_r1,cyl4,0.8423728831968254,-0.7481560965917802,False
medium_1mm_r1,cyl4,3.3694915327873014,-0.6047008608824078,False
medium_1mm_r1,cyl4,7.581355948771427,-0.4111790623386624,False
medium_1mm_r1,cyl4,21.05932207992063,-0.3948204793172394,False
medium_1mm_r1,cyl4,84.23728831968252,-0.3836941373008629,False
medium_1mm_r1,cyl4,336.9491532787301,-0.35205923260005756,False
medium_1mm_r1,cyl4,597.1502396524494,-0.34166862684106425,False
medium_1mm_r1,cyl4,1347.7966131149203,-0.19465203326158775,False
medium_1mm_r1,cyl4,2399.8282096936555,-0.18943222728009124,False
medium_1mm_r1,cyl4,5391.186452459681,-0.3286814960203275,False
medium_1mm_r1,cyl4,12130.169518034287,-0.2303816181749445,False
medium_1mm_r1,cube4,0.21059322079920634,1.646879295887361,False
medium_1mm_r1,cube4,0.8423728831968254,1.9297561804934462,False
medium_1mm_r1,cube4,3.3694915327873014,1.1283614729185016,False
medium_1mm_r1,cube4,7.581355948771427,1.2758392394382412,False
medium_1mm_r1,cube4,21.05932207992063,1.228350155324157,False
medium_1mm_r1,cube4,84.23728831968252,1.0817429360598059,False
medium_1mm_r1,cube4,336.9491532787301,1.1155103542345488,False
