principle,probe,measure,group_by,x,at_x,between,within_iqr,ratio,g_hard,g_medium,g_soft,spread_pct,monotone,g_1,g_2,g_3
DIGIT,ball4,diameter_px,hardness,force_N,10.366052727862796,58.613936600003285,26.28280334937108,2.230124991648041,601.7709619368118,610.9706554085452,552.3567188085419,9.74024010918592,False,,,
DIGIT,ball4,diameter_px,thickness_mm,force_N,10.061192786397603,16.95027258635139,66.92820065542435,0.25326054518660684,,,,2.915325953730412,False,581.419465794624,579.2832042981761,596.2334768845275
DIGIT,ball4,level,hardness,force_N,10.366052727862796,1.3007450594184533,2.4055511209718556,0.5407264256736914,17.12536054041284,17.558562300796673,16.25781724137822,7.59543167776774,False,,,
DIGIT,ball4,level,thickness_mm,force_N,10.061192786397603,3.4234174725823507,2.035688206393406,1.681700302546607,,,,19.532221204999235,False,16.57444851887202,19.997865991454372,17.527025916059834
