hardness,1mm,2mm,3mm
soft,322 / 440  (381),339 / 319  (329),306 / 255  (280)
medium,502 / 454  (478),359 / 367  (363),243 / 361  (302)
hard,638 / 586  (612),332 / 366  (349),326 / 292  (309)
