axis,width_px,density_px_per_mm2,mae
Fx,8,0.18037916856054437,0.0585255194455385
Fx,16,0.7215166742421775,0.033617841079831096
Fx,32,2.88606669696871,0.02990926988422865
Fx,48,6.493650068179597,0.0268677873536944
Fx,80,18.037916856054437,0.0272096144035458
Fx,160,72.15166742421775,0.029511656612157752
Fx,320,288.606669696871,0.0296223042532801
Fx,426,511.47640615145855,0.028310417197644648
Fx,640,1154.426678787484,0.0311034088954329
Fx,854,2055.5220890297182,0.030131046660244402
Fx,1280,4617.706715149936,0.03096306975930925
Fx,1920,10389.840109087356,0.037177620455622604
Fy,8,0.18037916856054437,0.0573000777512788
Fy,16,0.7215166742421775,0.04207362607121465
Fy,32,2.88606669696871,0.0381166134029626
Fy,48,6.493650068179597,0.03383929096162315
Fy,80,18.037916856054437,0.033261232078075395
Fy,160,72.15166742421775,0.03617477416992185
Fy,320,288.606669696871,0.033685835078358595
Fy,426,511.47640615145855,0.034089120104908846
Fy,640,1154.426678787484,0.0336332488805055
Fy,854,2055.5220890297182,0.0362880546599626
Fy,1280,4617.706715149936,0.036291209980845396
Fy,1920,10389.840109087356,0.042111067101359353
Fz,8,0.18037916856054437,0.1215030215680599
Fz,16,0.7215166742421775,0.08264452219009394
Fz,32,2.88606669696871,0.06732081621885296
Fz,48,6.493650068179597,0.06330998986959455
Fz,80,18.037916856054437,0.061083715409040396
Fz,160,72.15166742421775,0.06942049041390416
Fz,320,288.606669696871,0.07342699542641634
Fz,426,511.47640615145855,0.06794879212975495
Fz,640,1154.426678787484,0.069246981292963
Fz,854,2055.5220890297182,0.0658934265375137
Fz,1280,4617.706715149936,0.06566024571657181
Fz,1920,10389.840109087356,0.06869089975953094
