sensor,width_px,height_px,split,seed,fx_mae,fy_mae,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,rep,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds,hardness,thickness_mm,suspect_hardware
hard_1mm_r1,1920,1080,cycle,0,0.0343279913067817,0.0390875861048698,0.0808104947209358,0.125410258769989,0.4563528597354889,0.9477364420890808,0.0429877042770385,0.1915056556463241,0.9235185980796814,0.0541584640741348,0.0604197494685649,137,70,none,1,611,182,207,2.800950050354004,0.0010112808085978,0.000789045356214,0.0001327313511865,30,30,27,0.1332273622288836,0.2150013430432958,64,4,16,231.5,hard,1,False
hard_1mm_r1,1920,1080,cycle,1,0.0302494820207357,0.0411551892757415,0.087556205689907,0.1351883262395858,0.4563528597354889,0.939268946647644,0.0421113185584545,0.1915056556463241,0.9274406433105468,0.0510104596614837,0.0641232803463935,137,70,none,1,611,182,207,2.800950050354004,0.0008487226441502,0.0006814525113441,0.0001423916401108,30,30,24,0.1523590584189529,0.2185212404845835,64,4,16,228.1,hard,1,False
hard_1mm_r1,1920,1080,cycle,2,0.0492448806762695,0.0376659370958805,0.1220437735319137,0.1587350815534591,0.4563528597354889,0.9162704944610596,0.0554019846022129,0.1915056556463241,0.8635510802268982,0.0748090744018554,0.0850119292736053,137,70,none,1,611,182,207,2.800950050354004,0.0008442358812317,0.0009443349554203,0.0001424613874405,30,30,29,0.2686240538442583,0.2494636053567404,64,4,16,228.0,hard,1,False
hard_1mm_r1,1280,720,cycle,0,0.0298870038241148,0.0431722961366176,0.0820716246962547,0.1291979402303695,0.4563528597354889,0.9445318579673768,0.0454553999006748,0.1915056556463241,0.9256439805030824,0.0475067570805549,0.0583366453647613,137,70,none,1,611,182,207,2.800950050354004,0.0009376661619171,0.0007150877499952,0.0001340301823802,30,30,26,0.2071850604199348,0.2262698523290864,64,11,6,101.0,hard,1,False
hard_1mm_r1,1280,720,cycle,1,0.0334515534341335,0.0312553532421588,0.0737256705760955,0.1228649690747261,0.4563528597354889,0.9498363733291626,0.0403370819985866,0.1915056556463241,0.944202959537506,0.0491267293691635,0.0601233690977096,137,70,none,1,611,182,207,2.800950050354004,0.0006794428336434,0.0006436246330849,0.0001399593165842,30,30,29,0.1939910249312068,0.2066163767825116,64,11,6,100.1,hard,1,False
hard_1mm_r1,1280,720,cycle,2,0.0376082099974155,0.0356430783867836,0.1073319539427757,0.1443654894828796,0.4563528597354889,0.93074369430542,0.0386946350336074,0.1915056556463241,0.9376497864723206,0.0513757579028606,0.0721177905797958,137,70,none,1,611,182,207,2.800950050354004,0.0008109366171993,0.000767131219618,0.0001621518022147,30,30,28,0.2027484260487283,0.247027195416964,64,11,6,100.1,hard,1,False
hard_1mm_r1,854,480,cycle,0,0.0318356528878212,0.0341116525232791,0.0741122066974639,0.1191515326499939,0.4563528597354889,0.9528228044509888,0.0424143150448799,0.1915056556463241,0.9364953637123108,0.0454837419092655,0.054300207644701,137,70,none,1,611,182,207,2.800950050354004,0.0007856822339817,0.000727841630578,0.000135860114824,30,30,26,0.1751074580240952,0.237009829217261,64,24,3,47.0,hard,1,False
hard_1mm_r1,854,480,cycle,1,0.0366092324256897,0.0294739175587892,0.0718613788485527,0.120618425309658,0.4563528597354889,0.9516540765762328,0.0413706451654434,0.1915056556463241,0.9333275556564332,0.055870484560728,0.0559164509177207,137,70,none,1,611,182,207,2.800950050354004,0.0006927734939381,0.0008102924912236,0.0001539934019092,30,30,26,0.1698632189568052,0.2095169313661344,64,24,3,46.0,hard,1,False
hard_1mm_r1,854,480,cycle,2,0.027691850438714,0.036167562007904,0.0865586325526237,0.1256414204835891,0.4563528597354889,0.9475436210632324,0.0365321561694145,0.1915056556463241,0.9347009062767028,0.0484416484832763,0.0588479787111282,137,70,none,1,611,182,207,2.800950050354004,0.0008975075907073,0.0005982089205645,0.0001511083537479,30,30,29,0.1799227968955781,0.215422986627935,64,24,3,46.0,hard,1,False
hard_1mm_r1,640,360,cycle,0,0.0293709691613912,0.0330580733716487,0.0826343297958374,0.1289204806089401,0.4563528597354889,0.94476979970932,0.0361559353768825,0.1915056556463241,0.9439058899879456,0.0441323705017566,0.0583201199769973,137,70,none,1,611,182,207,2.800950050354004,0.0008644171757623,0.0006400809506885,0.0001496319746365,30,30,29,0.1794364300179989,0.2128570276302295,64,44,1,26.4,hard,1,False
