hardness,1mm,2mm,3mm
soft,1.10 / 1.10  (1.10),1.10 / 1.10  (1.10),1.10 / 1.10  (1.10)
medium,1.10 / 1.10  (1.10),1.10 / 1.10  (1.10),1.10 / 1.10  (1.10)
hard,1.10 / 1.10  (1.10),1.10 / 1.10  (1.10),1.10 / 1.10  (1.10)
