hardness,1mm,2mm,3mm
soft,355 / 319  (337),226 / 188  (207),173 / 211  (192)
medium,429 / 374  (402),199 / 261  (230),151 / 289  (220)
hard,414 / 252  (333),250 / 266  (258),167 / 195  (181)
