hardness,1mm,2mm,3mm
soft,10.1 / 8.6  (9.3),7.7 / 7.8  (7.8),4.8 / 5.8  (5.3)
medium,10.3 / 10.0  (10.1),9.0 / 9.2  (9.1),4.8 / 6.3  (5.6)
hard,10.4 / 14.8  (12.6),9.3 / 9.4  (9.3),4.7 / 6.4  (5.5)
