sensor,probe,width_px,mae_mm
soft_3mm_r1,cube4,8,0.18093995027902685
soft_3mm_r1,cube4,16,0.18093995027902685
soft_3mm_r1,cube4,32,0.18093995027902685
soft_3mm_r1,cube4,48,0.12265947235785883
soft_3mm_r1,cube4,80,0.09476098192893434
soft_3mm_r1,cube4,160,0.09327160838408237
soft_3mm_r1,cube4,320,0.09536947457157541
soft_3mm_r1,cube4,426,0.09596288723908826
soft_3mm_r1,cube4,640,0.097019944570094
soft_3mm_r1,cube4,854,0.09669560092849498
soft_3mm_r1,cube4,1280,0.09730317342443233
soft_3mm_r1,cube4,1920,0.09647973649862374
soft_3mm_r2,cyl4,8,0.2304913766738359
soft_3mm_r2,cyl4,16,0.2304913766738359
soft_3mm_r2,cyl4,32,0.1205902595129196
soft_3mm_r2,cyl4,48,0.06555312611724777
soft_3mm_r2,cyl4,80,0.06320064813460752
soft_3mm_r2,cyl4,160,0.06500544325079362
soft_3mm_r2,cyl4,320,0.0680754885133688
soft_3mm_r2,cyl4,426,0.06860822365250033
soft_3mm_r2,cyl4,640,0.0696778439041559
soft_3mm_r2,cyl4,854,0.06975601725842397
soft_3mm_r2,cyl4,1280,0.06911100186969682
soft_3mm_r2,cyl4,1920,0.06631513424779817
soft_3mm_r2,cube4,8,0.16940453821643564
soft_3mm_r2,cube4,16,0.16940453821643564
soft_3mm_r2,cube4,32,0.14679188206021362
soft_3mm_r2,cube4,48,0.07312890315278743
soft_3mm_r2,cube4,80,0.05799741967742023
soft_3mm_r2,cube4,160,0.059186744682236274
soft_3mm_r2,cube4,320,0.0612692154866892
soft_3mm_r2,cube4,426,0.06190917689824477
soft_3mm_r2,cube4,640,0.06302914196475723
soft_3mm_r2,cube4,854,0.06348588614885387
soft_3mm_r2,cube4,1280,0.06327774797106163
soft_3mm_r2,cube4,1920,0.06112437495812153
medium_1mm_r1,cyl4,8,0.07446934019155194
medium_1mm_r1,cyl4,16,0.03067558598885186
medium_1mm_r1,cyl4,32,0.03510859240958343
medium_1mm_r1,cyl4,48,0.03914280762145168
medium_1mm_r1,cyl4,80,0.04142173011967786
medium_1mm_r1,cyl4,160,0.04297264297673355
medium_1mm_r1,cyl4,320,0.04312435765931254
medium_1mm_r1,cyl4,426,0.04309058119723448
medium_1mm_r1,cyl4,640,0.04314611260959752
medium_1mm_r1,cyl4,854,0.043034704077931696
medium_1mm_r1,cyl4,1280,0.04276808281609662
medium_1mm_r1,cyl4,1920,0.04127900232741486
medium_1mm_r1,cube4,8,0.03938880748133135
medium_1mm_r1,cube4,16,0.03590442984382582
medium_1mm_r1,cube4,32,0.045552111000263046
medium_1mm_r1,cube4,48,0.04350660066350632
medium_1mm_r1,cube4,80,0.04858206620241837
medium_1mm_r1,cube4,160,0.049383996406452205
medium_1mm_r1,cube4,320,0.0497227277400656
medium_1mm_r1,cube4,426,0.050863266343133026
medium_1mm_r1,cube4,640,0.050536934638278054
medium_1mm_r1,cube4,854,0.05096411367680265
medium_1mm_r1,cube4,1280,0.05062167195405197
medium_1mm_r1,cube4,1920,0.05063291115488245
medium_1mm_r2,cyl4,8,0.1239509994874996
medium_1mm_r2,cyl4,16,0.09312590982423248
medium_1mm_r2,cyl4,32,0.07301824658767407
medium_1mm_r2,cyl4,48,0.07907980302627907
medium_1mm_r2,cyl4,80,0.07675044792052135
medium_1mm_r2,cyl4,160,0.07758775720651968
medium_1mm_r2,cyl4,320,0.07853148158297961
medium_1mm_r2,cyl4,426,0.07870258975432341
medium_1mm_r2,cyl4,640,0.07858949025130295
medium_1mm_r2,cyl4,854,0.07839971713380044
medium_1mm_r2,cyl4,1280,0.07777041874484247
medium_1mm_r2,cyl4,1920,0.07579680868393208
medium_1mm_r2,cube4,8,0.09214826693476467
medium_1mm_r2,cube4,16,0.07301488275823473
medium_1mm_r2,cube4,32,0.0515616248519841
medium_1mm_r2,cube4,48,0.052500873966381076
medium_1mm_r2,cube4,80,0.05298630946712211
medium_1mm_r2,cube4,160,0.053652335865661635
medium_1mm_r2,cube4,320,0.05384789572493746
medium_1mm_r2,cube4,426,0.053894594846531876
medium_1mm_r2,cube4,640,0.054488354338571555
medium_1mm_r2,cube4,854,0.05452841871814442
medium_1mm_r2,cube4,1280,0.05446979643242074
medium_1mm_r2,cube4,1920,0.05428373829858017
medium_2mm_r1,cyl4,8,0.21632503847084691
medium_2mm_r1,cyl4,16,0.21632503847084691
medium_2mm_r1,cyl4,32,0.17133301476441073
medium_2mm_r1,cyl4,48,0.08212219279683881
medium_2mm_r1,cyl4,80,0.04802963564596826
medium_2mm_r1,cyl4,160,0.05159656385384257
medium_2mm_r1,cyl4,320,0.05405027250252418
medium_2mm_r1,cyl4,426,0.05492351184092218
medium_2mm_r1,cyl4,640,0.05627301315270119
medium_2mm_r1,cyl4,854,0.05665559599600487
medium_2mm_r1,cyl4,1280,0.05647361258469276
medium_2mm_r1,cyl4,1920,0.0552650881787365
medium_2mm_r1,cube4,8,0.15943125884630754
medium_2mm_r1,cube4,16,0.15943125884630754
medium_2mm_r1,cube4,32,0.15943125884630754
medium_2mm_r1,cube4,48,0.09528742653899867
medium_2mm_r1,cube4,80,0.016665915657068098
medium_2mm_r1,cube4,160,0.021294518072391345
medium_2mm_r1,cube4,320,0.02427689421572764
medium_2mm_r1,cube4,426,0.025401617098832926
medium_2mm_r1,cube4,640,0.02700505096116142
medium_2mm_r1,cube4,854,0.027781597037101566
medium_2mm_r1,cube4,1280,0.028383484740043475
medium_2mm_r1,cube4,1920,0.027946757782483917
medium_2mm_r2,cyl4,8,0.14461745769010786
medium_2mm_r2,cyl4,16,0.11244752556310895
medium_2mm_r2,cyl4,32,0.06250080764518981
medium_2mm_r2,cyl4,48,0.052442488076555785
medium_2mm_r2,cyl4,80,0.03844275419194142
medium_2mm_r2,cyl4,160,0.04352517932965226
medium_2mm_r2,cyl4,320,0.043450833303517525
medium_2mm_r2,cyl4,426,0.04601100404340666
medium_2mm_r2,cyl4,640,0.046619870740313006
medium_2mm_r2,cyl4,854,0.04666896608165484
medium_2mm_r2,cyl4,1280,0.047637918783015445
medium_2mm_r2,cyl4,1920,0.0494562754460041
medium_2mm_r2,cube4,8,0.09869882323932795
medium_2mm_r2,cube4,16,0.09869882323932795
medium_2mm_r2,cube4,32,0.09869882323932795
medium_2mm_r2,cube4,48,0.08417495013368279
medium_2mm_r2,cube4,80,0.028430546700372258
medium_2mm_r2,cube4,160,0.030136498719191003
medium_2mm_r2,cube4,320,0.035044195227062154
medium_2mm_r2,cube4,426,0.036121336839830355
medium_2mm_r2,cube4,640,0.036655761398112253
medium_2mm_r2,cube4,854,0.03670633314523643
medium_2mm_r2,cube4,1280,0.0377922655117864
medium_2mm_r2,cube4,1920,0.03976772642109343
medium_3mm_r1,cyl4,8,0.28254303278755655
medium_3mm_r1,cyl4,16,0.28254303278755655
medium_3mm_r1,cyl4,32,0.28254303278755655
medium_3mm_r1,cyl4,48,0.09218904244136325
medium_3mm_r1,cyl4,80,0.06433241450416032
medium_3mm_r1,cyl4,160,0.06929688089715424
medium_3mm_r1,cyl4,320,0.07346713262032975
medium_3mm_r1,cyl4,426,0.0751594735158633
medium_3mm_r1,cyl4,640,0.07782483192514887
medium_3mm_r1,cyl4,854,0.07826439531874171
medium_3mm_r1,cyl4,1280,0.07833019512128345
medium_3mm_r1,cyl4,1920,0.07535914795827384
medium_3mm_r1,cube4,8,0.18352077163752986
medium_3mm_r1,cube4,16,0.18352077163752986
medium_3mm_r1,cube4,32,0.18352077163752986
medium_3mm_r1,cube4,48,0.10297771799064746
medium_3mm_r1,cube4,80,0.060281551207076234
medium_3mm_r1,cube4,160,0.0547095600018608
medium_3mm_r1,cube4,320,0.0555975711097029
medium_3mm_r1,cube4,426,0.05612131588158086
medium_3mm_r1,cube4,640,0.056195367202133695
medium_3mm_r1,cube4,854,0.05689836425082956
medium_3mm_r1,cube4,1280,0.056890904977888596
medium_3mm_r1,cube4,1920,0.05514427157736893
medium_3mm_r2,cyl4,8,0.28726443261526025
medium_3mm_r2,cyl4,16,0.28726443261526025
medium_3mm_r2,cyl4,32,0.2232503494682113
medium_3mm_r2,cyl4,48,0.04773648292444148
medium_3mm_r2,cyl4,80,0.021263875669459482
medium_3mm_r2,cyl4,160,0.022139810627917426
medium_3mm_r2,cyl4,320,0.023336347049693264
medium_3mm_r2,cyl4,426,0.023552238053301956
medium_3mm_r2,cyl4,640,0.02530252546689904
medium_3mm_r2,cyl4,854,0.025547774738291874
medium_3mm_r2,cyl4,1280,0.026150942450980357
medium_3mm_r2,cyl4,1920,0.025575313574294233
medium_3mm_r2,cube4,8,0.2829834864422551
medium_3mm_r2,cube4,16,0.2829834864422551
medium_3mm_r2,cube4,32,0.2829834864422551
medium_3mm_r2,cube4,48,0.15815626391618168
medium_3mm_r2,cube4,80,0.11697234520165838
medium_3mm_r2,cube4,160,0.11517272004334841
medium_3mm_r2,cube4,320,0.11719050788729109
medium_3mm_r2,cube4,426,0.11736523443310179
medium_3mm_r2,cube4,640,0.11837548845856105
medium_3mm_r2,cube4,854,0.11891338237969792
medium_3mm_r2,cube4,1280,0.1192465775593988
medium_3mm_r2,cube4,1920,0.11966709354369558
hard_1mm_r1,cyl4,8,0.09114346611195993
hard_1mm_r1,cyl4,16,0.09114346611195993
hard_1mm_r1,cyl4,32,0.033057101736258664
hard_1mm_r1,cyl4,48,0.04535888855721313
hard_1mm_r1,cyl4,80,0.03948746559585888
hard_1mm_r1,cyl4,160,0.03843580049838382
hard_1mm_r1,cyl4,320,0.03896483828689414
hard_1mm_r1,cyl4,426,0.03918649343218166
hard_1mm_r1,cyl4,640,0.03957395640577632
hard_1mm_r1,cyl4,854,0.0396446296330865
hard_1mm_r1,cyl4,1280,0.039953037103670416
hard_1mm_r1,cyl4,1920,0.04027858687009174
hard_1mm_r1,cube4,8,0.11167813422289476
hard_1mm_r1,cube4,16,0.11167813422289476
hard_1mm_r1,cube4,32,0.11167813422289476
hard_1mm_r1,cube4,48,0.11167813422289476
hard_1mm_r1,cube4,80,0.08411175000922867
hard_1mm_r1,cube4,160,0.07221108635203716
hard_1mm_r1,cube4,320,0.07305424928175401
hard_1mm_r1,cube4,426,0.07317568216215932
hard_1mm_r1,cube4,640,0.07356036351581528
hard_1mm_r1,cube4,854,0.07374416670039408
hard_1mm_r1,cube4,1280,0.0739569317857498
hard_1mm_r1,cube4,1920,0.07411345016808053
hard_1mm_r2,cyl4,8,0.33523880283488267
hard_1mm_r2,cyl4,16,0.2582937065805339
hard_1mm_r2,cyl4,32,0.25873479734314914
hard_1mm_r2,cyl4,48,0.2733028810764694
hard_1mm_r2,cyl4,80,0.2754673254038238
hard_1mm_r2,cyl4,160,0.2796027023638629
hard_1mm_r2,cyl4,320,0.28183830197109216
hard_1mm_r2,cyl4,426,0.2827248227144622
hard_1mm_r2,cyl4,640,0.2836584773208045
hard_1mm_r2,cyl4,854,0.2840838346923732
hard_1mm_r2,cyl4,1280,0.2838757012332821
hard_1mm_r2,cyl4,1920,0.2828327793921375
hard_1mm_r2,cube4,8,0.10673148310435823
hard_1mm_r2,cube4,16,0.09836342736904262
hard_1mm_r2,cube4,32,0.10526887027106267
hard_1mm_r2,cube4,48,0.10158838776431067
hard_1mm_r2,cube4,80,0.10315483933938553
hard_1mm_r2,cube4,160,0.10276001604365605
hard_1mm_r2,cube4,320,0.10386863156978723
hard_1mm_r2,cube4,426,0.10493776008312343
hard_1mm_r2,cube4,640,0.10535927242291979
hard_1mm_r2,cube4,854,0.10569068382718884
hard_1mm_r2,cube4,1280,0.10657109126274225
hard_1mm_r2,cube4,1920,0.10779799752827356
hard_2mm_r1,cyl4,8,0.14761898342602603
hard_2mm_r1,cyl4,16,0.14761898342602603
hard_2mm_r1,cyl4,32,0.09193861533038969
hard_2mm_r1,cyl4,48,0.046868514009646145
hard_2mm_r1,cyl4,80,0.02719703849487657
hard_2mm_r1,cyl4,160,0.027829955630830506
hard_2mm_r1,cyl4,320,0.029631871842673983
hard_2mm_r1,cyl4,426,0.030344456546834653
hard_2mm_r1,cyl4,640,0.03129259806208964
hard_2mm_r1,cyl4,854,0.03167168099515792
hard_2mm_r1,cyl4,1280,0.032301171609095326
hard_2mm_r1,cyl4,1920,0.03111812967889665
hard_2mm_r1,cube4,8,0.1306946356162498
hard_2mm_r1,cube4,16,0.1306946356162498
hard_2mm_r1,cube4,32,0.1306946356162498
hard_2mm_r1,cube4,48,0.09303030710072017
hard_2mm_r1,cube4,80,0.04097140509039862
hard_2mm_r1,cube4,160,0.041929189147062125
hard_2mm_r1,cube4,320,0.044374286414689844
hard_2mm_r1,cube4,426,0.04522264528424243
hard_2mm_r1,cube4,640,0.046719659523672866
hard_2mm_r1,cube4,854,0.04728575910777548
hard_2mm_r1,cube4,1280,0.04773934002370338
hard_2mm_r1,cube4,1920,0.04755931835026246
hard_2mm_r2,cyl4,8,0.13034548730649356
hard_2mm_r2,cyl4,16,0.13034548730649356
hard_2mm_r2,cyl4,32,0.0858355400065363
hard_2mm_r2,cyl4,48,0.030269144777284394
hard_2mm_r2,cyl4,80,0.028263223473058496
hard_2mm_r2,cyl4,160,0.02661264643453194
hard_2mm_r2,cyl4,320,0.02666053280614452
hard_2mm_r2,cyl4,426,0.026621710810886177
hard_2mm_r2,cyl4,640,0.02635317698501184
hard_2mm_r2,cyl4,854,0.026244576577173023
hard_2mm_r2,cyl4,1280,0.026436030421481883
hard_2mm_r2,cyl4,1920,0.02708503783129288
hard_2mm_r2,cube4,8,0.10944253660614131
hard_2mm_r2,cube4,16,0.10944253660614131
hard_2mm_r2,cube4,32,0.08728696487719653
hard_2mm_r2,cube4,48,0.05475628364706875
hard_2mm_r2,cube4,80,0.03059950319925785
hard_2mm_r2,cube4,160,0.029216470083841102
hard_2mm_r2,cube4,320,0.029698483998575227
hard_2mm_r2,cube4,426,0.029869548397758003
hard_2mm_r2,cube4,640,0.030198744385191205
hard_2mm_r2,cube4,854,0.03049304045612455
hard_2mm_r2,cube4,1280,0.0306561955983424
hard_2mm_r2,cube4,1920,0.030151398739465526
hard_3mm_r1,cyl4,8,0.22752251316584715
hard_3mm_r1,cyl4,16,0.22752251316584715
hard_3mm_r1,cyl4,32,0.22752251316584715
hard_3mm_r1,cyl4,48,0.09108044001065266
hard_3mm_r1,cyl4,80,0.08385210697330603
hard_3mm_r1,cyl4,160,0.08236811243720424
hard_3mm_r1,cyl4,320,0.08339364667214524
hard_3mm_r1,cyl4,426,0.08379037239380253
hard_3mm_r1,cyl4,640,0.0839975059849776
hard_3mm_r1,cyl4,854,0.0843345963282145
hard_3mm_r1,cyl4,1280,0.08412854213990342
hard_3mm_r1,cyl4,1920,0.08295227800287376
hard_3mm_r1,cube4,8,0.22909725204165096
hard_3mm_r1,cube4,16,0.22909725204165096
hard_3mm_r1,cube4,32,0.22909725204165096
hard_3mm_r1,cube4,48,0.1569451254611742
hard_3mm_r1,cube4,80,0.14272070422823552
hard_3mm_r1,cube4,160,0.1391490672534239
hard_3mm_r1,cube4,320,0.1373587113624346
hard_3mm_r1,cube4,426,0.13674701124484656
hard_3mm_r1,cube4,640,0.13676926612908957
hard_3mm_r1,cube4,854,0.13630386188681248
hard_3mm_r1,cube4,1280,0.13551785916144965
hard_3mm_r1,cube4,1920,0.1332677204912436
