unit,hardness,thickness_mm,rep,finest_centre_mm,finest_edge_mm,n_gaps_resolved,n_gaps_tested,depth_lo_mm,depth_hi_mm,best_dip,depth_range
hard_1mm_r1,hard,1,1,1.1,0.1,2,2,0.1,0.6,0.997,0.1–0.6
hard_1mm_r2,hard,1,2,1.1,0.1,2,2,0.1,0.6,1.0,0.1–0.6
hard_2mm_r1,hard,2,1,1.1,0.1,2,2,0.1,0.9,1.0,0.1–0.9
hard_2mm_r2,hard,2,2,1.1,0.1,2,2,0.1,0.9,1.0,0.1–0.9
hard_3mm_r1,hard,3,1,1.1,0.1,2,2,0.2,0.9,0.967,0.2–0.9
hard_3mm_r2,hard,3,2,1.1,0.1,2,2,0.1,0.9,1.0,0.1–0.9
medium_1mm_r1,medium,1,1,1.1,0.1,2,2,0.1,0.6,0.977,0.1–0.6
medium_1mm_r2,medium,1,2,1.1,0.1,2,2,0.1,0.6,1.0,0.1–0.6
medium_2mm_r1,medium,2,1,1.1,0.1,2,2,0.1,0.9,1.0,0.1–0.9
medium_2mm_r2,medium,2,2,1.1,0.1,2,2,0.1,0.9,1.0,0.1–0.9
medium_3mm_r1,medium,3,1,1.1,0.1,2,2,0.2,0.9,1.0,0.2–0.9
medium_3mm_r2,medium,3,2,1.1,0.1,2,2,0.1,0.9,1.0,0.1–0.9
soft_1mm_r1,soft,1,1,1.1,0.1,2,2,0.1,0.6,0.984,0.1–0.6
soft_1mm_r2,soft,1,2,1.1,0.1,2,2,0.1,0.6,1.0,0.1–0.6
soft_2mm_r1,soft,2,1,1.1,0.1,2,2,0.1,0.9,1.0,0.1–0.9
soft_2mm_r2,soft,2,2,1.1,0.1,2,2,0.1,0.9,1.0,0.1–0.9
soft_3mm_r1,soft,3,1,1.1,0.1,2,2,0.1,0.9,1.0,0.1–0.9
soft_3mm_r2,soft,3,2,1.1,0.1,2,2,0.1,0.9,1.0,0.1–0.9
