unit,probe,hardness,thickness_mm,rep,n,depth_lo_mm,depth_hi_mm,r2,dia_slope_px_per_mm,level_slope_per_mm
hard_1mm_r1,ball4,hard,1,1,12,0.1087284407167246,1.176957902384579,0.9694914401055239,413.5452667618863,10.430811784115168
hard_1mm_r1,ball8,hard,1,1,13,0.1208890169220779,1.2685274990843671,0.07694611757450018,135.89854367723123,16.27617187593404
hard_1mm_r2,ball4,hard,1,2,11,0.1847004528927804,1.1033481827724143,0.9126207974734893,251.9298492994843,14.75348118366535
hard_1mm_r2,ball8,hard,1,2,10,0.1080000683387432,0.9620606494110469,0.9614962004231318,586.1843070146483,19.282634232190443
hard_2mm_r1,ball4,hard,2,1,17,0.1108949970426316,1.6640180304505847,0.9335958497445394,249.8273692503749,9.261371638032442
hard_2mm_r1,ball8,hard,2,1,19,0.1167831435063426,1.831052965300099,0.946533302372012,331.5452523035655,13.90868376388371
hard_2mm_r2,ball4,hard,2,2,18,0.1114952314458186,1.8107924936830957,0.9782631250839552,266.3243948168619,9.381987609024177
hard_2mm_r2,ball8,hard,2,2,12,0.1130794299452233,1.2170216149208493,0.9870877573764627,366.24581302106276,15.5106648635808
hard_3mm_r1,ball4,hard,3,1,25,0.1965235397433034,2.40297874246998,0.8642468039428851,167.3570366346791,4.717036766435144
hard_3mm_r1,ball8,hard,3,1,19,0.1797599561976142,1.8642955283904532,0.9427178352778668,325.8332621086778,10.89066574754941
hard_3mm_r2,ball4,hard,3,2,22,0.1121158569112061,2.1442128850591478,0.9284882746989045,194.92660569600758,6.354326479567449
hard_3mm_r2,ball8,hard,3,2,19,0.1035119006485913,1.9011518457963132,0.9779278541790811,291.81905004587605,10.247517045755886
medium_1mm_r1,ball4,medium,1,1,13,0.1068780143258152,1.2730606043942707,0.9667508876352859,429.4616219183464,10.270765836465824
medium_1mm_r1,ball8,medium,1,1,13,0.1043626126654793,1.22572692089161,0.5728313871540321,356.5197202043158,15.934713105789971
medium_1mm_r2,ball4,medium,1,2,14,0.1050345194026611,1.1805001794316323,0.9732181601802461,374.46985892629687,9.97817495019154
medium_1mm_r2,ball8,medium,1,2,14,0.1084648671933834,1.3113333090116974,0.029670440395354488,69.19238679694946,14.764592963364322
medium_2mm_r1,ball4,medium,2,1,30,0.1098082694139783,2.054068520566709,0.8985785368279783,199.23844328291233,8.967037463166596
medium_2mm_r1,ball8,medium,2,1,19,0.1085660887988844,1.838913587856425,0.9262735230718464,358.7384234383605,15.034256714352848
medium_2mm_r2,ball4,medium,2,2,23,0.1050215645378749,1.6093485728665549,0.9895535397678467,260.62160053389675,9.169004163421922
medium_2mm_r2,ball8,medium,2,2,12,0.1071414142417062,1.1515972407596775,0.988840249343615,366.6674348141979,15.030788267336453
medium_3mm_r1,ball4,medium,3,1,43,0.1136822062198774,2.622656374138547,0.9288478185164813,151.35543345658985,4.824211840582126
medium_3mm_r1,ball8,medium,3,1,24,0.1023358535896328,2.28565180232852,0.963438836042198,242.63916169148962,7.856433029172784
medium_3mm_r2,ball4,medium,3,2,17,0.1095981167443156,1.6507204805464395,0.9693555459487566,289.1306730406684,6.343847280059633
medium_3mm_r2,ball8,medium,3,2,17,0.1063999522297507,1.643561804943328,0.9781559738496401,361.00453096165245,9.852365827526947
soft_1mm_r1,ball4,soft,1,1,12,0.1087251284864727,0.9032899110441726,0.9890652509885473,354.8461612636051,10.067708916677573
soft_1mm_r1,ball8,soft,1,1,12,0.1068081174814246,1.1145005218901467,0.9724884203620497,321.5622522053266,12.464051928674026
soft_1mm_r2,ball4,soft,1,2,18,0.1141816444931294,1.2936993392605525,0.9706064292449403,319.35298053521416,8.622566119762539
soft_1mm_r2,ball8,soft,1,2,15,0.1125062988085083,1.4051791648437408,0.5621634283102965,309.3272487816845,12.150112506579744
soft_2mm_r1,ball4,soft,2,1,26,0.1065087819409527,1.7285561345016198,0.9322895142305582,225.92748896530736,7.733612563291599
soft_2mm_r1,ball8,soft,2,1,18,0.1070186876291003,1.7469411094722176,0.9643947847697042,339.0952732344857,11.532629076540355
soft_2mm_r2,ball4,soft,2,2,27,0.1034687984039592,1.7517411516302168,0.9267365083803601,187.5054279896097,7.816060090376827
soft_2mm_r2,ball8,soft,2,2,17,0.1013683167117101,1.6811331684913853,0.9677970160106572,319.2811952020355,12.57004808342867
soft_3mm_r1,ball4,soft,3,1,36,0.1074039436476788,2.31975901065427,0.9004923919762803,173.33569591203118,4.7519042848974875
soft_3mm_r1,ball8,soft,3,1,19,0.1878486736715174,1.9851002090612584,0.9267303788098874,306.24021822393007,8.161594765412328
soft_3mm_r2,ball4,soft,3,2,25,0.103785929743001,2.1930229728314323,0.9208855617177871,211.19664482704349,5.800808712175026
soft_3mm_r2,ball8,soft,3,2,22,0.1032995815789377,2.132624243724873,0.9427064122173552,254.7504727036609,7.744322749940202
