hardness,1mm,2mm,3mm
soft,23.4 / 22.4  (22.9),17.7 / 14.7  (16.2),11.8 / 11.1  (11.4)
medium,18.2 / 22.1  (20.1),14.1 / 22.6  (18.4),14.4 / 15.0  (14.7)
hard,19.5 / 17.0  (18.2),22.4 / 17.7  (20.1),11.8 / 13.7  (12.8)
