hardness,1mm,2mm,3mm
soft,0.1–0.6 / 0.1–0.6,0.1–0.9 / 0.1–0.9,0.1–0.9 / 0.1–0.9
medium,0.1–0.6 / 0.1–0.6,0.1–0.9 / 0.1–0.9,0.2–0.9 / 0.1–0.9
hard,0.1–0.6 / 0.1–0.6,0.1–0.9 / 0.1–0.9,0.2–0.9 / 0.1–0.9
