unit,probe,depth_mm,diameter_px,level,suspect_hardware
soft_1mm_r1,ball4,0.1087251284864727,290.7870550856879,7.638078212738037,False
soft_1mm_r1,ball4,0.1847240095308322,315.91997118440486,7.982905387878418,False
soft_1mm_r1,ball4,0.3226052400706862,365.70975958821623,8.846199035644531,False
soft_1mm_r1,ball4,0.3516623416505382,398.8672722012835,9.468184471130373,False
soft_1mm_r1,ball4,0.5408303808434454,450.0818645612253,10.874370574951172,False
soft_1mm_r1,ball4,0.5826582471254973,485.57159321113727,12.15891456604004,False
soft_1mm_r1,ball4,0.6615249947983237,505.512607505472,12.95299243927002,False
soft_1mm_r1,ball4,0.8054917653169298,542.703459292165,14.28541660308838,False
soft_1mm_r1,ball4,0.8055745882274934,546.9729993556765,14.366943359375,False
soft_1mm_r1,ball4,0.8282917758339856,551.7889502083783,14.536378860473633,False
soft_1mm_r1,ball4,0.853507649870533,557.2274053700829,14.734855651855469,False
soft_1mm_r1,ball4,0.9032899110441726,565.0960721662801,14.94471263885498,False
soft_1mm_r1,ball8,0.1068081174814246,342.9344599030667,7.817869663238525,False
soft_1mm_r1,ball8,0.1731644386906552,361.0055125347216,8.259406089782715,False
soft_1mm_r1,ball8,0.3669786657977028,427.1820586940394,9.7410888671875,False
soft_1mm_r1,ball8,0.3825192841275573,481.8879274768029,11.15927028656006,False
soft_1mm_r1,ball8,0.5462279325434132,513.5898071454438,13.403494834899902,False
soft_1mm_r1,ball8,0.5743554646396625,537.9564690585518,14.491937637329102,False
soft_1mm_r1,ball8,0.7268283129801851,566.0067327951572,16.054447174072266,False
soft_1mm_r1,ball8,0.7627135686662534,586.3631868915793,17.02121353149414,False
soft_1mm_r1,ball8,0.9119785543776366,621.3733169220893,18.24591827392578,False
soft_1mm_r1,ball8,0.9599031401923668,634.83438263565,18.76578140258789,False
soft_1mm_r1,ball8,1.0988681503051687,662.6247535700292,19.301687240600582,False
soft_1mm_r1,ball8,1.1145005218901467,668.6329747056812,19.378530502319336,False
soft_1mm_r2,ball4,0.1141816444931294,149.97258602073464,6.184814453125,False
soft_1mm_r2,ball4,0.171400481143408,195.61356813351637,6.405956745147705,False
soft_1mm_r2,ball4,0.3318809784210721,277.934242545035,7.614873886108398,False
soft_1mm_r2,ball4,0.3445514453862586,253.5716802190767,7.17466926574707,False
soft_1mm_r2,ball4,0.5598180394393673,331.7300417687783,8.882241249084473,False
soft_1mm_r2,ball4,0.5733439474016961,370.91936083993073,10.017539978027344,False
soft_1mm_r2,ball4,0.6561767060701982,391.586590795816,10.768917083740234,False
soft_1mm_r2,ball4,0.8292387506834125,440.9422237422756,12.19587516784668,False
soft_1mm_r2,ball4,0.8478899785063163,472.4931975953341,12.7642822265625,False
soft_1mm_r2,ball4,1.0193688214615513,483.4851266963264,13.807826042175291,False
soft_1mm_r2,ball4,1.0548350301776992,503.56061677942614,14.40871524810791,False
soft_1mm_r2,ball4,1.1229614406298083,517.7735980337368,14.76642608642578,False
soft_1mm_r2,ball4,1.1699002218072572,524.8103515343097,14.99643898010254,False
soft_1mm_r2,ball4,1.1716026180060624,518.5083375111275,14.878532409667969,False
soft_1mm_r2,ball4,1.1784510929103753,525.6478988857253,15.062227249145508,False
soft_1mm_r2,ball4,1.2147918305844634,532.9199938925602,15.184174537658691,False
soft_1mm_r2,ball4,1.219619778806937,532.3988988051552,15.255956649780272,False
soft_1mm_r2,ball4,1.2936993392605525,539.2849746193815,15.35142421722412,False
soft_1mm_r2,ball8,0.1125062988085083,130.3070319230245,6.572882175445557,False
soft_1mm_r2,ball8,0.1636297417786032,231.02581776882272,6.81122350692749,False
