t,Fx,Fy,Fz,Tx,Ty,Tz
1788453664.853085,0.00552,-0.00636,-0.05507,0.00022,-0.00012,0.00012
1788453664.872342,0.00306,-0.00503,-0.05235,7e-05,-4e-05,0.00037
1788453664.892648,-0.00043,-0.0035,-0.06005,0.00025,-4e-05,0.00013
1788453664.912956,0.00536,0.00346,-0.06601,0.00017,9e-05,0.00027
1788453664.933281,-0.00064,-0.00218,-0.04466,-4e-05,-3e-05,8e-05
1788453664.952567,0.00384,0.00433,-0.04053,0.00026,0.00017,-5e-05
1788453664.972968,0.01034,-0.00661,-0.06932,0.00027,-5e-05,0.00013
1788453664.993275,0.00291,-0.00013,-0.0485,4e-05,-0.00012,0.00011
1788453665.012546,0.00515,-0.00596,-0.04579,0.0002,2e-05,-5e-05
1788453665.032828,0.00307,0.0009,-0.05331,0.00046,0.00018,-0.00015
1788453665.053148,0.00061,0.00101,-0.05795,0.00011,7e-05,0.0002
1788453665.072446,0.00481,-0.00482,-0.04155,1e-05,0.00012,0.00017
1788453665.093189,0.00824,-0.00344,-0.03712,-0.00014,4e-05,0.00024
1788453665.112844,0.00729,0.00111,-0.01535,-0.00023,-0.00031,-1e-05
1788453665.133207,0.00587,-0.00024,-0.05741,-6e-05,-0.00016,0.00029
1788453665.152497,0.00239,-0.00205,-0.06059,9e-05,1e-05,0.00021
1788453665.172390,0.00129,-0.0036,-0.0773,0.00043,9e-05,0.00013
1788453665.192934,0.00936,-0.00537,-0.05834,-9e-05,-0.00015,0.00031
1788453665.213186,0.00442,0.00245,-0.0614,-3e-05,-0.00015,0.00025
1788453665.232414,0.00275,-0.00032,-0.06285,6e-05,0.00011,0.00031
1788453665.252779,0.01063,-0.00371,-0.08279,7e-05,-6e-05,0.00035
1788453665.273066,0.00214,-0.00331,-0.06154,0.00018,1e-05,0.0001
1788453665.293321,-0.00046,-0.00278,-0.0592,0.0002,8e-05,0.00016
1788453665.312500,0.00644,-0.00096,-0.07699,0.00026,8e-05,0.00033
1788453665.333401,0.00664,0.00038,-0.07859,0.00022,-0.0,0.0003
1788453665.352435,0.00806,-0.00464,-0.04262,-3e-05,-0.00026,0.00021
1788453665.372607,0.00546,-0.00318,-0.04971,-3e-05,-0.00016,0.00019
1788453665.392889,0.00466,-0.00254,-0.04116,7e-05,-3e-05,0.00011
