approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.38544652373818167,0.002249103451068631,-0.004588066940331714,0,25.34512382668657,0.4,False
1,0.77134493094578,-0.0021981482384112053,-0.008452019757413609,0,25.34512382668657,0.4,False
1,1.1499176419806858,0.3386278476851959,0.33296956763541063,5398,25.34512382668657,0.4,False
1,1.1481368325790235,0.31022604883592203,0.3050297447320503,37925,25.34512382668657,0.02,True
1,1.1576554829120766,0.3646663851549261,0.3599533131577289,40275,25.34512382668657,0.02,True
1,1.1868202135475556,0.4071851202749961,0.4029619922243029,43524,25.34512382668657,0.02,True
1,1.256272172202575,0.5518069544957781,0.5481555163823202,46657,25.34512382668657,0.02,True
1,1.2401502752984719,0.5430603016541624,0.5400189392918378,57175,25.34512382668657,0.02,True
1,1.2559726862992378,0.5890458512638752,0.5865551362080879,57161,25.34512382668657,0.02,True
1,1.274357524616459,0.6586199451460996,0.6567287799579106,58857,25.34512382668657,0.02,True
1,1.298623596265994,0.7147912552310468,0.7136055837126577,62121,25.34512382668657,0.02,True
1,1.316742379895011,0.7988037764027643,0.7987290349762844,66158,25.34512382668657,0.02,True
1,1.3350352869876012,0.8362831425333302,0.837145268173981,70818,25.34512382668657,0.02,True
1,1.3545059751842032,0.9058087920432063,0.9081629041810458,74661,25.34512382668657,0.02,True
1,1.3800948266023312,1.0148504482064058,1.0183702768207126,77154,25.34512382668657,0.02,True
1,1.3948688304484769,1.0656793117582322,1.0704859873896027,83563,25.34512382668657,0.02,True
1,1.411242172255168,1.1330291206497924,1.1385253861378941,85181,25.34512382668657,0.02,True
1,1.4354757539887402,1.2140179584625037,1.2210095854235703,90348,25.34512382668657,0.02,True
