t,at,where,Fx,Fy,Fz,Tx,Ty,Tz
1788879372.590038,2026-09-08T23:56:12.590025,tare,0.0,0.0,0.0,0.0,0.0,0.0
1788879606.650294,2026-09-09T00:00:06.650281,between normal and shear blocks,0.00813,0.02151,0.0561,0.00133,-0.00098,-0.00064
1788879751.567939,2026-09-09T00:02:31.567926,end of collect,0.0458,0.0547,0.16398,0.00147,-0.00263,-0.00105
