sensor_id,index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
9DTact_hard_3mm_r1,1,2026-09-07T18:59:09.890186,0001.png,N0.10,0.01761,-0.00946,-0.13277,-0.001549,0.000276,-0.000333,0.0209,-0.00152,-0.13262,0.13427,37.9025,362.8264,40.0852,-0.0,0.1081,2.079,11.669,0.1489,2.055
9DTact_hard_3mm_r1,2,2026-09-07T18:59:11.752227,0002.png,N0.20,0.0187,0.00061,-0.30702,-0.001663,0.000306,-0.000312,0.01802,0.00495,-0.30702,0.30759,37.9009,362.8378,39.9746,0.1104,0.2185,0.997,5.417,0.0608,2.055
9DTact_hard_3mm_r1,3,2026-09-07T18:59:12.773745,0003.png,N0.30,0.01797,-0.00215,-0.40351,-0.001585,0.000187,-0.000161,0.01944,0.00065,-0.40345,0.40392,37.9009,362.8319,39.942,0.1431,0.2512,0.462,3.928,0.0448,2.055
9DTact_hard_3mm_r1,4,2026-09-07T18:59:13.815728,0004.png,N0.40,0.01696,-0.0016,-0.46651,-0.001474,0.00019,-0.000167,0.01873,-0.00038,-0.46645,0.46682,37.9003,362.8308,39.9036,0.1815,0.2896,0.407,3.159,0.0365,2.055
9DTact_hard_3mm_r1,5,2026-09-07T18:59:15.254644,0005.png,N0.50,0.02121,0.00314,-0.60229,-0.001605,3.8e-05,-0.000267,0.02098,0.00367,-0.6023,0.60267,37.8993,362.8333,39.8412,0.2438,0.3519,0.063,2.665,0.0356,2.055
9DTact_hard_3mm_r1,6,2026-09-07T18:59:16.290473,0006.png,N0.60,0.01851,0.00227,-0.7207,-0.001428,-4.3e-05,-0.000325,0.0199,-0.00033,-0.72067,0.72094,37.8995,362.8276,39.7877,0.2975,0.4055,-0.06,1.981,0.0259,2.055
9DTact_hard_3mm_r1,7,2026-09-07T18:59:17.317706,0007.png,N0.70,0.02463,0.0153,-0.82528,-0.0017,4.8e-05,-0.000141,0.01941,0.01234,-0.82546,0.82578,37.8984,362.8341,39.7601,0.325,0.433,0.058,2.06,0.0351,2.055
9DTact_hard_3mm_r1,8,2026-09-07T18:59:18.339412,0008.png,N0.80,0.02443,0.01776,-0.87183,-0.001832,3.8e-05,-9.2e-05,0.01833,0.01362,-0.87206,0.87236,37.8982,362.8348,39.7413,0.3437,0.4518,0.044,2.101,0.0346,2.055
9DTact_hard_3mm_r1,9,2026-09-07T18:59:19.389642,0009.png,N0.90,0.0268,0.02197,-0.98289,-0.001858,3.4e-05,-0.000159,0.01905,0.01667,-0.98318,0.9835,37.8972,362.8333,39.693,0.392,0.5001,0.035,1.89,0.0352,2.055
9DTact_hard_3mm_r1,10,2026-09-07T18:59:20.400233,0010.png,N1.00,0.02217,0.01162,-1.09816,-0.001345,-1.1e-05,-0.000138,0.02101,0.00355,-1.09824,1.09844,37.8982,362.8322,39.6618,0.4233,0.5313,-0.01,1.225,0.0228,2.055
9DTact_hard_3mm_r1,11,2026-09-07T18:59:21.441798,0011.png,N1.10,0.02526,0.01036,-1.21022,-0.001351,-0.000167,-0.00024,0.0251,0.00221,-1.21026,1.21053,37.8998,362.8234,39.6189,0.4663,0.5744,-0.138,1.116,0.0226,2.055
