hardness,1mm,2mm,3mm
soft,5.4 / 5.4  (5.4),9.6 / 11.5  (10.5),11.2 / 11.4  (11.3)
medium,4.9 / 3.4  (4.2),9.3,10.2 / 9.7  (9.9)
hard,4.8,7.0 / 6.5  (6.7),8.0 / 5.5  (6.8)
