sensor,probe,width_px,mae_mm
soft_3mm_r1,cube4,1280,0.0467456464546742
soft_3mm_r1,cube4,1920,0.0404147222540345
soft_3mm_r2,cyl4,16,0.4842974238410349
soft_3mm_r2,cyl4,32,0.2298120985741173
soft_3mm_r2,cyl4,48,0.1548162275617078
soft_3mm_r2,cyl4,80,0.0544347273758896
soft_3mm_r2,cyl4,160,0.0699958641252034
soft_3mm_r2,cyl4,320,0.0701994118140254
soft_3mm_r2,cyl4,426,0.0723316697780735
soft_3mm_r2,cyl4,640,0.069901527357212
soft_3mm_r2,cyl4,854,0.0599025024685045
soft_3mm_r2,cyl4,1280,0.0551473814780029
soft_3mm_r2,cyl4,1920,0.0601378717029707
soft_3mm_r2,cube4,16,0.4659059690203039
soft_3mm_r2,cube4,32,0.2180197742503899
soft_3mm_r2,cube4,48,0.1393248112763731
soft_3mm_r2,cube4,80,0.0506229049326319
soft_3mm_r2,cube4,160,0.0663434133044222
soft_3mm_r2,cube4,320,0.065937855540349
soft_3mm_r2,cube4,426,0.069375545977189
soft_3mm_r2,cube4,640,0.0673914430152713
soft_3mm_r2,cube4,854,0.0567532171916305
soft_3mm_r2,cube4,1280,0.0521022164607127
soft_3mm_r2,cube4,1920,0.0649648029248683
medium_1mm_r1,cyl4,8,0.5328780773926393
medium_1mm_r1,cyl4,16,0.3258248423849823
medium_1mm_r1,cyl4,32,0.220687827933856
medium_1mm_r1,cyl4,48,0.0479620901146148
medium_1mm_r1,cyl4,80,0.0906198114671361
medium_1mm_r1,cyl4,160,0.1005169089984282
medium_1mm_r1,cyl4,320,0.0710860013648587
medium_1mm_r1,cyl4,426,0.0593787952116514
medium_1mm_r1,cyl4,640,0.0422731102855389
medium_1mm_r1,cyl4,854,0.0305808951144137
medium_1mm_r1,cyl4,1280,0.0156487021002408
medium_1mm_r1,cyl4,1920,0.0143399221200658
medium_1mm_r1,cube4,8,0.5264914708991656
medium_1mm_r1,cube4,16,0.3273028111554493
medium_1mm_r1,cube4,32,0.222173106965652
medium_1mm_r1,cube4,48,0.084117857072235
medium_1mm_r1,cube4,80,0.0395960404033424
medium_1mm_r1,cube4,160,0.0355851299872031
medium_1mm_r1,cube4,320,0.0521496210444839
medium_1mm_r1,cube4,426,0.0621216399909118
medium_1mm_r1,cube4,640,0.0743733225704291
medium_1mm_r1,cube4,854,0.0823445746523449
medium_1mm_r1,cube4,1280,0.0957595073000648
medium_1mm_r1,cube4,1920,0.1156014988202412
medium_1mm_r2,cyl4,16,0.4052603678821555
medium_1mm_r2,cyl4,32,0.3244420426527525
medium_1mm_r2,cyl4,48,0.1865371399913263
medium_1mm_r2,cyl4,80,0.0503524598083841
medium_1mm_r2,cyl4,160,0.0489337223588529
medium_1mm_r2,cyl4,320,0.0580791535082416
medium_1mm_r2,cyl4,426,0.0553479306969055
medium_1mm_r2,cyl4,640,0.0518792964175383
medium_1mm_r2,cyl4,854,0.051020160002462
medium_1mm_r2,cyl4,1280,0.0462218614825843
medium_1mm_r2,cyl4,1920,0.0448793807053827
medium_1mm_r2,cube4,16,0.3891171724719597
medium_1mm_r2,cube4,32,0.2937001218272043
medium_1mm_r2,cube4,48,0.1622458241753571
medium_1mm_r2,cube4,80,0.0480864770544003
medium_1mm_r2,cube4,160,0.0550691457155843
medium_1mm_r2,cube4,320,0.0583975395499169
medium_1mm_r2,cube4,426,0.0546990704102814
medium_1mm_r2,cube4,640,0.0522654096596936
medium_1mm_r2,cube4,854,0.0525276201157271
medium_1mm_r2,cube4,1280,0.0465487204182644
medium_1mm_r2,cube4,1920,0.0420791069349023
medium_2mm_r2,cyl4,16,0.4670433959080186
medium_2mm_r2,cyl4,32,0.2253669935262938
medium_2mm_r2,cyl4,48,0.1622036144483906
medium_2mm_r2,cyl4,80,0.054987147618353
medium_2mm_r2,cyl4,160,0.0587219243293952
medium_2mm_r2,cyl4,320,0.0603968075004834
medium_2mm_r2,cyl4,426,0.0575810867717814
medium_2mm_r2,cyl4,640,0.0648493429691545
medium_2mm_r2,cyl4,854,0.0577234194556161
medium_2mm_r2,cyl4,1280,0.0582828838292878
medium_2mm_r2,cyl4,1920,0.0718033591373171
medium_2mm_r2,cube4,16,0.4309350210761244
medium_2mm_r2,cube4,32,0.1888825655658011
medium_2mm_r2,cube4,48,0.1354437609101548
medium_2mm_r2,cube4,80,0.0621534548900933
medium_2mm_r2,cube4,160,0.072844326516232
medium_2mm_r2,cube4,320,0.0645867946448337
medium_2mm_r2,cube4,426,0.0621846517128161
medium_2mm_r2,cube4,640,0.0678515235784065
medium_2mm_r2,cube4,854,0.0610138153237513
medium_2mm_r2,cube4,1280,0.060610407048682
medium_2mm_r2,cube4,1920,0.062583851524712
medium_3mm_r1,cyl4,32,0.321362245366972
medium_3mm_r1,cyl4,48,0.20054723141773
medium_3mm_r1,cyl4,80,0.13303352954959
medium_3mm_r1,cyl4,160,0.1045341719403047
medium_3mm_r1,cyl4,320,0.1007852707519312
medium_3mm_r1,cyl4,426,0.1000140503923938
medium_3mm_r1,cyl4,640,0.1065846963108426
medium_3mm_r1,cyl4,854,0.1095606138356042
medium_3mm_r1,cyl4,1280,0.1224906030675615
medium_3mm_r1,cyl4,1920,0.1401272966677128
medium_3mm_r1,cube4,32,0.2849581918178228
medium_3mm_r1,cube4,48,0.166841957311032
