sensor,probe,width_px,mae_mm,suspect_hardware
soft_3mm_r1,cube4,32,0.1495424573516217,False
soft_3mm_r1,cube4,48,0.0657509060400371,False
soft_3mm_r1,cube4,80,0.0664037196167134,False
soft_3mm_r1,cube4,160,0.0685098534651421,False
soft_3mm_r1,cube4,320,0.0612072642941742,False
soft_3mm_r1,cube4,426,0.0603067834752622,False
soft_3mm_r1,cube4,640,0.0573615404047392,False
soft_3mm_r1,cube4,854,0.0511129222390873,False
soft_3mm_r1,cube4,1280,0.0481800079247918,False
soft_3mm_r1,cube4,1920,0.0499465320704028,False
soft_3mm_r2,cyl4,16,0.4842974238410349,False
soft_3mm_r2,cyl4,32,0.247143831425053,False
soft_3mm_r2,cyl4,48,0.1548162275617078,False
soft_3mm_r2,cyl4,80,0.0746979070034166,False
soft_3mm_r2,cyl4,160,0.0693652824181166,False
soft_3mm_r2,cyl4,320,0.0666806665408294,False
soft_3mm_r2,cyl4,426,0.0699049643490611,False
soft_3mm_r2,cyl4,640,0.070517561066599,False
soft_3mm_r2,cyl4,854,0.0621915906971044,False
soft_3mm_r2,cyl4,1280,0.0612016849092754,False
soft_3mm_r2,cyl4,1920,0.0817627452626581,False
soft_3mm_r2,cube4,16,0.4659059690203039,False
soft_3mm_r2,cube4,32,0.2359626122331389,False
soft_3mm_r2,cube4,48,0.1393248112763731,False
soft_3mm_r2,cube4,80,0.0692233329248021,False
soft_3mm_r2,cube4,160,0.0670795862286368,False
soft_3mm_r2,cube4,320,0.0620491038497626,False
soft_3mm_r2,cube4,426,0.0667393064160227,False
soft_3mm_r2,cube4,640,0.0688113069816509,False
soft_3mm_r2,cube4,854,0.0584617793593883,False
soft_3mm_r2,cube4,1280,0.0618767222901948,False
soft_3mm_r2,cube4,1920,0.0866312502464421,False
medium_1mm_r1,cyl4,8,0.5328780773926393,False
medium_1mm_r1,cyl4,16,0.3202700518249038,False
medium_1mm_r1,cyl4,32,0.2684668343258267,False
medium_1mm_r1,cyl4,48,0.1912412473831191,False
medium_1mm_r1,cyl4,80,0.1296737795032271,False
medium_1mm_r1,cyl4,160,0.1059638931030687,False
medium_1mm_r1,cyl4,320,0.1009916774517412,False
medium_1mm_r1,cyl4,426,0.1016066889902235,False
medium_1mm_r1,cyl4,640,0.1098861911750782,False
medium_1mm_r1,cyl4,854,0.1129579247185205,False
medium_1mm_r1,cyl4,1280,0.1227436525232542,False
medium_1mm_r1,cyl4,1920,0.1377538462379192,False
medium_1mm_r1,cube4,8,0.5264914708991656,False
medium_1mm_r1,cube4,16,0.3200646025287418,False
medium_1mm_r1,cube4,32,0.2642045303096184,False
medium_1mm_r1,cube4,48,0.2112689168351202,False
medium_1mm_r1,cube4,80,0.1870339942323475,False
medium_1mm_r1,cube4,160,0.1831790823027302,False
medium_1mm_r1,cube4,320,0.1841563080596237,False
medium_1mm_r1,cube4,426,0.1843687017607002,False
medium_1mm_r1,cube4,640,0.1893270019241045,False
medium_1mm_r1,cube4,854,0.1915810952897925,False
medium_1mm_r1,cube4,1280,0.197621173295546,False
medium_1mm_r1,cube4,1920,0.2086288416684105,False
medium_1mm_r2,cyl4,16,0.5630764981361592,True
medium_1mm_r2,cyl4,32,0.310774998810998,True
medium_1mm_r2,cyl4,48,0.1807332997564506,True
medium_1mm_r2,cyl4,80,0.090094803309096,True
medium_1mm_r2,cyl4,160,0.068781658082711,True
medium_1mm_r2,cyl4,320,0.0644283033742624,True
medium_1mm_r2,cyl4,426,0.066470357699865,True
medium_1mm_r2,cyl4,640,0.0688639807571522,True
medium_1mm_r2,cyl4,854,0.076259525706709,True
medium_1mm_r2,cyl4,1280,0.0875397460061508,True
medium_1mm_r2,cyl4,1920,0.1045193429200465,True
medium_1mm_r2,cube4,16,0.5522055574876857,True
medium_1mm_r2,cube4,32,0.2901291895531409,True
medium_1mm_r2,cube4,48,0.1622390127924872,True
medium_1mm_r2,cube4,80,0.0803063313447385,True
medium_1mm_r2,cube4,160,0.0722603998331023,True
medium_1mm_r2,cube4,320,0.0669177117320689,True
medium_1mm_r2,cube4,426,0.0712380569301836,True
medium_1mm_r2,cube4,640,0.0716526007153384,True
medium_1mm_r2,cube4,854,0.0780865660431775,True
medium_1mm_r2,cube4,1280,0.0885194037293685,True
medium_1mm_r2,cube4,1920,0.1050745713863812,True
medium_2mm_r2,cyl4,16,0.4670433959080186,False
medium_2mm_r2,cyl4,32,0.2253669935262938,False
medium_2mm_r2,cyl4,48,0.1312970927072968,False
medium_2mm_r2,cyl4,80,0.0553896779240123,False
medium_2mm_r2,cyl4,160,0.0603812299921398,False
medium_2mm_r2,cyl4,320,0.0563409699564374,False
medium_2mm_r2,cyl4,426,0.0562015725943973,False
medium_2mm_r2,cyl4,640,0.0621938378084298,False
medium_2mm_r2,cyl4,854,0.054704852156195,False
medium_2mm_r2,cyl4,1280,0.0534523570541824,False
medium_2mm_r2,cyl4,1920,0.0474107292291973,False
medium_2mm_r2,cube4,16,0.4309350210761244,False
medium_2mm_r2,cube4,32,0.1888825655658011,False
medium_2mm_r2,cube4,48,0.0978618423077393,False
medium_2mm_r2,cube4,80,0.0616764265003215,False
medium_2mm_r2,cube4,160,0.0759996328083089,False
medium_2mm_r2,cube4,320,0.0683450686635982,False
medium_2mm_r2,cube4,426,0.0647847211810361,False
medium_2mm_r2,cube4,640,0.0712374970517964,False
medium_2mm_r2,cube4,854,0.0641278599900416,False
medium_2mm_r2,cube4,1280,0.0592279130173138,False
medium_2mm_r2,cube4,1920,0.0492800402931567,False
medium_3mm_r1,cyl4,32,0.3107771961479564,False
medium_3mm_r1,cyl4,48,0.20054723141773,False
medium_3mm_r1,cyl4,80,0.1405901631594545,False
medium_3mm_r1,cyl4,160,0.1064434121927466,False
medium_3mm_r1,cyl4,320,0.1060235744596368,False
medium_3mm_r1,cyl4,426,0.1047841592014676,False
medium_3mm_r1,cyl4,640,0.1122527966943892,False
medium_3mm_r1,cyl4,854,0.1170406767938712,False
medium_3mm_r1,cyl4,1280,0.1317280125334043,False
medium_3mm_r1,cyl4,1920,0.1501831215750025,False
medium_3mm_r1,cube4,32,0.276565384023088,False
medium_3mm_r1,cube4,48,0.166841957311032,False
medium_3mm_r1,cube4,80,0.1189536814542589,False
medium_3mm_r1,cube4,160,0.1031420832175472,False
medium_3mm_r1,cube4,320,0.0958098106982288,False
medium_3mm_r1,cube4,426,0.0932602158091443,False
medium_3mm_r1,cube4,640,0.1033817035110769,False
medium_3mm_r1,cube4,854,0.1075472032926458,False
medium_3mm_r1,cube4,1280,0.1212402935104546,False
medium_3mm_r1,cube4,1920,0.1417649468061306,False
medium_3mm_r2,cyl4,16,0.4843881500640591,False
medium_3mm_r2,cyl4,32,0.2507822305547608,False
medium_3mm_r2,cyl4,48,0.107707497660062,False
medium_3mm_r2,cyl4,80,0.057809745386276,False
medium_3mm_r2,cyl4,160,0.0586444977334462,False
medium_3mm_r2,cyl4,320,0.0557231703281474,False
medium_3mm_r2,cyl4,426,0.0539319153486926,False
medium_3mm_r2,cyl4,640,0.0484627937184541,False
medium_3mm_r2,cyl4,854,0.0520144322999713,False
medium_3mm_r2,cyl4,1280,0.0581875075536299,False
medium_3mm_r2,cyl4,1920,0.07774748634691,False
medium_3mm_r2,cube4,16,0.4491946118043959,False
medium_3mm_r2,cube4,32,0.1996962432530621,False
medium_3mm_r2,cube4,48,0.0568559520420392,False
medium_3mm_r2,cube4,80,0.055255392369957,False
medium_3mm_r2,cube4,160,0.060265054157376,False
medium_3mm_r2,cube4,320,0.0571331887800242,False
medium_3mm_r2,cube4,426,0.0571638458617839,False
medium_3mm_r2,cube4,640,0.0541744061419115,False
medium_3mm_r2,cube4,854,0.053459674234024,False
medium_3mm_r2,cube4,1280,0.0533912204725854,False
medium_3mm_r2,cube4,1920,0.0529098308472288,False
hard_1mm_r1,cyl4,8,0.5096259926410522,False
hard_1mm_r1,cyl4,16,0.3218665760880673,False
hard_1mm_r1,cyl4,32,0.2050192685245148,False
hard_1mm_r1,cyl4,48,0.1299640523958874,False
hard_1mm_r1,cyl4,80,0.0370964563209486,False
hard_1mm_r1,cyl4,160,0.0380478594520362,False
hard_1mm_r1,cyl4,320,0.0519922038401503,False
hard_1mm_r1,cyl4,426,0.0546836082167432,False
hard_1mm_r1,cyl4,640,0.0666081417006259,False
hard_1mm_r1,cyl4,854,0.0689050356615257,False
