hardness,1mm,2mm,3mm
soft,6.2 / 10.5  (8.3),12.9 / 12.5  (12.7),11.2
medium,11.4 !,—,—
hard,9.8 / 8.9  (9.3) !,11.3 / 12.4  (11.8),—
