hardness,1mm,2mm,3mm
soft,1.50 / 1.75  (1.62),1.75 / 1.25  (1.50),2.00 / 1.25  (1.62)
medium,1.10 e,1.10,2.50 / 1.75  (2.12)
hard,1.25 e,1.25 / 1.50  (1.38),2.50 / 2.50  (2.50)
