probe,kind,width_px,mae_mm
cyl4,raw,8,0.528452529363959
cyl4,raw,16,0.4279985822638529
cyl4,raw,32,0.247143831425053
cyl4,raw,48,0.1476938483674117
cyl4,raw,80,0.0800043588279575
cyl4,raw,160,0.061925155030431
cyl4,raw,320,0.0666806665408294
cyl4,raw,426,0.0682699738021551
cyl4,raw,640,0.0726047317991454
cyl4,raw,854,0.0808198883381782
cyl4,raw,1280,0.0914554234369487
cyl4,raw,1920,0.1071043099207322
cyl4,corrected,8,0.528452529363959
cyl4,corrected,16,0.4263077332646275
cyl4,corrected,32,0.2253669935262938
cyl4,corrected,48,0.1009656775795381
cyl4,corrected,80,0.0597434895783948
cyl4,corrected,160,0.069960697363111
cyl4,corrected,320,0.065004276339185
cyl4,corrected,426,0.0607751975384008
cyl4,corrected,640,0.0641858680872954
cyl4,corrected,854,0.0577234194556161
cyl4,corrected,1280,0.0582828838292878
cyl4,corrected,1920,0.0537366026050736
cube4,raw,8,0.5650850405219972
cube4,raw,16,0.38896678056172274
cube4,raw,32,0.2311089116342331
cube4,raw,48,0.1404967979803117
cube4,raw,80,0.1024504749670527
cube4,raw,160,0.0759996328083089
cube4,raw,320,0.0796678842243139
cube4,raw,426,0.0810628171353968
cube4,raw,640,0.0895954095412723
cube4,raw,854,0.0971556841085601
cube4,raw,1280,0.1118614935626833
cube4,raw,1920,0.131412729900355
cube4,corrected,8,0.5650850405219972
cube4,corrected,16,0.4042434149808889
cube4,corrected,32,0.2174899950506752
cube4,corrected,48,0.1091943250603174
cube4,corrected,80,0.0706150499813033
cube4,corrected,160,0.072844326516232
cube4,corrected,320,0.072747013032553
cube4,corrected,426,0.0710781777947614
cube4,corrected,640,0.0743733225704291
cube4,corrected,854,0.0729948128645616
cube4,corrected,1280,0.0699130314336257
cube4,corrected,1920,0.0649648029248683
