principle,probe,measure,group_by,group,n_units,depth_mm,median,q1,q3
9DTact,ball4,diameter_px,hardness,soft,5,0.1930059790001506,105.73554041116438,84.17028763819465,140.49446798781793
9DTact,ball4,diameter_px,hardness,soft,5,0.20608869525332785,113.0737816966831,93.03392725915685,146.59302586901438
9DTact,ball4,diameter_px,hardness,soft,5,0.21917141150650515,120.41202298220185,101.89756688011909,152.69158375021084
9DTact,ball4,diameter_px,hardness,soft,5,0.2322541277596824,127.75026426772055,110.76120650108126,158.79014163140727
9DTact,ball4,diameter_px,hardness,soft,5,0.2453368440128597,135.08850555323932,119.6248461220435,164.88869951260375
9DTact,ball4,diameter_px,hardness,soft,5,0.25841956026603696,142.42674683875802,128.4884857430057,170.98725739380018
9DTact,ball4,diameter_px,hardness,soft,5,0.27150227651921427,149.76498812427675,137.3521253639679,177.08581527499666
9DTact,ball4,diameter_px,hardness,soft,5,0.2845849927723915,134.9651523812062,32.72871528145265,156.7804030418953
9DTact,ball4,diameter_px,hardness,soft,5,0.2976677090255688,141.34989738589383,48.838713112624816,162.49207000948573
9DTact,ball4,diameter_px,hardness,soft,5,0.3107504252787461,147.73464239058146,64.94871094379691,168.20373697707612
9DTact,ball4,diameter_px,hardness,soft,5,0.3238331415319234,154.1193873952691,81.05870877496908,173.91540394466654
9DTact,ball4,diameter_px,hardness,soft,5,0.33691585778510064,160.5041323999567,97.16870660614117,179.62707091225693
9DTact,ball4,diameter_px,hardness,soft,5,0.34999857403827794,166.88887740464435,113.27870443731334,185.33873787984734
9DTact,ball4,diameter_px,hardness,soft,5,0.3630812902914552,173.27362240933195,129.38870226848545,191.05040484743773
9DTact,ball4,diameter_px,hardness,soft,5,0.3761640065446325,179.65836741401958,145.4987000996576,196.76207181502815
9DTact,ball4,diameter_px,hardness,soft,5,0.38924672279780975,185.1898480931494,155.94130251442525,201.62681818063746
9DTact,ball4,diameter_px,hardness,soft,5,0.40232943905098706,189.53832547949108,162.8380976603011,205.72400573148258
9DTact,ball4,diameter_px,hardness,soft,5,0.4154121553041643,193.88680286583272,169.73489280617687,209.82119328232767
9DTact,ball4,diameter_px,hardness,soft,5,0.4284948715573416,198.2352802521744,176.63168795205272,213.91838083317276
9DTact,ball4,diameter_px,hardness,soft,5,0.44157758781051887,202.58375763851603,183.5284830979285,218.01556838401785
9DTact,ball4,diameter_px,hardness,soft,5,0.4546603040636962,206.93223502485768,190.42527824380434,222.11275593486295
9DTact,ball4,diameter_px,hardness,soft,5,0.4677430203168734,211.28071241119932,197.32207338968016,226.20994348570804
9DTact,ball4,diameter_px,hardness,soft,5,0.48082573657005073,215.629189797541,204.21886853555597,230.30713103655316
9DTact,ball4,diameter_px,hardness,soft,5,0.493908452823228,219.8298265311141,209.48478212413627,233.93232096790004
9DTact,ball4,diameter_px,hardness,soft,5,0.5069911690764052,223.85621172050804,214.33525389871193,237.2085702211167
9DTact,ball4,diameter_px,hardness,soft,5,0.5200738853295825,227.88259690990202,219.1857256732876,240.4848194743334
9DTact,ball4,diameter_px,hardness,soft,5,0.5331566015827598,231.90898209929597,224.0361974478633,243.76106872755008
9DTact,ball4,diameter_px,hardness,soft,5,0.546239317835937,235.93536728868992,228.88666922243894,247.03731798076674
9DTact,ball4,diameter_px,hardness,soft,5,0.5593220340891143,239.96175247808384,233.7371409970146,250.3135672339834
9DTact,ball4,diameter_px,hardness,soft,5,0.5724047503422917,243.98813766747782,238.5876127715903,253.58981648720012
9DTact,ball4,diameter_px,hardness,hard,4,0.2845849927723915,117.08567472435246,104.7065695591816,151.3386235967875
9DTact,ball4,diameter_px,hardness,hard,4,0.2976677090255688,126.92385439890123,114.88623495265784,159.3857551458591
9DTact,ball4,diameter_px,hardness,hard,4,0.3107504252787461,136.76203407344994,125.06590034613404,167.43288669493063
9DTact,ball4,diameter_px,hardness,hard,4,0.3238331415319234,146.60021374799874,135.2455657396103,175.48001824400222
9DTact,ball4,diameter_px,hardness,hard,4,0.33691585778510064,156.43839342254745,145.42523113308647,183.5271497930738
9DTact,ball4,diameter_px,hardness,hard,4,0.34999857403827794,166.27657309709622,155.60489652656273,191.57428134214535
9DTact,ball4,diameter_px,hardness,hard,4,0.3630812902914552,176.11475277164493,165.78456192003893,199.62141289121692
9DTact,ball4,diameter_px,hardness,hard,4,0.3761640065446325,185.9529324461937,175.96422731351515,207.66854444028849
9DTact,ball4,diameter_px,hardness,hard,4,0.38924672279780975,193.499614883893,184.0313953224856,213.83884131886566
9DTact,ball4,diameter_px,hardness,hard,4,0.40232943905098706,200.01285780564925,190.52325061815895,219.5708669230809
9DTact,ball4,diameter_px,hardness,hard,4,0.4154121553041643,206.52610072740546,197.01510591383226,225.3028925272961
9DTact,ball4,diameter_px,hardness,hard,4,0.4284948715573416,213.0393436491617,203.50696120950562,231.03491813151135
9DTact,ball4,diameter_px,hardness,hard,4,0.44157758781051887,219.55258657091792,209.99881650517892,236.76694373572656
9DTact,ball4,diameter_px,hardness,hard,4,0.4546603040636962,226.0658294926742,216.49067180085228,242.49896933994177
9DTact,ball4,diameter_px,hardness,hard,4,0.4677430203168734,232.5790724144304,222.98252709652562,248.230994944157
9DTact,ball4,diameter_px,hardness,hard,4,0.48082573657005073,239.09231533618666,229.47438239219898,253.96302054837224
9DTact,ball4,diameter_px,hardness,hard,4,0.493908452823228,244.66007879405328,234.7488166671064,259.2190268911453
9DTact,ball4,diameter_px,hardness,hard,4,0.5069911690764052,250.1701657733081,239.9060625000925,264.40098140370355
9DTact,ball4,diameter_px,hardness,hard,4,0.5200738853295825,255.68025275256304,245.06330833307862,269.5829359162619
9DTact,ball4,diameter_px,hardness,hard,4,0.5331566015827598,261.4880638439558,250.5182782782026,274.76489042882014
9DTact,ball4,diameter_px,hardness,hard,4,0.546239317835937,267.36201454801454,256.03938783599256,279.9468449413784
9DTact,ball4,diameter_px,hardness,hard,4,0.5593220340891143,273.23596525207336,261.5604973937826,285.12879945393667
9DTact,ball4,diameter_px,hardness,hard,4,0.5724047503422917,278.84428925428847,267.08160695157267,290.0451272646512
9DTact,ball4,diameter_px,thickness_mm,1,5,0.10142696522790966,129.4414182215921,119.17851033214933,163.8609585766112
9DTact,ball4,diameter_px,thickness_mm,1,5,0.11450968148108692,136.05434649791687,128.04324828937445,169.1643271351743
9DTact,ball4,diameter_px,thickness_mm,1,5,0.1275923977342642,142.66727477424166,136.9079862465996,174.4676956937374
9DTact,ball4,diameter_px,thickness_mm,1,5,0.14067511398744148,149.28020305056648,145.77272420382474,179.7710642523005
9DTact,ball4,diameter_px,thickness_mm,1,5,0.15375783024061876,155.89313132689128,154.63746216104988,185.0744328108636
9DTact,ball4,diameter_px,thickness_mm,1,5,0.16684054649379604,164.49834063333398,163.50220011827503,191.37394188448565
9DTact,ball4,diameter_px,thickness_mm,1,5,0.17992326274697332,175.22898784010474,172.1739878598228,198.54956991912977
9DTact,ball4,diameter_px,thickness_mm,1,5,0.1930059790001506,177.96284785639557,147.09130538965985,191.68292630951169
9DTact,ball4,diameter_px,thickness_mm,1,5,0.20608869525332785,183.11394124894014,153.3327207364169,196.47657373940612
9DTact,ball4,diameter_px,thickness_mm,1,5,0.21917141150650515,188.2650346414847,159.57413608317395,201.2702211693006
9DTact,ball4,diameter_px,thickness_mm,1,5,0.2322541277596824,193.41612803402924,165.815551429931,206.06386859919502
9DTact,ball4,diameter_px,thickness_mm,1,5,0.2453368440128597,198.5672214265738,172.05696677668806,210.85751602908948
9DTact,ball4,diameter_px,thickness_mm,1,5,0.25841956026603696,203.71831481911835,178.2983821234451,215.65116345898392
9DTact,ball4,diameter_px,thickness_mm,1,5,0.27150227651921427,208.86940821166291,184.5397974702022,220.44481088887838
9DTact,ball4,diameter_px,thickness_mm,1,5,0.2845849927723915,209.26551690259075,134.9651523812062,217.98316825843776
9DTact,ball4,diameter_px,thickness_mm,1,5,0.2976677090255688,213.9585266495764,141.34989738589383,221.78093570984396
9DTact,ball4,diameter_px,thickness_mm,1,5,0.3107504252787461,217.47684532308602,147.73464239058146,225.57870316125013
9DTact,ball4,diameter_px,thickness_mm,1,5,0.3238331415319234,220.99516399659564,154.1193873952691,229.37647061265633
9DTact,ball4,diameter_px,thickness_mm,1,5,0.33691585778510064,224.51348267010522,160.5041323999567,233.17423806406254
9DTact,ball4,diameter_px,thickness_mm,1,5,0.34999857403827794,228.03180134361483,166.88887740464435,236.9720055154687
9DTact,ball4,diameter_px,thickness_mm,1,5,0.3630812902914552,231.55012001712444,173.27362240933195,240.7697729668749
9DTact,ball4,diameter_px,thickness_mm,1,5,0.3761640065446325,235.06843869063405,179.65836741401958,244.5675404182811
9DTact,ball4,diameter_px,thickness_mm,1,5,0.38924672279780975,238.57004697813508,185.1898480931494,247.9888741642423
9DTact,ball4,diameter_px,thickness_mm,1,5,0.40232943905098706,241.76787216442904,191.04585984646914,251.3439003978355
9DTact,ball4,diameter_px,thickness_mm,1,5,0.4154121553041643,244.96569735072302,197.54798696222568,254.6989266314287
9DTact,ball4,diameter_px,thickness_mm,1,5,0.4284948715573416,248.163522537017,204.05011407798227,258.05395286502187
9DTact,ball4,diameter_px,thickness_mm,1,5,0.44157758781051887,251.36134772331096,210.5522411937388,261.4089790986151
9DTact,ball4,diameter_px,thickness_mm,1,5,0.4546603040636962,254.55917290960494,217.0543683094954,264.7640053322082
9DTact,ball4,diameter_px,thickness_mm,1,5,0.4677430203168734,257.7569980958989,223.55649542525194,268.11903156580144
9DTact,ball4,diameter_px,thickness_mm,1,5,0.48082573657005073,260.9548232821929,230.05862254100853,271.4740577993946
9DTact,ball4,diameter_px,thickness_mm,1,5,0.493908452823228,263.91943493544215,235.14575019824335,274.3528853949915
9DTact,ball4,diameter_px,thickness_mm,1,5,0.5069911690764052,266.75178881900894,240.12106416882747,276.94612348144784
9DTact,ball4,diameter_px,thickness_mm,1,5,0.5200738853295825,269.5841427025757,245.09637813941163,279.53936156790417
9DTact,ball4,diameter_px,thickness_mm,1,5,0.5331566015827598,272.4164965861425,250.07169210999575,282.1325996543605
9DTact,ball4,diameter_px,thickness_mm,1,5,0.546239317835937,275.2488504697093,255.04700608057988,284.72583774081676
9DTact,ball4,diameter_px,thickness_mm,1,5,0.5593220340891143,278.08120435327606,260.022320051164,287.3190758272731
9DTact,ball4,diameter_px,thickness_mm,1,5,0.5724047503422917,280.9135582368429,264.9976340217482,289.9123139137294
9DTact,ball4,diameter_px,thickness_mm,2,4,0.2845849927723915,116.40366569778072,85.94484583485617,136.0379322926519
9DTact,ball4,diameter_px,thickness_mm,2,4,0.2976677090255688,126.17562995767365,97.53260199626857,144.56353872076954
9DTact,ball4,diameter_px,thickness_mm,2,4,0.3107504252787461,135.94759421756652,109.12035815768093,153.08914514888713
9DTact,ball4,diameter_px,thickness_mm,2,4,0.3238331415319234,145.71955847745946,120.70811431909331,161.61475157700477
9DTact,ball4,diameter_px,thickness_mm,2,4,0.33691585778510064,155.49152273735234,132.29587048050567,170.14035800512238
9DTact,ball4,diameter_px,thickness_mm,2,4,0.34999857403827794,165.26348699724528,143.88362664191808,178.66596443324
9DTact,ball4,diameter_px,thickness_mm,2,4,0.3630812902914552,175.03545125713816,155.47138280333044,187.1915708613576
9DTact,ball4,diameter_px,thickness_mm,2,4,0.3761640065446325,184.8074155170311,167.05913896474283,195.71717728947527
9DTact,ball4,diameter_px,thickness_mm,2,4,0.38924672279780975,192.06060063922106,175.8561129519598,201.83398789474646
9DTact,ball4,diameter_px,thickness_mm,2,4,0.40232943905098706,197.33971433235547,182.42609161499652,206.53796823981926
9DTact,ball4,diameter_px,thickness_mm,2,4,0.4154121553041643,202.61882802548982,188.9960702780332,211.24194858489207
9DTact,ball4,diameter_px,thickness_mm,2,4,0.4284948715573416,207.89794171862422,195.56604894106994,215.94592892996485
