principle,probe,measure,group_by,group,n_units,x_name,x,median,q1,q3
9DTact,ball4,diameter_px,hardness,soft,5,force_N,0.0794500459434029,91.62441534651121,75.81382483105516,125.26842336316474
9DTact,ball4,diameter_px,hardness,soft,5,force_N,0.09527235872007458,120.4057158694329,87.31827486619765,134.89831548001797
9DTact,ball4,diameter_px,hardness,soft,5,force_N,0.11109467149674628,133.55363846795163,99.35436267449944,164.28148273905404
9DTact,ball4,diameter_px,hardness,soft,5,force_N,0.12691698427341797,146.70156106647033,122.90520124129938,181.88460006984855
9DTact,ball4,diameter_px,hardness,soft,5,force_N,0.14273929705008967,183.1702883187822,146.55645259092347,199.48771740064308
9DTact,ball4,diameter_px,hardness,soft,5,force_N,0.15856160982676137,205.50283688308193,166.39783522957038,212.36501771502512
9DTact,ball4,diameter_px,hardness,soft,5,force_N,0.17438392260343305,212.93585276189953,178.97512781609723,219.05595629930772
9DTact,ball4,diameter_px,hardness,soft,5,force_N,0.19020623538010475,220.36886864071712,191.55242040262414,225.6469117315
9DTact,ball4,diameter_px,hardness,soft,5,force_N,0.20602854815677646,230.01987584161353,207.5858206903421,235.03327367199662
9DTact,ball4,diameter_px,hardness,soft,5,force_N,0.22185086093344814,234.05443362194504,192.52738800484292,236.3868436890637
9DTact,ball4,diameter_px,hardness,soft,5,force_N,0.23767317371011984,238.73361252262427,196.8983340476709,241.17332280073674
9DTact,ball4,diameter_px,hardness,soft,5,force_N,0.25349548648679154,243.4127914233035,201.26928009049885,245.95980191240974
9DTact,ball4,diameter_px,hardness,soft,5,force_N,0.2693177992634632,248.0919703239827,205.6402261333268,250.74628102408275
9DTact,ball4,diameter_px,hardness,soft,5,force_N,0.28514011204013495,252.77114922466194,210.01117217615473,255.53276013575575
9DTact,ball4,diameter_px,hardness,soft,5,force_N,0.30096242481680663,257.4503281253412,214.38211821898267,260.2488894374608
9DTact,ball4,diameter_px,hardness,hard,4,force_N,0.23767317371011984,208.2249704905704,169.4566456968144,236.98073670978854
9DTact,ball4,diameter_px,hardness,hard,4,force_N,0.25349548648679154,214.48930946062728,177.48260600850682,242.58465599393884
9DTact,ball4,diameter_px,hardness,hard,4,force_N,0.2693177992634632,220.75364843068414,185.50856632019924,247.68029535846034
9DTact,ball4,diameter_px,hardness,hard,4,force_N,0.28514011204013495,227.017987400741,193.53452663189165,252.4152756962122
9DTact,ball4,diameter_px,hardness,hard,4,force_N,0.30096242481680663,201.09294250456347,154.453307994216,244.51497454385006
9DTact,ball4,diameter_px,hardness,hard,4,force_N,0.31678473759347836,208.05290692488234,164.23914253955263,248.4156403606941
9DTact,ball4,diameter_px,hardness,hard,4,force_N,0.33260705037015004,215.0128713452012,174.02497708488923,252.31630617753814
9DTact,ball4,diameter_px,hardness,hard,4,force_N,0.3484293631468217,221.54438690891305,183.1681383453153,256.21697199438216
9DTact,ball4,diameter_px,hardness,hard,4,force_N,0.36425167592349345,203.98458912203213,175.70212571761766,226.43060768201389
9DTact,ball4,diameter_px,hardness,hard,4,force_N,0.3800739887001651,209.62468348092412,183.4124695077449,231.31682845511477
9DTact,ball4,diameter_px,hardness,hard,4,force_N,0.3958963014768368,215.26477783981608,191.1228132978721,236.20304922821563
9DTact,ball4,diameter_px,hardness,hard,4,force_N,0.41171861425350853,220.90487219870806,198.83315708799938,241.0892700013165
9DTact,ball4,diameter_px,hardness,hard,4,force_N,0.4275409270301802,226.5449665576,204.76059223758887,245.97549077441735
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.06362773316673119,167.6959355021044,115.47101737584924,180.94033695109522
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.0794500459434029,179.30031363991645,127.29125034890617,191.5921707934674
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.09527235872007458,185.93194494338962,136.62510990479365,199.75763121867016
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.11109467149674628,195.05757496807763,169.26127285377197,203.36803061205484
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.12691698427341797,199.19520755033597,111.39045048280121,210.5395357326504
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.14273929705008967,205.82683885380914,135.22100774456146,221.86293156687037
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.15856160982676137,212.4584701572823,163.5857068869132,226.47512689817674
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.17438392260343305,219.05595629930772,183.16761461034298,231.08732222948308
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.19020623538010475,225.6469117315,189.43195358039983,235.69951756078945
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.20602854815677646,232.2378671636923,195.6962925504567,240.3117128920958
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.22185086093344814,238.71925375618238,201.96063152051354,245.03045865031154
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.23767317371011984,243.61303307884918,208.2249704905704,250.4286195368693
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.25349548648679154,248.506812401516,214.48930946062728,255.82678042342707
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.2693177992634632,253.40059172418276,220.75364843068414,261.2249413099848
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.28514011204013495,258.29437104684956,227.017987400741,266.62310219654256
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.30096242481680663,263.0474507495804,232.34723749275665,272.02126308310034
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.31678473759347836,267.30136409179147,236.4795846800664,275.8809317638963
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.33260705037015004,271.55527743400256,240.61193186737617,279.7182613754732
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.3484293631468217,275.80919077621365,244.74427905468593,283.5555909870502
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.36425167592349345,264.4698651802102,234.19323463860405,281.89555823847536
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.3800739887001651,253.00897342930543,224.8552541124741,272.11961181975477
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.3958963014768368,257.1413206166152,230.20066518973576,275.5520919634688
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.41171861425350853,261.2736678039249,235.5460762669974,278.89659209875117
9DTact,ball4,diameter_px,thickness_mm,1,5,force_N,0.4275409270301802,265.4060149912347,240.89148734425908,282.24109223403343
9DTact,ball4,diameter_px,thickness_mm,2,4,force_N,0.30096242481680663,169.8386475163703,139.06796847206175,213.64448782085572
9DTact,ball4,level,hardness,soft,5,force_N,0.0794500459434029,6.150584965338524,5.131145109866053,7.109096733891951
9DTact,ball4,level,hardness,soft,5,force_N,0.09527235872007458,7.420825805277882,5.524900649897826,7.836627855858815
9DTact,ball4,level,hardness,soft,5,force_N,0.11109467149674628,7.886202835967064,5.721825500831485,8.156451171288467
9DTact,ball4,level,hardness,soft,5,force_N,0.12691698427341797,8.358660221906957,5.918750351765144,8.476274486718117
9DTact,ball4,level,hardness,soft,5,force_N,0.14273929705008967,8.83111760784685,6.115675202698803,9.216550962646465
9DTact,ball4,level,hardness,soft,5,force_N,0.15856160982676137,9.236177971775266,6.312600053632463,9.705519436353354
9DTact,ball4,level,hardness,soft,5,force_N,0.17438392260343305,9.605216634141861,6.577531351400283,10.205337774575714
9DTact,ball4,level,hardness,soft,5,force_N,0.19020623538010475,9.974255296508456,6.855469773815538,10.692246162575719
9DTact,ball4,level,hardness,soft,5,force_N,0.20602854815677646,8.738351077552924,6.5981607404344835,10.512534528082718
9DTact,ball4,level,hardness,soft,5,force_N,0.22185086093344814,7.406902901494383,6.223859817721445,9.362619575007319
9DTact,ball4,level,hardness,soft,5,force_N,0.23767317371011984,7.616009979087577,6.352612536969521,9.596267169178297
9DTact,ball4,level,hardness,soft,5,force_N,0.25349548648679154,7.825117056680773,6.481365256217597,9.829914763349278
9DTact,ball4,level,hardness,soft,5,force_N,0.2693177992634632,8.034224134273966,6.6101179754656725,10.063562357520256
9DTact,ball4,level,hardness,soft,5,force_N,0.28514011204013495,8.243331211867162,6.738870694713748,10.297209951691237
9DTact,ball4,level,hardness,soft,5,force_N,0.30096242481680663,8.460274078889938,6.8715413086766155,10.534775440577008
9DTact,ball4,level,hardness,hard,4,force_N,0.23767317371011984,6.491563855711055,6.069267795739719,7.206161769723145
9DTact,ball4,level,hardness,hard,4,force_N,0.25349548648679154,6.6795365834083915,6.219528725261279,7.383470815952959
9DTact,ball4,level,hardness,hard,4,force_N,0.2693177992634632,6.867509311105728,6.3697896547828385,7.559696862337952
9DTact,ball4,level,hardness,hard,4,force_N,0.28514011204013495,7.055482038803064,6.520050584304398,7.735154446985739
9DTact,ball4,level,hardness,hard,4,force_N,0.30096242481680663,7.241553940193267,6.95363421723627,7.577033399066963
9DTact,ball4,level,hardness,hard,4,force_N,0.31678473759347836,7.422272930790324,7.110963726510642,7.758748555239524
9DTact,ball4,level,hardness,hard,4,force_N,0.33260705037015004,7.602991921387382,7.268293235785013,7.940463711412086
9DTact,ball4,level,hardness,hard,4,force_N,0.3484293631468217,7.778177601944348,7.425622745059384,8.113878902524512
9DTact,ball4,level,hardness,hard,4,force_N,0.36425167592349345,7.930715294035615,7.23099096387545,7.93211471095443
9DTact,ball4,level,hardness,hard,4,force_N,0.3800739887001651,8.065124258559,7.3526565844407195,8.086051819964513
9DTact,ball4,level,hardness,hard,4,force_N,0.3958963014768368,8.199533223082385,7.474322205005986,8.239988928974594
9DTact,ball4,level,hardness,hard,4,force_N,0.41171861425350853,8.33394218760577,7.595987825571255,8.393926037984674
9DTact,ball4,level,hardness,hard,4,force_N,0.4275409270301802,8.468351152129156,7.717653446136524,8.527302071939857
9DTact,ball4,level,thickness_mm,1,5,force_N,0.06362773316673119,5.087188928713443,4.783146339290747,5.3723335130351
9DTact,ball4,level,thickness_mm,1,5,force_N,0.0794500459434029,5.327975798964167,4.93431442076794,5.618869444724262
9DTact,ball4,level,thickness_mm,1,5,force_N,0.09527235872007458,5.524900649897826,5.063551492586599,5.843474366754892
9DTact,ball4,level,thickness_mm,1,5,force_N,0.11109467149674628,5.220158864142773,4.704807077585304,5.888718679663598
9DTact,ball4,level,thickness_mm,1,5,force_N,0.12691698427341797,5.521120942471623,4.725300920682695,5.918750351765144
9DTact,ball4,level,thickness_mm,1,5,force_N,0.14273929705008967,6.115675202698803,4.786850213386356,6.212254994895997
9DTact,ball4,level,thickness_mm,1,5,force_N,0.15856160982676137,6.312600053632463,4.987576056178526,6.453864701842342
9DTact,ball4,level,thickness_mm,1,5,force_N,0.17438392260343305,6.577531351400283,5.1967752103852565,6.695474408788686
9DTact,ball4,level,thickness_mm,1,5,force_N,0.19020623538010475,6.855469773815538,5.309324341731038,6.937084115735031
9DTact,ball4,level,thickness_mm,1,5,force_N,0.20602854815677646,7.133408196230794,5.421873473076821,7.1786938226813755
9DTact,ball4,level,thickness_mm,1,5,force_N,0.22185086093344814,7.406902901494383,5.534422604422603,7.4110725906975405
9DTact,ball4,level,thickness_mm,1,5,force_N,0.23767317371011984,7.58459059447388,5.646971735768385,7.616009979087577
9DTact,ball4,level,thickness_mm,1,5,force_N,0.25349548648679154,7.75810859825022,5.759520867114167,7.825117056680773
9DTact,ball4,level,thickness_mm,1,5,force_N,0.2693177992634632,7.93162660202656,5.872069998459949,8.034224134273966
9DTact,ball4,level,thickness_mm,1,5,force_N,0.28514011204013495,8.1051446058029,5.984619129805731,8.243331211867162
9DTact,ball4,level,thickness_mm,1,5,force_N,0.30096242481680663,8.27866260957924,6.095577527286679,8.460274078889938
9DTact,ball4,level,thickness_mm,1,5,force_N,0.31678473759347836,8.496688449632796,6.204499803893831,8.705016327980287
9DTact,ball4,level,thickness_mm,1,5,force_N,0.33260705037015004,8.715360548166998,6.313422080500982,8.903654179963121
9DTact,ball4,level,thickness_mm,1,5,force_N,0.3484293631468217,8.934032646701203,6.422344357108134,9.066596621561358
