principle,probe,measure,group_by,at_depth_mm,g_hard,g_medium,g_soft,spread_pct,monotone,g_1,g_2,g_3
9DTact,ball8,diameter_px,hardness,1.4411263957998506,472.4592603093981,465.74959469738695,488.01983027544344,4.713683792222093,False,,,
9DTact,ball8,diameter_px,thickness_mm,1.6909260275850437,,,,13.356504290589278,False,534.1783379408548,552.6516378631212,481.30408523665244
9DTact,ball8,level,hardness,1.4411263957998506,7.2301659521514345,8.108413271210129,8.183136061733304,11.752855678502494,True,,,
9DTact,ball8,level,thickness_mm,1.6909260275850437,,,,64.60165373896552,False,9.208643695175809,16.087444685360254,10.648026160412957
