axis,width_px,density_px_per_mm2,mae
Fx,8,0.1359291827311094,0.0466204211115837
Fx,16,0.5437167309244376,0.032729621976614
Fx,32,2.1748669236977505,0.0277633536607027
Fx,48,4.893450578319937,0.0259491857141256
Fx,80,13.592918273110941,0.0253488346934318
Fx,160,54.371673092443764,0.0270174480974674
Fx,320,217.48669236977506,0.0276994407176971
Fx,426,385.43569320798133,0.0301440618932247
Fx,640,869.9467694791002,0.0302753765136003
Fx,854,1548.989497386278,0.0316210985183715
Fx,1280,3479.787077916401,0.0316758602857589
Fx,1920,7829.520925311901,0.0388657562434673
Fy,8,0.1359291827311094,0.049738023430109
Fy,16,0.5437167309244376,0.0345796346664428
Fy,32,2.1748669236977505,0.0302795879542827
Fy,48,4.893450578319937,0.0279667489230632
Fy,80,13.592918273110941,0.0257141608744859
Fy,160,54.371673092443764,0.0294820498675107
Fy,320,217.48669236977506,0.02801507525146
Fy,426,385.43569320798133,0.0328572280704975
Fy,640,869.9467694791002,0.0289779230952262
Fy,854,1548.989497386278,0.0290672909468412
Fy,1280,3479.787077916401,0.0284667033702135
Fy,1920,7829.520925311901,0.0315006114542484
Fz,8,0.1359291827311094,0.0894553512334823
Fz,16,0.5437167309244376,0.0619190260767936
Fz,32,2.1748669236977505,0.0623932145535945
Fz,48,4.893450578319937,0.053501296788454
Fz,80,13.592918273110941,0.0485914349555969
Fz,160,54.371673092443764,0.0513167567551136
Fz,320,217.48669236977506,0.0473864451050758
Fz,426,385.43569320798133,0.0496319569647312
Fz,640,869.9467694791002,0.0482465215027332
Fz,854,1548.989497386278,0.0479342974722385
Fz,1280,3479.787077916401,0.049030527472496
Fz,1920,7829.520925311901,0.052261047065258
